{'短评内容': '老酒店，服务不错，房间面积大，设施略陈旧，性价比颇高', '短评打分': 4}
{'短评内容': '虽然不是新装修的，，但是维护得很好，，，不错不错。。。。下次再来还会住这里。。。。。下次带一家子都过来。。。', '短评打分': 5}
{'短评内容': '性价比不错的老酒店，房间面积不小，很舒适', '短评打分': 4}
{'短评内容': '还可以吧，酒店有些年头了', '短评打分': 5}
{'短评内容': '老五星酒店，虽然外部环境老旧一些，但房间够宽敞舒适，服务态度也好，下次还会入住。', '短评打分': 5}
{'短评内容': '很多年前住过的瑞吉红塔，重拾回忆。老五星虽然房间设施不再崭新，但空间宽敞舒适，服务仍然一流，很美好的回忆。', '短评打分': 5}
{'短评内容': '很好的一次住宿体验，位置很好，交通便利', '短评打分': 5}
{'短评内容': '垃圾，晚上7.30定的，第二天中午12点告诉没房，耽误行程，艺龙客服服务态度差到极点，还挂电话。什么玩意，不配做客服，京东这个酒店机票还是管理不行，不够成熟，还是携程靠谱', '短评打分': 1}
{'短评内容': '大堂入住人员少了点，碰到高峰要排队的。周边很繁华，旁边就是Holiday Inn，瑞吉撤了后好像入住的大部分是国人了，歪果仁都跑到旁边的酒店里去了哈哈 酒店门口有推荐美女的小伙子，倒是挺热情，为你指点方向，饭馆等。 ', '短评打分': 5}
{'短评内容': '当年瑞吉的风采减退了一些，房间设施似乎多年没再装修，不过保养的还可以。 位置比较方便，吃饭很容易解决。对面的苏先生开了得10几年了吧，从第一入住红塔到这次入住，苏先生一直是俺吃饭的首选啊。 ', '短评打分': 5}
{'短评内容': '很好性价比超高', '短评打分': 5}
{'短评内容': '酒店很好，房间大，早饭还可以改进。', '短评打分': 5}
{'短评内容': '好，不错，以后还住', '短评打分': 5}
{'短评内容': '相当不错的体验，唯一不足的是因为入住太晚，楼层太低。早餐100分。', '短评打分': 5}
{'短评内容': '洗手间的水盆设计的太奇葩了。另外整体服务称不上是豪华精选的服务。', '短评打分': 2}
{'短评内容': '还行，经济实惠', '短评打分': 5}
{'短评内容': '不错的酒店，在这个位置性价比算不错了，唯一就是洗手池略有不舒服，还会再来的。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店很高档，地理位置也很优越。', '短评打分': 5}
{'短评内容': '各方面都不错?，服务员微笑很好，专业，细心，温馨。下次还住。', '短评打分': 5}
{'短评内容': '非常棒的酒店，国外同事出差上海的首选酒店，离开公司很近，很方便，酒店品质也不错的，服务地段，很适合商务出差。', '短评打分': 5}
{'短评内容': '设施稍微老了,早餐餐厅稍微小点了,其他都不错,性价比不是最高,房间不是最现代', '短评打分': 5}
{'短评内容': '真心觉得一般，就是比较老了，管理也是一般，不够5星标准吧', '短评打分': 3}
{'短评内容': '装修的时间很长了，但是还好', '短评打分': 4}
{'短评内容': '非常好，很舒服，很喜欢。', '短评打分': 3}
{'短评内容': '不愧是瑞吉，即使开业十年了。', '短评打分': 3}
{'短评内容': '是我们的外国一几个很重要的客户来住的，感觉很不错的，干净、整洁、服务也很好。', '短评打分': 5}
{'短评内容': '帮老外定的，非常完美的酒店，果然是国际连锁的超五星。好！！！', '短评打分': 5}
{'短评内容': '房间比外表看起来好很多，服务也不错，推荐。', '短评打分': 5}
{'短评内容': '好啊，周围环境不错的，在东方路上，但离八佰伴不远， 周围餐厅也很多。', '短评打分': 5}
{'短评内容': '酒店比较老了，没有五星级的感觉，不过服务还是不错的。、', '短评打分': 1}
{'短评内容': '世博期间，价格实在是贵哦，现在尚可，老牌五星', '短评打分': 5}
{'短评内容': '除了价格有点高，设施都是一流的。如是水洗的卫浴就更好了。房间细节的装修的确实是比较到位的。', '短评打分': 5}
{'短评内容': '酒店设施挺好，周日房价，周一竟然3700，要不是公务活动，不会住那里。性价比不高，这个价格我去住香格里拉了', '短评打分': 1}
{'短评内容': '名至实归的五星级，可以说是上海数一数二的理想酒店，我下次来还会入住这里。', '短评打分': 5}
{'短评内容': '8月4-8号入住，世博会期间还拿到半价，让人惊喜，这个价格可谓超值。周围很方便，饭店、小超市、地铁、出租一应俱全，值得推荐。可惜在酒店里的时间不多，很多设施没能一一享受。房间的面积、班椅、热带雨林龙头、管家服务都很棒。', '短评打分': 5}
{'短评内容': '一直路过有幸入住，感觉里面的设施很不错，推荐！', '短评打分': 3}
{'短评内容': '如果不是半价优惠绝对不会再去，性价比不高。床很大但好像是2个单人床拼的，很奇怪，床很硬不舒服。', '短评打分': 1}
{'短评内容': '非常好的一个国际品牌连锁，小贵，值的推荐', '短评打分': 5}
{'短评内容': '酒店服务质量较好，离地铁也不远，整体感觉不错。', '短评打分': 3}
{'短评内容': '外观感觉不够大气，里面不错', '短评打分': 3}
{'短评内容': '没来上海前就听说了，后来离上班的地方很近，老路过，这次入住，感觉真不错，推荐！', '短评打分': 5}
{'短评内容': '酒店很安静，服务很不错！', '短评打分': 5}
{'短评内容': '酒店等级很高，但房内装修及设备欠佳。', '短评打分': 1}
{'短评内容': '除了位置不太好之外，其他都很好。', '短评打分': 5}
{'短评内容': '五星级酒店无论从管理、硬装还是服务上面还是尽显细致和周到本色,特别是免费赠送热牛奶和咖啡，唯独酒店客房的门禁系统实在不敢让人恭维,刷了N次，希望酒店方面可以加以改善。', '短评打分': 5}
{'短评内容': '很值这个价钱的了', '短评打分': 5}
{'短评内容': 'Excellent facilitates with good services but a little far from city centre.\r\n\r\nGenerally speaking, a very good hotel for business and relaxing', '短评打分': 5}
{'短评内容': '挺安静', '短评打分': 5}
{'短评内容': '不错的五星级酒店,但作为喜达屋旗下的高端品牌,在服务上还有改进之处.早餐相对简单.门童很友好.值得推荐.', '短评打分': 5}
{'短评内容': '电视节目偏少了！', '短评打分': 5}
{'短评内容': '酒店環境很好，配得上是五星級的酒店，但就是離地鐵遠要一點，步行要十分鐘左右。不過價錢比其他五星酒店便宜多了。', '短评打分': 3}
{'短评内容': '相對其他國際級的五星酒店，這一間的算是比較平宜的了。離地鐵其實不太遠，步行不用十分鐘，但入住當天剛好在下雨，便有點狼狽了。', '短评打分': 5}
{'短评内容': '这是我看过的房间设施最好的五星级酒店。', '短评打分': 3}
{'短评内容': '下次还会入住', '短评打分': 5}
{'短评内容': '房间很大，很舒适，大概是上海五星里面房间最大的了。\r\n地理位置也不错。', '短评打分': 5}
{'短评内容': '酒店的服务做得很细致，入住当天是我的生日，酒店送了鲜花和蛋糕，谢谢', '短评打分': 5}
{'短评内容': '地理位置很一般，但是服务软件都非常不错。', '短评打分': 5}
{'短评内容': '房价很高，还不含早餐，而且早餐很贵，内容并不很丰富，有些遗憾', '短评打分': 5}
