{'短评内容': '卫生间没门  房间小  管理差  任由小朋友大清早跑来跑去  隔音差  吵', '短评打分': 3}
{'短评内容': '出行方便，出门就是公交站', '短评打分': 4}
{'短评内容': '价格还是不错的，就是设施有点老，价格还行，马马虎虎，希望能在便宜一点哦，我们才会经常来住的哦，支持一下。装修够老，', '短评打分': 4}
{'短评内容': '啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '不错，经济实惠。', '短评打分': 5}
{'短评内容': '经济实惠，距离文昌阁不远。', '短评打分': 5}
{'短评内容': '定个房间，还有蟑郎陪你睡觉', '短评打分': 1}
{'短评内容': '不错，很好，环境优美，服务态度很好！', '短评打分': 5}
{'短评内容': '住过差的没住过那么差的 马桶冲水的按钮没有盖子 洗澡的拉门都没有 问前台说是客人之前打碎了没安装 地板坑坑洼洼 给我的房间最里面外面就是公共厕所 真是醉了 再也不会入住了', '短评打分': 1}
{'短评内容': '不错，第二次住了。', '短评打分': 5}
{'短评内容': '房间设施齐全，无线上网，床单是小碎花的图案，给人温馨的感觉。因怕吵，选的是不', '短评打分': 5}
{'短评内容': '房间不错，上次入住，这次又来入住！', '短评打分': 3}
{'短评内容': '地处闹市区，设施也不错，性价比很高！', '短评打分': 3}
{'短评内容': '交通很便利   就是房间设施有点点不好', '短评打分': 3}
