{'短评内容': '酒店位置不错，附近超市，餐饮，美容。周边配套齐全，无早餐。房间超级大，设备相对陈旧，服务态度很好，可以开增值税普通发票', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '周围餐饮方便的', '短评打分': 5}
{'短评内容': '交通在该区域已属方便，房间设施一般，但很宽敞。', '短评打分': 4}
{'短评内容': '可以。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间很干净，也没有异味儿。暖气很足。唯独就是电视的频道很不清晰，然后把WiFi信号足一点就很好了', '短评打分': 5}
{'短评内容': '房间很大，所以空调完全带不动房间的温度，晚上睡觉有点冷。酒店太旧了，虽然装修很好，但是住的并不舒服，房间内没有吹风机，水壶不会自己跳，直到把水烧干。', '短评打分': 4}
{'短评内容': '没什么好说的', '短评打分': 3}
{'短评内容': '这一片能住的地方不多，相对、综合来说比较理想的选择，房间够大，有窗户。 再一上能开出3[%]专用发票，在附近几家中比较难得。 经理的服务态度还是不错的。建议直接电话订房，也许会有惊喜。 一点小小建议，美中不足房间内插座不太好用，如果能维护好就更棒了。', '短评打分': 5}
{'短评内容': '北七家不错的选择', '短评打分': 4}
{'短评内容': '环境很好，，就是床有点硬，呵呵', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '打车不好打，设施一般，无早餐', '短评打分': 3}
{'短评内容': '酒店还不错，尽管周边环境不太好！', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 5}
