{'短评内容': '酒店环境不错，卫生干净，地点也很好', '短评打分': 5}
{'短评内容': '可以的，很好，各种房子都有，挑自己合适的，。………………，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '挺好的 服务态度也是很不错的', '短评打分': 4}
{'短评内容': '环境还不错啦。      和家人一起去的。  离周围想去的地方也很近。以后去的话还会去的 还是不错的', '短评打分': 4}
{'短评内容': '酒店位置好，距离医大一院、秋林商场都很近，卫生很干净，性价比很高，虽然室内温度偏低，但总体来说很满意.', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 3}
{'短评内容': '就那样吧', '短评打分': 3}
{'短评内容': '环境真是差到家了，没有一个地方满意', '短评打分': 1}
{'短评内容': '很好，以后要是有朋友来哈尔滨玩一定推荐这家，前台很优秀，人很好', '短评打分': 5}
{'短评内容': '不怎么好而且在房间里后，就没有了手机信号。', '短评打分': 3}
{'短评内容': '服务态度非常差，没有之一，就因为我用毛巾擦了一下鞋子，居然扣50元房费，虽然我有错在先，但是也没见过这么宰人的', '短评打分': 1}
{'短评内容': '单间略显老旧，下水道声音有点高，不过楼下前台服务很好很热情。', '短评打分': 4}
{'短评内容': '交通方便，性价比挺高的，感觉还行，推荐入住', '短评打分': 3}
{'短评内容': '老店有点旧了  环境一般 就是位置不错', '短评打分': 3}
{'短评内容': '酒店位置好，距离秋林远大商圈很近。住宿条件一般。', '短评打分': 4}
