{'短评内容': '位置可以，吃饭乘车都很方便', '短评打分': 5}
{'短评内容': '环境不错，下次换来', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设施陈旧，比较糟糕', '短评打分': 3}
{'短评内容': '不错，离大雁塔不远', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '房间位置有点偏，卫生情况一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '续住，评论看前面的一条', '短评打分': 4}
{'短评内容': '整体还可以，但配置太简洁了。纸巾在桌面没有，要洗手间拿', '短评打分': 4}
{'短评内容': '装修很久了，有点旧', '短评打分': 3}
{'短评内容': '方便快捷、靠近大雁塔', '短评打分': 5}
{'短评内容': '酒店服务很好，安全设施也不错', '短评打分': 5}
{'短评内容': '酒店服务很好。希望设置简单早餐。', '短评打分': 5}
{'短评内容': '房间干净，大。办事方便。', '短评打分': 5}
{'短评内容': '干净卫生，不错！', '短评打分': 5}
{'短评内容': '如家房间什么样大家基本都清楚，我就说说这家店吧，优点是前台接待服务态度好，缺点是酒店对打扫房间卫生管理不敢恭维！', '短评打分': 4}
{'短评内容': '很不好，房间味道很重，窗户打不开，无早餐，无中餐晚餐，住10楼临街的房子很吵，下楼还遇电梯停电，走楼梯下楼，5楼、4楼、3楼、2楼楼道灯是坏的。', '短评打分': 1}
{'短评内容': '酒店条件还可以，但是前台服务员态度比较差，应该不会再去了。', '短评打分': 1}
{'短评内容': '淸洁卫生很不错！人多生意好！总的还不错！', '短评打分': 5}
{'短评内容': '房间内干净卫生条件较好，环境安静，服务人员态度热情。以后还会去住的。', '短评打分': 5}
{'短评内容': '干净卫生房间有点小', '短评打分': 3}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店的电梯只有一部，略显不便，房间比其他如家店略大，标准配置，性价比较高。推荐高楼层，楼下有一KTV。', '短评打分': 3}
{'短评内容': '房子挺大，旁边有家餐馆…还不错，只是去时刮风下雨，落汤鸡一个，实为不易呀', '短评打分': 3}
{'短评内容': '环境不错 交通方便', '短评打分': 3}
{'短评内容': '还不错,可以考虑', '短评打分': 3}
{'短评内容': '酒店还不错 环境挺好 服务也不错 就是周围的人杂了点 女孩子人少的话 要注意安全~~去大雁塔之类的还挺方便~~~~', '短评打分': 5}
{'短评内容': '位置好，交通、吃饭都方便，离大雁塔也近，服务也好。唯一不足就是楼下ktv晚上有点吵。', '短评打分': 5}
