{'短评内容': '各方面都挺好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '床上有玻璃碎', '短评打分': 2}
{'短评内容': '老板热情周到，订了特价房，有独立卫生间，不过有点吵，离机场很近，一早免费送我到机场，很周到，在外旅游遇到热情的老板总是幸运的', '短评打分': 5}
{'短评内容': '总体一般，老板态度还可以，但是宾馆地理位置不好，在犄角旮旯，去了总是推荐加钱住贵的，个人感觉不舒服。特价房不接送。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '我没有住成，因为酒店说:他没有和携程签约，因此，不承认携程的订单。请携程给我退款。', '短评打分': 1}
{'短评内容': '这个价位来说还是可以的…', '短评打分': 4}
{'短评内容': '值得拥有 2015最具性价比杰出贡献奖', '短评打分': 5}
{'短评内容': '村里面，不过老板超热情，大热天，冰箱里拿了办个西瓜，房间凉快，亮堂', '短评打分': 3}
{'短评内容': '物有所值 第二次住了，老板人很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
