{'短评内容': '不错安静卫生', '短评打分': 5}
{'短评内容': '适合商务出差和旅游，干净安静，位置较好，早餐比较好。但不挂星。', '短评打分': 5}
{'短评内容': '离刘三姐很近，性价比高', '短评打分': 5}
{'短评内容': '距离刘三姐剧场很近', '短评打分': 4}
{'短评内容': '地理位置有点偏僻，不过带孩子的话安静点是不错的选择', '短评打分': 4}
{'短评内容': '稍微偏僻了点。看完节目还是要走1公里多才能到。好在人多，不用怕！', '短评打分': 5}
{'短评内容': '进这个酒店后，发现不是我想要的感觉，没有阳台，看不到山山水水，唯一的好处有地下车场。', '短评打分': 3}
{'短评内容': '干净利落', '短评打分': 5}
{'短评内容': '优点：1、房间设施尚可，干净卫生。2、早餐还算丰富。缺点：1、南北楼区分不清楚。2、打长途电话竟然要在前台另付押金，实在闻所未闻。3、前台服务人员水平有待提高，见了客人还坐在椅子里懒懒的回答问题。', '短评打分': 4}
{'短评内容': '环境很棒啊', '短评打分': 5}
{'短评内容': '性价比很好，开车出游可选。有电瓶车来回接送到西街。', '短评打分': 5}
{'短评内容': '酒店里印象刘三姐很近，去十里画廊也不远。门前道路宽敞风景优美。前台服务员态度热情行李员还免费到房间收送行李，不错。酒店早餐用餐环境不错，可选择的品种多，口味不错。中午在包厢用餐，菜价格不贵，品相不错，味道也不错。客房服务员很有礼貌，见人都笑脸相迎，热情打招呼。酒店暖气很给力，在健身房锻炼畅快。下次推荐朋友入住。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '办理入住的速度还可以吧，只是觉得前台的人的服务算不上国际大酒店的档次', '短评打分': 4}
{'短评内容': '已经住过几次，远离西街的吵闹，酒店服务很好。换酒店叫车不便，他们会来载。于是住了五天', '短评打分': 4}
{'短评内容': '酒店离西街很远，靠近印象刘三姐表演场地。但虽没挨着西街，还是有摆渡车接送很方便，晚上睡觉很清静，性价比不错的酒店！', '短评打分': 5}
{'短评内容': '位置太偏，打车几乎不可能，除非自己有车，否则别住这。', '短评打分': 1}
{'短评内容': '酒店比较老旧，豪华标间和普通标间差别不大，不要相信什么给你免费升级的谎言，实际就是把你赶来赶去的，没有切身为顾客服务的意识，态度不好！', '短评打分': 1}
{'短评内容': '就性价比而言完全达不到其自述标准，服务态度也不好，给我们此行带来了很多不愉快，我们定的是五间南楼的房间2天，来了之后说南楼南楼没房间了，三间去北楼住，两间南楼，我们一行人就分了2拨，而后又说第二天的房，都在南楼，我们第二天一大早把行李拖到100多米外的南楼房间存放，结果到了中午又电话我们说南楼又没房间了，又让我们回北楼，问原因说其他客人不肯退房闹他们，那就该牺牲其他顾客的权益将我们赶来赶去么？难道', '短评打分': 1}
{'短评内容': '    酒店整体还可以，就是没有自己的停车场，也没看见保安看车。', '短评打分': 3}
{'短评内容': '酒店设施很好，价格合理，房间很干净，服务员态度不错。', '短评打分': 5}
{'短评内容': '酒店门口沙土飞扬', '短评打分': 3}
{'短评内容': '酒店环境及服务一般，早餐告知到9：30，8：30到的时候，所剩无几，且一直不见再添。', '短评打分': 1}
{'短评内容': '非常好,一个字值.此次入住比我想像的好许多,是一个值得推荐的酒店.宽畅,明亮,干净,服务好.', '短评打分': 5}
{'短评内容': '好的地理位置酒店', '短评打分': 3}
{'短评内容': '酒店太阴森了 而且服务态度也不怎么好 那天下大雨 还分什么南楼北楼 位置极其偏僻 不过住起来还算好 就是怕怕的 ', '短评打分': 1}
{'短评内容': '酒店硬件很好，还给免费升级到北楼的房间，感觉不错！实际上离西街并不远，不过酒店有专车接送感觉还是很不错的！', '短评打分': 5}
{'短评内容': '酒店设施非常新，而且非常的干净，服务也很到位。本来以为离市区远，不过桂林很小的，打的才一个起步价格，酒店价格也非常的超值。以后去桂林游玩还会入住。', '短评打分': 5}
{'短评内容': '   失望，感觉很老的酒店，房间很小，设施也很旧。订的大床房只有1米5.也就算是三星的标准吧。价钱还那么贵，完全不值这个价钱。早餐就那么几样，团队的人很多，很吵。每天都一样。去晚了一点，仅有的两样青菜都没有了，餐厅也不会再加菜。只剩下米粉和鸡蛋，太垃圾了。\n   酒店的服务也不好。感觉前台服务员没什么素质。本来酒店写的有去西街的穿梭巴士，可服务员告诉取消了，也没告诉晚上6点后还有很多趟。退房时才发', '短评打分': 1}
{'短评内容': '整体感觉很不错，南楼也可以，四星标准的，干净整洁！就是卫浴的设施不是很好的牌子，感觉有点低档。不过已经很可以了！', '短评打分': 5}
{'短评内容': '酒店装修较简，比碧莲江景大酒店差了不止一个档次，尤其是房间的灯光设计。房间还是挺大的。', '短评打分': 3}
{'短评内容': '挺好~服务挺周到，又有免费车接送去西街，早餐也不错，小朋友一人只用补交10元早餐费。', '短评打分': 5}
{'短评内容': '住宿环境倒还不错，就是相应的设施服务有待提高，如应对停电如何更快更好的解决。', '短评打分': 5}
{'短评内容': '挺不错的酒店，房间很大，住着很舒服，环境也好，还有游泳池，就是位置有点点偏，不过离印象刘三姐比较近。总体来说是一个性价比很高的酒店，下次去我还会住这个酒店的，推荐！', '短评打分': 5}
{'短评内容': '入住条件还算可以，唯独让我有点失望的是住一晚酒店竟然会停两次电，难道酒店没有发电机，希望有所改善。', '短评打分': 5}
{'短评内容': '帮同事订的，同事反映不错，酒店硬件设施不错，下次入住继续。', '短评打分': 5}
{'短评内容': '离西街有点远，玩起来不太方便，不过离印象刘三姐较近', '短评打分': 1}
{'短评内容': '环境不错，内部洁净，离印象刘三姐很近！门前停车场稍小了。。。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '南楼不错，房间大、空间高。北楼不清楚，自助早餐素食。', '短评打分': 5}
{'短评内容': '酒店硬件、服务都很好，离西街有几公里，不过酒店的免费车特别方便。酒店的职员素质特别高，一定要表扬，我入住时离店结帐时，刷卡、办完所有手续，押金单交回后忘记拿钱了，等离开酒店后才想起来，心想这次完蛋了，没有任何证据去要钱了，服务员可能都不知是谁了，问谁去要呀？1000元钱没了！赶紧与酒店联系，没想到服务员特别热情，一查帐，说，没问题，我们给您留着。这酒店真是太好了，支持！！！！！', '短评打分': 5}
{'短评内容': '酒店的装修太一般了  我看了看西街附近的酒店价格要便宜的多装修也差不多，（离西街有点路哦，不过酒店有班车）房间太小了，我住在广西的艾美酒店同样的价格 装修真的没法比。还不如住经济酒店呢。', '短评打分': 1}
{'短评内容': '哎！！！！！贵而不实啊！说句良心话，房间设施不错，但是服务太差！！！！！！！！印象刘三姐居然要我们198元，好说到哪里都是这个价！而且没有车接送，说是离得近只要三分钟！！结果那天下雨我们在坑坑洼洼的烂地里走了10几分钟。结果后来到了下一家酒店只要168还有车接送，太黑了！！晕死！！银子岩没车接送要我们90元，结果我们后来只花了80还有车接送！！总之太差！！！有钱也不要住，地方太偏僻了！！说有电瓶车', '短评打分': 1}
{'短评内容': '窗外风景还是很美的，环境很漂亮可以看到美轮美奂的桂林美景。', '短评打分': 5}
{'短评内容': '卫生很好，房间很干净舒适，布置的很温馨。', '短评打分': 5}
{'短评内容': '都还行，前台服务不错，卫生也都OK  最重要的很安静！', '短评打分': 5}
{'短评内容': '房间硬件配置很全，像是电吹风，微波炉。冰箱热水器都有配备。', '短评打分': 5}
{'短评内容': '欧式的装修风格还是很不错的，配置也比较全。', '短评打分': 5}
{'短评内容': '依山傍水的地理位置，环境舒适配置齐全。', '短评打分': 5}
{'短评内容': '阳朔碧玉国际大酒店的房间舒适，干净，周边配套全，离景区近，交通便利用', '短评打分': 5}
{'短评内容': '对房间很满意，透过窗户就可以看到外面美丽的桂林山水，酒店还有免费的电瓶车接送住客，很不错哦。', '短评打分': 5}
{'短评内容': '位置不错，离刘三姐印象挺近的，去这些景点很方便的。', '短评打分': 5}
{'短评内容': '床铺很干净，房间采光很好，柜子、电视都有，很满意，住的开心。', '短评打分': 5}
{'短评内容': '   强烈推荐，房间超大，安静，服务一流。\r\n   酒店吃饭也非常舒服，煎饺尤其地道，鱼也烧得蛮好吃。\r\n   价格相当公道。', '短评打分': 5}
{'短评内容': '10月底入住的标准间。房间还是蛮大的，但没有写字台，免费上网，但网线要自备啊！租网线一天40元。设施还算新，但离五星的标准还很远，房间没有免费的矿泉水，拖鞋是招待所规格的。前台服务员的服务态度很好，退房时能联系酒店的电瓶车送到西街，离西街很远哦！有定点的班车送西街......早餐还可以，团队较多，所以早餐很热闹哦！新酒店，以后周围环境可能会改善吧！', '短评打分': 5}
