{'短评内容': '太差了，感觉就是招待所', '短评打分': 1}
{'短评内容': '太吵', '短评打分': 4}
{'短评内容': '各方面都超级的好，电视频道六十个，其余配置都一样，同行中相对比较起来很明显.', '短评打分': 5}
{'短评内容': '位置太难找了 找了很久 卫生不太满意 总体来说 不满意                        ', '短评打分': 2}
{'短评内容': '，房间很小，设施一般，很多都是走廊公用的，只能说将就过个夜吧…', '短评打分': 3}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '宾馆整体还算简洁干净！', '短评打分': 5}
{'短评内容': '价格非常实惠！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这次是和男盆友一起来的，就这么说吧，没见过这么差的宾馆，住了三天，一直说热水当天会修好。结果今天走的时候都没有修好，冷水澡洗的透心凉。和携程反映了，携程方面态度很好，昨晚太累才没有考虑换宾馆。然而今天早上就听到前台说昨天有个人在网上说这个那个，还有昨天退房妹子什么什么的。我们被安排的就是进门口的房间，我不知道是不是歧视携程特惠房的用户，噪音什么的就算了，热水没有，还是三天，无法忍受，前台有个服务人', '短评打分': 1}
{'短评内容': '基本上还行！', '短评打分': 4}
{'短评内容': '很好 下次出差还会选择这家', '短评打分': 5}
{'短评内容': '进房间，枕头没有电视遥控器没有，面盆里面还有茶叶，周边环境还好，吃东西方便，交通也方便，前台服务还算到位好歹给我找个枕头来睡觉', '短评打分': 3}
{'短评内容': '因出差选这个酒店，很方便。就是太小了，服务一般。还闹了一些不愉快，我把行李放进去十来分钟左右，接到公司的电话说不在上海住，去无锡。和酒店交涉退房，说要扣一天房费，好说好歹扣了我半天房费。让我很不愉快。', '短评打分': 4}
{'短评内容': '很失望，果然是便宜没好货。', '短评打分': 2}
{'短评内容': '房间太小，以后会考虑来不来', '短评打分': 5}
{'短评内容': '正常的商务宾馆，都一般。有点小', '短评打分': 4}
