{'短评内容': '第一次在京东定酒店 体验不错', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '酒店服务好', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '酒店一般，隔音效果很差', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '贵阳就这样，就这个价，地域，不予评价', '短评打分': 3}
{'短评内容': '经常住还不错', '短评打分': 4}
{'短评内容': '临街房很吵，其他的还行', '短评打分': 4}
{'短评内容': '房间挺大的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，性价比不高', '短评打分': 4}
{'短评内容': '酒店还可以吧， 有窗户，可以开窗，唯一不好的就是酒店的前台在七楼，有点麻烦。我们是因为要去贵阳医学院附属医院，挺近的。起酒店总体位置是很好的。到喷水池也就几分钟的路程。', '短评打分': 5}
{'短评内容': '总体还行，我住的套房卧室没有窗户，感觉很闷，服务员8点钟就在外面打扫，房间不隔音很吵！', '短评打分': 3}
{'短评内容': '可能是贵阳酒店比较贵的原因。房间中规中具，有电脑但网络有问题用不了。相比昆明的酒店下次准备换地方住。不值', '短评打分': 3}
{'短评内容': '单人间的浴缸不错，可以洗个泡泡浴，房间有电脑，早餐一般，房间的电话可以免费打市话和长话。', '短评打分': 5}
{'短评内容': '房间非常不隔音 还漏风 走廊声音太大 不会再去住了', '短评打分': 1}
{'短评内容': '酒店很老了 早餐不好 大堂7楼不方便 设施陈旧', '短评打分': 1}
{'短评内容': '环境还不错，就是没有大堂接待，放在七楼，一点派头都没有了', '短评打分': 5}
{'短评内容': '房间可以，淋浴房积水，停车场小得可怜', '短评打分': 3}
{'短评内容': '房间硬件还不错，服务太差。包括前台和客房。电话给房务中心问商务中心的位置，回了一句：商务中心是干嘛的？呵呵晕倒。早餐也很不好。', '短评打分': 1}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n酒店位置不错，购物方便，但是不隔音，有点吵。门面小了点，很温州，挣钱永远是第一位的，谁跟钱有气？大大的门面会白白浪费资源，不如让给入住的客人，实惠点', '短评打分': 5}
{'短评内容': '酒店退房太慢，花了近二十分钟', '短评打分': 3}
{'短评内容': '酒店位置不错，能上网', '短评打分': 3}
{'短评内容': '酒店硬件都还可以，就是早餐不太好，没什么东西吃，地理位子相当好。', '短评打分': 5}
{'短评内容': '酒店位置很好，周边小吃很多，房间还可以吧。就是大堂在7楼很不习惯。', '短评打分': 5}
{'短评内容': '酒店新位置好很方便', '短评打分': 3}
{'短评内容': '多次入住了.推荐', '短评打分': 3}
{'短评内容': '十房间靠马路，晚上睡觉太吵。', '短评打分': 3}
{'短评内容': '酒店房间装饰还过得去，物有所值，进出也比较方便，如能配备停车场那就更好了…', '短评打分': 3}
{'短评内容': '印象很不错,东西很新,功能齐备,交通方便,赞一个.', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位置好，市中心，喷水池两步路，房间整洁、干净、装饰也不错，关键是房间宽敞，配备电脑，准四星，就是大堂在7楼不太气派，电梯两部，要等。不知道早餐如何，明天试试。总体来说，房间的实际情况超出了本身的价格，很好。', '短评打分': 5}
{'短评内容': '走过全国那么多酒店，这个酒店没有四星的牌子，个人觉得设施标准都够4星水平了，还不错。', '短评打分': 5}
{'短评内容': '房間設施不錯，地點也好，早餐可以再加強，去年住過今年還是住這裡。', '短评打分': 5}
{'短评内容': '交通便利，处于市市中心地段。房间设施不错，总体性价比不错。就是停车不太方便。', '短评打分': 5}
{'短评内容': '我已入住共计24个标间', '短评打分': 3}
{'短评内容': '酒店不错，交通便利，内部环境也很好，房间干净，服务员的态度没话说，应该是这附近最好的一家酒店了。', '短评打分': 3}
{'短评内容': '早餐很差，房间还不错，卫生间有点漏水', '短评打分': 3}
{'短评内容': '房間寬暢,地點適中,乾淨,安靜,工作人員親切,外出購物或玩很方便', '短评打分': 5}
{'短评内容': '酒店条件还可以，只是大堂在7楼非常的不爽，电梯好慢', '短评打分': 5}
{'短评内容': '一般价格偏高不是很隔音，可能会推荐朋友入住', '短评打分': 5}
{'短评内容': '贵州温州大酒店其他方面可以,就是不太好停车。', '短评打分': 3}
{'短评内容': '酒店设施严重老化，与四星相差甚远，而且没地方停车', '短评打分': 1}
{'短评内容': '房间设施不错！可早餐太一般了！', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '一般，房间不隔音。有点吵。', '短评打分': 3}
{'短评内容': '其实还是一般般，每天晚上必定的骚扰电话准备响起，坚持不懈，天天如此。佩服，早餐真一般，一天去煎蛋没了，第2天还是没了，就是回答你，没了。', '短评打分': 5}
{'短评内容': '个人认为，酒店的高级单人间不错，有浴缸，电脑可以上网，房间很大，是个大床房，很适合热恋中的情侣', '短评打分': 5}
{'短评内容': '不错，离市中心很近，就是网速一般，早餐一般，不过还是会住', '短评打分': 5}
{'短评内容': '环境很好，服务很周到，是一家不错的酒店。去过两次了，感觉性价比较好', '短评打分': 5}
{'短评内容': '酒店设计比较人性化，就是没有桑拿中心。很多大酒店，希望以后能有', '短评打分': 5}
{'短评内容': '感觉很不错的一家酒店，卫生好，上档次，下次来的时候，还住这里！不过有一点遗憾，淋浴的水龙头是坏了，不想麻烦，没叫修理。', '短评打分': 5}
{'短评内容': '房间基本可以，缺点是网速太慢，所有下水不太通畅。房价比自己定的高出了不少！', '短评打分': 5}
{'短评内容': '很不错，设施齐全，就是空调声音有点吵，其他倒没什么缺点', '短评打分': 5}
{'短评内容': '酒店不错挺好的！！！以后还会住！！！停车场小了点！！！', '短评打分': 5}
{'短评内容': '大床房房间小了一点，卫生还可以，地理位置不错，进出比较方便，建议解决停车难问题。', '短评打分': 5}
{'短评内容': '该酒店住房条件不错设施蛮好地理位置在市中心购物.夜市美食和游玩还是较方便.就是房间之间的隔音有点逊色.价位还行.', '短评打分': 3}
{'短评内容': '酒店地处市中心，适合旅游的朋友入住，房间干净，还带电脑。早餐不是很丰富。', '短评打分': 5}
{'短评内容': '酒店里面设施比较齐全，比较干净，看起来就像高档酒店。', '短评打分': 5}
{'短评内容': '\n一般', '短评打分': 3}
{'短评内容': '温州酒店,位置好出行方便,设施较新,性价比高!', '短评打分': 3}
{'短评内容': '非常便捷的一家就店,且设施各方面都不错,还有电脑,比较新!以后还会考虑入住!', '短评打分': 5}
