{'descr': '汉庭连锁酒店，正常', 'star': 5}
{'descr': '停车还行就是路不好开，外面施工吵的一夜没睡着....', 'star': 4}
{'descr': '比较干净，但是房间特别小', 'star': 4}
{'descr': '酒店干净整洁，服务周到，有求必应。没有早餐，房间面积很小的，不能加床，酒店的位置在市中心，到那里都挺方便的，停车场很小的。', 'star': 5}
{'descr': '220多的双人间进去就两张床那么大还没有我朋友订的一人标间大', 'star': 4}
{'descr': '位置有点偏，房间虽小但很温馨。。感觉不错', 'star': 5}
{'descr': '好！！！！！！！！', 'star': 5}
{'descr': '零压高级大床房，说实在的，真的好失望，房间就是普通的大床房', 'star': 5}
{'descr': '挺不错的，可以', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '不错，有机会再来，服务人员态度还是不错的，环境还可以。最棒的是地处市中心，离地铁口非常的近，而且可以散步到玄武湖。不错', 'star': 5}
{'descr': '价格还行，服务还可以', 'star': 5}
{'descr': '好好好好好好好', 'star': 5}
{'descr': '不错！～挺安静的……就是不太好找……', 'star': 5}
{'descr': '很方便，好', 'star': 4}
{'descr': '靠近步行街，出去吃东西方便', 'star': 5}
{'descr': '位置不错，方便', 'star': 5}
{'descr': '房间比较小，可能是特价房的缘故吧，但是离地铁站很近，交通方便，这个价位也算比较合适的', 'star': 4}
{'descr': '还行吧 偶尔住一下还可以', 'star': 4}
{'descr': '偶尔住下还算可以 挺干净的 。。', 'star': 4}
{'descr': '还不错，周围挺方便的', 'star': 3}
{'descr': '前台服务还不错，问路什么的说的很详细，态度也很好。\n\n虽然说在湖南路，但是位置很偏，在一个巷子里，\n\n最难受的是客房面积太小，标间还不到20平米，床几乎贴着电视柜了，很没有汉庭的风格。', 'star': 1}
{'descr': '有些装修的味道，地理位置还行，性价比一般', 'star': 1}
{'descr': '地理位置还是很不错的，去狮子桥步行街很方便！只是房间不够宽敞！', 'star': 3}
{'descr': '酒店入口太难找了。热水倒是很舒服的。其它一般。', 'star': 1}
{'descr': '帮朋友定的，朋友很满意，酒店性价比不错', 'star': 5}
{'descr': '我改在4月2号住了两天', 'star': 3}
{'descr': '房间虽然小了一点，但是很干净，很不错。值得推荐。', 'star': 5}
{'descr': '內部装修很新 客房服务态度也很好，下次朋友来了还推荐入住', 'star': 5}
{'descr': '酒店不错哦，住的很开心酒店不错哦，住的很开心酒店不错哦，住的很开心', 'star': 5}
{'descr': '酒店就在湖南路上，离玄武门地铁站很近，离火车站就两站地铁也很近，周围吃东西的地方也很多，离狮子桥美食街三百米', 'star': 5}
{'descr': '经济型酒店，房间真的很小，基本的住宿是可以的。', 'star': 5}
{'descr': '服务不错，就是房间小了点，但是地段在南京的市中心，靠近湖南路，方便吃饭。', 'star': 5}
{'descr': '虽处南京繁华地段，但房间太小了，给人压抑的感觉', 'star': 1}
{'descr': '房间太小，在入住时见服务员和客人吵架，不管是对是错，客人总是上帝嘛。', 'star': 1}
{'descr': '位置不错，离地铁很低，步行到玄武湖10分钟，旁边就是狮子桥美食街，就是房间小了点，下次还来。', 'star': 5}
{'descr': '设备老旧', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '位置还是不错的，但比较难找，而起房间比较小，很吵，隔音很差，影响休息..电梯给人的感觉就是快掉下去的感觉', 'star': 1}
{'descr': '地理位置非常好，离地铁口非常近，去狮子桥也很方便。就是房间有点小，服务都还可以~', 'star': 5}
{'descr': '还不错，比较亮', 'star': 3}
{'descr': '我住的是高级大床房，但房间是我住过的汉庭中最小的，条件最差的房间。', 'star': 3}
{'descr': '马马虎虎，价钱还合理，就是位置不太好找，在一条小巷子里', 'star': 5}
{'descr': '特别喜欢汉庭的水龙头。还有油麦茶很好喝的！下次还会选择这的。', 'star': 3}
{'descr': '地处繁华路段，交通方便。离我们要参加会议的凤凰台酒店一街之隔，很方便。\n房间面积够大，但可惜窗是内窗，看不到室外景色。', 'star': 5}
{'descr': '陈旧，狭小的空间；污渍未清除的被单，和以往感受的汉庭品味相差太远。再也不住了。', 'star': 1}
{'descr': '地理位置还可以，离狮子桥很近，内部标准的汉庭配置，只是住一两个晚上还可以。·', 'star': 5}
{'descr': '位置很棒 出行方便 设施略显陈旧\n如果不计较居住环境 还可以', 'star': 5}
{'descr': '1.交通确实很方便；\n2.离狮子楼美食街也很近；\n3.房间太小了，确实太小了，还是商务大床房，真是大床房了，在那么小的房间里，床确实显得很大啊，摆一张床后，就没有什么空间了，走路都要借床才能过', 'star': 1}
{'descr': '位置比较好，离小吃一条街很近。离地铁也很近。', 'star': 5}
{'descr': '外面在装修，连个指示牌都没有。房间很小很小，没窗户。好在还是比较安静的。去新街口也很近。', 'star': 3}
{'descr': '交通便捷 房间整洁 总体感觉不错 性价比不错', 'star': 5}
{'descr': '毗邻美食街，交通便利，位置有点难找，需要添加标识。', 'star': 5}
{'descr': '噪音太大，整个晚上根本无法睡觉，换了一个房间还是不行，是我住的最差的地方，价格倒也不低。\n', 'star': 1}
{'descr': '酒店位置很好.附近就有几个景点.下次还会来这里', 'star': 3}
{'descr': '安排的房间居然在走到门外面。。失败。。。。毫无安全感！', 'star': 1}
{'descr': '地理位置不错，位居南京的市中心，紧邻狮子楼，但相对来说酒店比较陈旧', 'star': 5}
{'descr': '交通相当方便快捷，机火车站近，离地铁近，又在市中心，出行相当好。', 'star': 5}
{'descr': '还算不错，干净，就是没有自己的早餐厅，旁边吃的地方也不多，大门很难找，在一个背面的小胡同，太晚了都找不到，比起如家和七天，还是差一些', 'star': 5}
{'descr': '还行吧，就是房间比较小，交通还算比较方便', 'star': 3}
{'descr': '还可以吧，就是房间比较小，地段不错，交通方便', 'star': 5}
{'descr': '+价格偏高了一些，房间烟味大', 'star': 5}
{'descr': '酒店不错,服务也不错。', 'star': 5}
{'descr': '南京汉庭快捷酒店很好，是出行者的放心住处。信誉度也好。', 'star': 5}
