{'descr': '还不错，有停车位', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '闹中取静，不错', 'star': 5}
{'descr': '环境不错,出行方便', 'star': 5}
{'descr': '房间内的洗浴毛巾比较旧，其他还好。', 'star': 5}
{'descr': '位置好，环境好', 'star': 5}
{'descr': '现代男人两大爱好：拉良家妇女下水；劝风尘女子从良。女人两大爱好：和穷人总是在谈钱；和富人谈的全是感情。而不少客户却有两大爱好：和高端产品总在谈价格；和低端产品老是谈质量。。。', 'star': 5}
{'descr': '服务态度不好前台', 'star': 2}
{'descr': '一般般，水要放很久很久很久才会热', 'star': 3}
{'descr': '快捷酒店反正是价格比较实惠，想要太高要求也不可能', 'star': 4}
{'descr': '水槽没擦干净，房间无窗  超级小', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '很实惠，干净整洁，离万达又近', 'star': 5}
{'descr': '还不错的。', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '开森:P。。。。。。。。。', 'star': 5}
{'descr': '帮朋友预订的', 'star': 5}
{'descr': '挺好的，还很便宜', 'star': 5}
{'descr': '出差住的，地理位置很方便，价格希望能更优惠，', 'star': 5}
{'descr': '一直住如家', 'star': 4}
{'descr': '住着还不错', 'star': 5}
{'descr': '不记得有什么特别的，但总体还可以，可以住住', 'star': 5}
{'descr': '很好的地方，地点不错，另外比较新，干净，呵呵不错的地', 'star': 5}
{'descr': '房间很干净，又安静。值得推荐！', 'star': 3}
{'descr': '房间大小不一、电视超级小、并不是离万达广场最近的店、不过很喜欢电视可以点拨电视剧或者其他视频功能、特别爽！如家这个品牌做的还是不错的', 'star': 3}
{'descr': '入住的是在工商局院里面的酒店，目前泰州到处是拆建修，交通还算便利，但是吃饭购物不是很方便，不如万达广场旁边那家便利些', 'star': 5}
{'descr': '特地想提一下是因为退房的时候有不要的东西就留在房间里了，但服务员还是让前台提醒了我。第一次收到这样的待遇表扬下。', 'star': 5}
{'descr': '为什么102很臭呢。房间也不怎么大。用如家会员住那边还有满三送一。', 'star': 1}
{'descr': '\n条件尚可，隔音也还好，不过通风扇貌似是和楼上楼下通的？晚上会听到有冲水的声音……或者是管道水流声音……，总的来说，很值。好评。', 'star': 3}
{'descr': '酒店环境不错！早餐丰富！下次还会来住！停车方便！', 'star': 5}
{'descr': '酒店卫生不错，环境优雅，就是房门隔音不太好。。。 ', 'star': 5}
{'descr': '酒店卫生不错，环境优雅，就是房门隔音不太好。。。', 'star': 5}
{'descr': '酒店大床超大,标准间2个床都要5尺,睡了超爽？', 'star': 3}
{'descr': '交通方便，停车方便安全，卧具清洁。热水也很好。', 'star': 5}
{'descr': '不错，下次还会再来。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间干净,交通便利.房间干净,交通便利.房间干净,交通便利.房间干净,交通便利.房间干净,交通便利.', 'star': 5}
{'descr': '电视几乎看不了，老是卡，空调打开5分钟自动关机，毛病多多，但是房间布置的还是很温馨的', 'star': 5}
{'descr': '如家，一如既往地好！商务大床房很舒适，下次还会入住！', 'star': 5}
{'descr': '一如既往的好!干净，卫生，方便，停车场宽大，以后还会选择!', 'star': 5}
{'descr': '房间干净卫生，价格合理，如家的室内色彩总是给人温馨的感觉，停车方便，总体不错！', 'star': 3}
{'descr': '中规中矩。空调制暖很好。不是很新了。淋浴龙头水小。', 'star': 5}
{'descr': '卫生洁净，安全卫生，就是房间感觉上偏小了，要有心理准备。', 'star': 5}
{'descr': '不错  环境还不错\n~~~~~~~~~~~~~', 'star': 5}
{'descr': '很不错，设施和服务，在快捷酒店里非常好。不过隔音不好。', 'star': 5}
{'descr': '离万达十分钟  还不错  喜欢住在旁边有逛的地方', 'star': 5}
{'descr': '如家的酒店装饰还是很温馨的，给人家的感觉，特别是床单的颜色，看了心里暖融融的，还有床头灯既简单又温馨，很喜欢，比汉庭好，但我是汉庭的铂金会员，所以也只是偶尔住住如家，总体还是不错的！', 'star': 5}
{'descr': '停车方便，离市中心不远，尽管万达广场还没有开业，但是附近还有其他大卖场', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '房间干净，价格在泰州适中。。。', 'star': 3}
{'descr': '其他都还可以，就是隔音效果比较差。希望有所改善。', 'star': 5}
{'descr': '环境还行！就是空间小了点！隔音效果一般，电视该换了！', 'star': 5}
{'descr': '泰州如家快捷酒店万达广场店虽然大床房较小，但非常干净整洁，性价比很高。', 'star': 3}
{'descr': '是住过的如家中环境比较好的一家了，感觉比较新、干净，只是住宿那天隔壁住的客人半夜里号啕大哭一个小时，吵的整个楼层不得安宁，很郁闷！', 'star': 5}
{'descr': '很好服务一流   房间干净   给客人家的感觉下一回还住那里', 'star': 5}
{'descr': '下次还住', 'star': 3}
{'descr': '总体效果不错，地点适中，离马路有一段距离，不吵闹。房间的色调很温馨。窗户是双层的，隔音。网络线路设置的很隐蔽，不像其他酒店乱拉乱接。但房间墙壁不隔音。热水即开既有。一些小小的环保提示，让人很感动。唯一不足的是，电视太旧了。', 'star': 5}
{'descr': '房间干净整洁，色彩明快，热水很大，酒店服务到位，交通也很便捷，总体感觉相当不错，以后还会入住，并做推荐。', 'star': 5}
{'descr': '房间布局不合理，床就在门口，一开门就是床。', 'star': 1}
{'descr': '房间还好，就是不送早餐，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '房间还不错，就是服务员不是很热情；总体好可以啦', 'star': 5}
{'descr': '离市中心和客运南站都较远，但是房间交新，室内也很干净', 'star': 5}
{'descr': '很不错，不过就是网络很卡，其他很好，早餐12元很超值', 'star': 5}
{'descr': '环境还不错，可是被子不是粉红色的，是我最不喜欢的绿色。。。', 'star': 5}
{'descr': '一楼太潮，房间网速简直太慢，网页打不开，号称免费宽带，只能挂QQ，连手机上网都不如', 'star': 1}
{'descr': '很不错,比我想像的好', 'star': 3}
{'descr': '交通便利\n干净卫生\n推荐入住\n第二次入住', 'star': 5}
{'descr': '酒店设施还不错，价格也适中，是出差商务不错的选择，就是淋浴间没有门啊？？', 'star': 5}
{'descr': '洗澡水很好。不错，就是不好找，在工商局后面。', 'star': 5}
{'descr': '很好，住了3天非常舒服，最满意的的一点是没有骚扰电话。要是餐厅提供午餐和晚餐就完美了。', 'star': 5}
{'descr': '房间很大，但是没有衣柜哦！', 'star': 3}
{'descr': '酒店附近交通方便,附近的风景很好.价格合理!下次过来还住这家!', 'star': 5}
