{'短评内容': '一直住，干净，前台服务好很满意', '短评打分': 5}
{'短评内容': '酒店环境好，卫生条件好，', '短评打分': 5}
{'短评内容': '不错，房间挺暖和(｡･ω･｡)', '短评打分': 5}
{'短评内容': '早餐好，住宿好，都好，下次还来', '短评打分': 5}
{'短评内容': '挺好满意 以后会经常过来的', '短评打分': 5}
{'短评内容': '都不错，挺好', '短评打分': 5}
{'短评内容': '服务还可以，总体感觉不错。浴室喷头该修修了', '短评打分': 5}
{'短评内容': '房间蛮干净，出差到开发区很近。', '短评打分': 4}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '服务不错，方便', '短评打分': 5}
{'短评内容': '服务态度好，满意！', '短评打分': 5}
{'短评内容': '不错，下次来还是会选择', '短评打分': 5}
{'短评内容': '整体还行，时间开的不短了，设备一般', '短评打分': 3}
{'短评内容': '办事方便，下高速就是，边上新开了一个商业中心，什么都有，不错，还会去', '短评打分': 5}
{'短评内容': '安静也干净！', '短评打分': 3}
{'短评内容': '真不错', '短评打分': 3}
{'短评内容': '帮朋友定的，他说挺好的', '短评打分': 5}
{'短评内容': '还蛮不错，不过这次的房间，明显不如上次的，角落里还有严重的水渍', '短评打分': 5}
{'短评内容': '11年的酒店，环境非常不错，地理位置便利 价格也很公道。唯一不足之处就是不带早餐。\n房子装修的可以，空间比一般商务酒店要大很多。床也很舒适。', '短评打分': 5}
{'短评内容': '还不错,房间干净,装修比较新,位置也还成', '短评打分': 5}
