{'短评内容': '感觉几十年如一日的差！我想下次不会再住了！', '短评打分': 2}
{'短评内容': '服务特别好 房间整洁干净', '短评打分': 5}
{'短评内容': '整体都特别好', '短评打分': 5}
{'短评内容': '1、挂五星，临淄地区最好的酒店了。但不是“马里奥Marriott”之万豪。2、洗手间、盥洗台、门窗等达不到五星标准，破旧了。3、地下停车场不给用，前台给了几个说法。冬天露天停车过夜要有准备。4、服务尚可。似乎也不达五星标准。', '短评打分': 3}
{'短评内容': '房间很大，性价比高', '短评打分': 4}
{'短评内容': '只有这一个星级酒店。其他都是经济酒店。', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '非常不错，性价比很高，推荐这家！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '当地最好的洒店！', '短评打分': 5}
{'短评内容': '很好每次出差都来这里。领导很满意', '短评打分': 5}
{'短评内容': '刚开始还以为是国际连锁酒店品牌“万豪”， 到了才知道只是名字雷同罢了。 尽管比不上真万豪， 但设施还算可以， 毕竟价钱也比真万豪低了许多。 早餐还是不错的。 但不像山东其他的星级酒店， 这家是没有果盘送的。', '短评打分': 3}
{'短评内容': '酒店设施太差，房间基本没有隔音，早餐也差得不能再差，有很大的提高空间。', '短评打分': 3}
{'短评内容': '中等', '短评打分': 3}
{'短评内容': '家里装修，住了几天', '短评打分': 5}
{'短评内容': '淄博万豪酒店。', '短评打分': 3}
{'短评内容': '设施有些陈旧了！跟五星有点差距', '短评打分': 5}
{'短评内容': '临淄最好的酒店，离工作地点近；酒店条件不错，价格偏贵。', '短评打分': 5}
{'短评内容': '2008年的时候在这里住过两个月，当时感觉还是不错，很喜欢这里的环境和服务。后来陆续住过几次，一次不如一次。\n前天下午再次入住，实在是让人失望。\n早上通过网站预订的单人间，到了前台开好房间。进入房间居然发现是两张床，联系前台以后让礼宾送来了房卡。进入换好的单人间，发现面积小了很多，想想也无所谓，将就了。刚进入房间感觉非常的闷热，于是打开空调，房间窗户只能开一个小缝。和朋友聊了一个小时，感觉超闷热。', '短评打分': 1}
{'短评内容': '实在是不敢恭维！春节期间入住，前台接待很好，客房太一般，用儿子的话：哟臭味。。。  早餐9：30结束 8：40我们下楼用早餐，发现。。。。嗨。。。。嘛都没啦\n近二十位用餐者在刮餐盘。。。。\n建议对酒店在意着 选择20公里外张店入住', '短评打分': 1}
{'短评内容': '价格涨的太高了。客房服务比较好，有小礼物送。', '短评打分': 5}
{'短评内容': '还比较可以···当时通过这里预定的··上去一看竟然是标间··然后换了一下···服务态度还好、一般般···每天也有水果··还不错', '短评打分': 5}
{'短评内容': '离工业区近，房间内硬件一般，水有点小，服务很好。西餐厅吃的东西不多', '短评打分': 5}
{'短评内容': '此酒店挂5星，说实在的不够：\n1. 入住时用了很长时间刷外卡交担保金，最后也不能成功，换了国内卡才解决 - 5星级酒店应出现这种情况吗？3星宾馆一般也不应有这种问题；\n2. 西餐厅的餐食绝谈不上“西餐”，尽管味道尚可；另外我们的外国客人就餐时餐厅人员在附近用吸尘器吸地毯，其他人擦洗餐具 - 这不应该是5星级宾馆的做法。希望酒店管理层对服务人员加强培训。\n3. 房间足够大，装修偏旧，尤其是卫生间 -', '短评打分': 5}
{'短评内容': '位置有点偏，房间整洁，早餐丰富，服务周到，下次还来', '短评打分': 5}
{'短评内容': '位置有点偏，但是房间很大很整洁，服务周到', '短评打分': 5}
{'短评内容': '还不错，性价比很好，交通也十分方便~住的比较舒服~', '短评打分': 5}
{'短评内容': '优点:这次商务出差,属于出差地星级最高的酒店,退房可以延迟到下午2点,前台和行李房,客房服务都不错.\n缺点:早餐的菜品有些少,有点不符合5星级酒店标准.特别要说下餐厅服务员,我找了一圈餐台没有找到咖啡勺子,然后坐到座位上后找服务员,让她帮我拿下,服务员跟我说让我自己去餐台,我真无奈了,我又去了餐台,然后问餐台的服务员,她居然让我找座位附近服务员,后来LG很生气的拿了跟筷子当咖啡勺搅拌工具,结果更可', '短评打分': 1}
{'短评内容': '总体来说，酒店的服务在提高。不过仍然有不少需要改进的地方。前台退房速度需要提高。早餐没有热牛奶，需要单独要。housekeeping服务不错。门童择人服务。', '短评打分': 5}
{'短评内容': '房价只包含一位早餐，另一位要付58元。如果偶尔入住还可以，可是连续住了几天就会发现每天的早餐都是一样的……晚餐倒很丰盛，特别是水果。呵呵', '短评打分': 5}
{'短评内容': '房间同一价格房型不同，有大有小，有的感觉超值，有的感觉勉强。但是服务比较温馨，退房前一天总会有小礼品和客户满意度调查问卷，可惜每次都是匆忙离开，没能够填写……', '短评打分': 5}
{'短评内容': '连续住了十天左右，能够感觉到比上次入住好了很多。特别是前台服务人员，一个女孩的微笑令人感觉如沐春风，而且她记性特好。', '短评打分': 5}
{'短评内容': '房间不错，就是早餐只有一位的，再加一位要58元，有点不值。', '短评打分': 5}
{'短评内容': '貌似五星级酒店，但是服务各方面也就四星级吧', '短评打分': 1}
{'短评内容': '1.作为一家号称五星级的酒店，硬件设施不错。\n2. 作为一家号称五星级的酒店，软件设施相应较差。服务意识仍然远远落后于其他城市同类酒店。\n3. 作为一家号称五星级涉外酒店，竟然找不到可以讲英语的接待人员。即使有，也是磕磕绊绊蹦单词的那种。\n4. 作为该城市唯一一家此档次的酒店，如果非得住在这个城市不可，这是最好的选择。呵呵', '短评打分': 5}
{'短评内容': '硬件还行，软件一般的。游泳池巨冷无比，而且黑暗，更衣室柜子无锁，淋浴房没水！客房楼道地毯陈旧，最可怕的是房间内毛巾是灰灰的。感觉超差', '短评打分': 3}
{'短评内容': '酒店不错，就是在临淄这个地方，价格有些高', '短评打分': 5}
{'短评内容': '服务还好，但是没有想象中的好，在外的临淄人希望临淄的服务行业越做越好', '短评打分': 5}
{'短评内容': '太差了，原来是戴斯酒店，后来戴斯撤了，管理一塌糊涂，还挂牌5星！？？空调要从下午5点半开，9点半结束，晚上12点房间内部分插座和设备电源自动切断，技术挺高啊！！简直无语！！！', '短评打分': 1}
{'短评内容': '酒店性价比不高，468元的房间竟然才给一份早餐，而且早餐质量真的太差了！', '短评打分': 1}
{'短评内容': '很好！服务热情周到！很满意！继续努力再接再厉！', '短评打分': 5}
{'短评内容': '万豪酒店设施不错，就是在临淄这个地方，显得价位有点儿高', '短评打分': 5}
{'短评内容': '的确是服务很有特色的酒店，很多大集团管理的酒店都未必能做得这么好。员工的微笑感觉是真心的...难得，有机会大家可以去体验下！ ', '短评打分': 5}
{'短评内容': '酒店整体挺不错设施挺不错。隔音效果不是什么太好。', '短评打分': 5}
{'短评内容': '酒店房间的硬件不错，早餐种类太少，达不到5星标准.', '短评打分': 5}
{'短评内容': '这家酒店硬件很好，外观上气势恢宏，内部装修也是温馨适意。但是服务上却乏善可陈！\n早餐本来品种就少，8点之后就几乎是残羹冷炙的感觉了，很多餐盆已经见底，咖啡也总是处于空壶状态，刀叉之类要反复向服务生申请多次才会姗姗然送到。\n大堂服务也是让人只有唏嘘的份，我去之后没有行政客房，告诉我入住后再调，中午打去电话，说是正在打扫，等了足有两个小时也没有等来，只好作罢。\n总之是一句话，管理松懈，服务不规范，离高', '短评打分': 1}
{'短评内容': '早餐太差！服务一般。不符合五星级标准', '短评打分': 5}
{'短评内容': '已经没有外资的管理了，和去年相比服务差了很多！', '短评打分': 1}
{'短评内容': '房间不错，就是隔音不好。建议不要把原来的套房改为标间，两个房间中间的门老感觉不安全。', '短评打分': 5}
{'短评内容': '没啥说的. 我的客户在临淄, 虽说是山寨, 也就这酒店还够五星. 要不去市中心张店, 但离我的客户太远了. ', '短评打分': 5}
{'短评内容': '环境还行卫生设施都挺好就是前台服务有些差服务员挺少的，价格算比较适中。但是不是在市区的所以出行的话有些不方便。', '短评打分': 5}
{'短评内容': '山寨酒店，一定要看清才入住。\r\n昨天住过后，今天住到真五星，才感觉差距啊。\r\n而且德州这家柳湖书院还比山寨酒店便宜呢。', '短评打分': 1}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '这是一家高仿山寨版. 但在淄博几乎算是最好的酒店. 特别是到临淄区,简直别无二选. ', '短评打分': 5}
{'短评内容': '设施干净舒适，服务很周到人性化，圣诞期间每晚还有小礼物赠送。总之很不错的酒店，下次还会选择', '短评打分': 5}
{'短评内容': '这是目前淄博最好的，干静、整洁，床品舒适。离临淄中心较远，购物环境较差。', '短评打分': 5}
{'短评内容': '下了高速就能到这家酒店,房间里面也很宽敞,而且很干净,住着比较舒适,就是早餐品种有些少.', '短评打分': 5}
{'短评内容': '位于临淄区，距淄博张店市区要20公里，距老城区还要再20公里，离济青高速近，开车上下高速方便。\r\n\r\n礼宾员讲齐鲁石化在临淄，所以这个酒店是按5星标准建的，戴斯管理的，最近正在申请评星。酒店新，气派，大堂高又大，亮堂。但到处摆着祝贺的工艺品，有点那个。中肯的讲，能评上四星就不错了，我觉得顶多不挂牌四星。\r\n\r\n再怎么说，酒店是新的，服务员态度都很好。我们住的是50平米的大床间，房间很宽敞，是个连通', '短评打分': 5}
