{'短评内容': '支付完了就退款，酒店原因没住成', '短评打分': 5}
{'短评内容': '怎么评价呢，支付完了就给退款，没住成', '短评打分': 3}
{'短评内容': '好，非常好', '短评打分': 5}
{'短评内容': '房间大，安静，而且离五环很近，出行不易堵车', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 5}
{'短评内容': '早餐一般，停车可以', '短评打分': 3}
{'短评内容': '非常适合及干净的酒店', '短评打分': 4}
{'短评内容': '酒店设施很好！', '短评打分': 5}
{'短评内容': '交通便利，周边购物吃饭的地方很多', '短评打分': 5}
{'短评内容': '附近有机场大巴，公交站和地铁站，交通方便。早餐丰盛。酒店设施齐全，健身设施多。房间不大，很舒适，床很舒服。', '短评打分': 5}
{'短评内容': '不错哦。', '短评打分': 5}
{'短评内容': '房间小了点，其他的还不错。', '短评打分': 5}
{'短评内容': '虽然说是4星酒店，但是里面的配套设施真的不像4星级酒店，没有淋浴的拖鞋，就算是正常的拖鞋也和快捷酒店的差不太多，而且就连剃须刀也没有，最少快捷酒店还有可以消费的剃须刀让客人选择，但是一个4星酒店连消费的剃须刀都没有，还有就是每天只给两瓶矿泉水，如果不够那只有自己掏钱购买，一个4星酒店连水这样最起码的条件都不能满足客人，这是一个4星级酒店该有的水准吗？', '短评打分': 1}
{'短评内容': '酒店非常好！空调巨凉，就是洗澡水不太稳定一会凉一会热的。', '短评打分': 5}
{'短评内容': '不错的东西呀呀呀呀呀呀呀呀呀呀呀呀', '短评打分': 5}
{'短评内容': '超级棒已经多次入住了', '短评打分': 5}
{'短评内容': '房间挺好的，很干净，京东预定很方便，好评。。。', '短评打分': 5}
{'短评内容': '服务挺好的，多次入住，感觉不错', '短评打分': 5}
{'短评内容': '服务挺好的，多次入住，感觉不错', '短评打分': 5}
{'短评内容': '老酒店了，条件一般', '短评打分': 3}
{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '酒店环境和服务都很不错的，每次到北京出差都是选择万商花园酒店的，交通和出行都是很便利的，很值得一宿！', '短评打分': 5}
{'短评内容': '商旅出差的好选择', '短评打分': 5}
{'短评内容': '在北京这算还不错了！', '短评打分': 4}
{'短评内容': '在北京算还可以吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店位置还行，装修有点老了。房间有烟味和异味，一连换了3间。看来管理还有待跟上', '短评打分': 4}
{'短评内容': '不错，开会就在酒店里，比较方便。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '双床换大床很快解决，态度好。房间空间大，布局合理，床够大。楼道显旧酒店周边环境应有尽有。总体满意', '短评打分': 5}
{'短评内容': '交通方便，服务热情。', '短评打分': 3}
{'短评内容': '前台服务人员的态度很好！让我感到很欣慰。', '短评打分': 5}
{'短评内容': '环境卫生很好，服务也不错，就是价格偏贵些，房间面积偏小，请做改善', '短评打分': 5}
{'短评内容': '感觉非常好，很喜欢这个酒店，特别是标间，还有个台子可以坐着，非常舒适', '短评打分': 5}
{'短评内容': '很一般，check in 后等收拾房间等了半个小时，酒店性价比比较低。', '短评打分': 3}
{'短评内容': '大厅环境不错，房间的布局很喜欢，订的套间，性价比高，很安静，周年纪念日还会过来住~~', '短评打分': 5}
{'短评内容': '价格偏贵，离地铁站稍远，房间倒是挺干净的。性价比不高。', '短评打分': 1}
{'短评内容': '爸爸妈妈去住的,回来说很干净,环境安静,服务也好,工作人员很和善,早上离开时酒店给叫了出租车.爸妈很满意.', '短评打分': 5}
{'短评内容': '还不错，值得住，环境设施都很好，但是价格稍微有些偏贵', '短评打分': 5}
{'短评内容': '价格有点高，前台办理入住的时候有点慢，我们进屋后有别的人拿门卡进入了我们的房间，但是，服务人员的态度还不错，我们遗忘在房间的东西，积极帮我们寻找，并交换我们，表示感谢', '短评打分': 5}
{'短评内容': '不错！只是房間偏小', '短评打分': 3}
{'短评内容': '很一般的商务酒店，三星标准。位置还可以，环境不好，比较乱！服务人员好像没有经过培训，毕竟住家的感觉', '短评打分': 1}
{'短评内容': '总的说服务还可以，性价比低，价格定位不合理！', '短评打分': 1}
{'短评内容': '酒店的服务太多不错，干净舒适，我的客户很满意。', '短评打分': 5}
{'短评内容': '酒店服务员的服务周到，总体上来说卫生，居住舒适。', '短评打分': 5}
{'短评内容': '房间设计及服务很好，价格贵，含早的话就完美了！', '短评打分': 5}
{'短评内容': '酒店设施很好，很不错！虽然没有早餐，但附近餐饮很方便。下次来还住这里。', '短评打分': 5}
