{'短评内容': '环境还不错，约个妹子一起就更好了。', '短评打分': 5}
{'短评内容': '还行吧，约妹子来这三次了。', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '很好，主要是有美女陪，这样才叫最好', '短评打分': 5}
{'短评内容': '环境还可以，关键服务不好', '短评打分': 5}
{'短评内容': '都住了快两月了，推荐', '短评打分': 5}
{'短评内容': '没有早餐不太方便，其他尚可', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '性价比Ok', '短评打分': 5}
{'短评内容': '很满意的一家宾馆', '短评打分': 5}
{'短评内容': '分享您对酒店环境服务设施和价格等的感受真他妈恶心。', '短评打分': 2}
{'短评内容': '设施太少了', '短评打分': 3}
{'短评内容': '有时候早上水不是太热！居然3158房间还有老鼠！太可怕了！希望酒店以后要多多改进！', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '还可以性价比高，个别房有气味，服务员立马换房间后就好了，下次继续来', '短评打分': 5}
{'短评内容': '此店首先在外面看上去，完全和乡镇民宅无异！内部实施简单，无性价比可言！', '短评打分': 1}
{'短评内容': '性价比高，后面一条街吃饭方便，不过饭馆质量和服务都不行，酒店位置有点偏，所以很安静啦！', '短评打分': 5}
{'短评内容': '性价比还行，干净，设施较新，地方有点偏僻，要提高服务质量，能做到的，尽量为客人的要求着想！', '短评打分': 5}
{'短评内容': '住的挺好，卫生，安静，床大', '短评打分': 3}
{'短评内容': '总体来说还可以吧，床蛮大的，卫生做的也挺好的！', '短评打分': 5}
{'短评内容': '内部环境还可以，比较卫生，有宽带但是需要自带电脑，里面不是电脑电视一体机，不太方便，希望改进，外面街道有点吵', '短评打分': 3}
{'短评内容': '酒店是临街的，有点吵。房间设施还可以，但是没有吹风机，即使每间房不配备，在每一层安一个公用吹风机也好啊。', '短评打分': 5}
{'短评内容': '很干净，设施很好，住得舒服。但是位置有点偏僻', '短评打分': 5}
