{'短评内容': '没有早餐，但是周围吃饭的地方很多', '短评打分': 5}
{'短评内容': '不错哟', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '地处小镇交易市场，吃饭，旁边、对面都有。 房间面积较大，采光充足，设施齐备。 装修较老，隔音差，夜间卡车轰鸣声较大。', '短评打分': 5}
{'短评内容': '酒店地处交易市场，很闹，夜里经常有货车、大卡车的轰鸣声。隔音效果也不好。本想续住的，太吵，就换地方了。房间还是蛮大的。', '短评打分': 5}
{'短评内容': '莫泰168酒店算是上海市松江区叶榭镇除了格瑞斯以外最好的酒店，在叶新公路上，出了酒店就是一个大超市和公交车站，交通非常便利。内部环境相对于其他莫泰168会差一点，但是性价比非常高。', '短评打分': 4}
{'短评内容': '办理入住快，房间大，就是卫生不是很好，楼下什么都有，还算方便，还是推荐的！', '短评打分': 5}
{'短评内容': '房间不错 环境很好 服务态度很好', '短评打分': 3}
{'短评内容': '房间里很干净，都是有较重的味道呀！另外有个前台服务员态度不太好哦！所以今天转其他酒店住啦！', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '房间环境很干净，卫生做的也很好。', '短评打分': 3}
{'短评内容': '放假很大，卫生，，环境很干净。', '短评打分': 3}
{'短评内容': '叶榭镇上唯一的一家连锁酒店，不错，就是大床房都是靠路边的有点吵', '短评打分': 5}
{'短评内容': '叶榭镇上唯一的一家连锁酒店，不错，就是大床房都是靠路边的有点吵', '短评打分': 5}
{'短评内容': '挺干净，就是床头没插座啊，电视画面有些模糊，其他都挺好的', '短评打分': 5}
{'短评内容': '酒店地理位置优越，房间干净，服务人员热情周到，价格实惠', '短评打分': 5}
{'短评内容': '酒店不错，很好，环境很好，伙食也不错，交通便利。', '短评打分': 5}
{'短评内容': '房间离电梯太远了拉 ，走死我了。不过卫生还好，比较满意', '短评打分': 5}
{'短评内容': '服务还不错，态度好很好！房间也委干净，设备很齐全以后还会选择它。', '短评打分': 5}
{'短评内容': '房间很宽敞很干净很舒服', '短评打分': 3}
{'短评内容': '有点吵', '短评打分': 3}
