{'短评内容': '环境很好，叶燕明服务好。', '短评打分': 5}
{'短评内容': '环境优美。服务很好。很满意。', '短评打分': 5}
{'短评内容': '服务热情', '短评打分': 5}
{'短评内容': '酒店服务很好，郑雅婷', '短评打分': 5}
{'短评内容': '酒店服务很好，环境也很好，郑雅婷和叶燕明服务特别棒', '短评打分': 5}
{'短评内容': '酒店位置好找，有停车场  ，环境很好，前台接待热情，李斌和陈泳的服务态度很好。', '短评打分': 5}
{'短评内容': '非常好，干净', '短评打分': 5}
{'短评内容': '酒店外面环境很棒，但是内部太久了，早餐也很差。', '短评打分': 5}
{'短评内容': '酒店环境很好，设施也很不错，就是有点远！服务很好', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '周边环境不错，空气清晰，下次还来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好的酒店，就是交通不是太便利，当然，自驾游就没有问题了，值得推荐。', '短评打分': 5}
{'短评内容': '首先环境真的挺不错，进入酒店之前的路就风景优美令人心旷神怡！其次酒店服务态度不错，免费帮我们升级到不错的房间，进入房间后觉得设施挺好，我们的阳台正对高尔夫球场，还有湖景色很美，空气也很好，晚上买了一堆零食和啤酒在阳台上赏月，舒服极了！ 最后就是含了故乡里的套票，在公园里玩得挺开心的。   不满意的地方就是酒店大堂就是售楼中心，人多，脏杂乱。不足之处因为酒店方面没有提早预计到客流量，去得晚了竟然要在', '短评打分': 5}
{'短评内容': '首先环境真的不错，进入酒店之前看到很美丽的湖泊就令人心情大好！附近的农庄菜很好吃。  其次服务态度很好，免费帮我们升级到不错的房间，进入房间后觉得设施挺好，我们的阳台正对高尔夫球场，还有湖景色很美，空气也很好，晚上买了一堆零食和啤酒在阳台上赏月，舒服极了！  最后就是含了故乡里的套票，在公园里玩得挺开心的。  不足之处因为酒店方面没有提早预计到客流量，去得晚了竟然要在另外大堂吃早餐，但是这边供应的', '短评打分': 5}
{'短评内容': '打球非常好，环境安境，空气好。离机场1小时，服务热情。我们是办事加打球，感觉很合适。入住愉快。', '短评打分': 5}
{'短评内容': '虽然路途偏点，但入住环境不错。', '短评打分': 5}
{'短评内容': '酒店环境各方面还可以啦', '短评打分': 5}
{'短评内容': '酒店还是很不错的，比较宽敞舒适，服务态度很好，尤其是前台的服务员，都非常耐心。周边环境很值得一看，特别是五星级的高尔夫球场。不过这么多年了，酒店房间的设施有点开始陈旧的感觉，而且五星级的酒店，真的是连速溶咖啡也不供应哦——这个就有点……还是会推荐，里面的饭店都不贵，那样的价位在那样的五星级酒店里面的话。', '短评打分': 5}
{'短评内容': '环境清优，空气清新，是度假的好去处。', '短评打分': 3}
{'短评内容': '碧桂园的酒店都不错,周边风景很好。', '短评打分': 3}
{'短评内容': '环境非常好，设施不错', '短评打分': 3}
{'短评内容': '网球场太差', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '已入住广州碧桂园半岛假日酒店,酒店没安要求安排大床房,很奇怪的是五星酒店竟然没有咖啡配,将就点吧，让自己过个愉快的假期。', '短评打分': 3}
{'短评内容': '房间较新，收拾的干净整洁，工作人员态度也是不错的。', '短评打分': 5}
{'短评内容': '价格是有点高，总的还可以的。', '短评打分': 5}
{'短评内容': '普通的高尔夫酒店，设施比碧桂园其他酒店要差，性价比较好，周末很多人', '短评打分': 5}
{'短评内容': '位置比较偏，不适合商务，酒店的卫生服务都很好，房间的配套设施也很不错，价格比较偏高。卫生服务也很好，值。比价适合度假的酒店。', '短评打分': 3}
{'短评内容': '千万别信什么广州两个字，这个地方离广州远着呢。这个地方没有车别去，没有时间也别去住。用一个广州的电话却根本就是在清远，客人来找我，打的花了600多块，从酒店出来根本就没有Taxi, 根本算不上4星的规格。后来碰到广州的朋友，每个人都笑话我上当了。', '短评打分': 3}
{'短评内容': '这家酒店感觉很失望，位置特别偏，要是自己没车的话特别不方便，环境也不太好，房间里有霉点，霉味也很重，性价比不好', '短评打分': 1}
{'短评内容': '这家酒店环境那是不错，但是受介绍蒙骗以为在广州，其实已经到了清远，交易会期间为了让客人有一个好的环境休息定了这家，结果从会馆到酒店打的花了500多元，快一个小时在路上，这不是在广州，这是在另外一个城市。而且酒店还没有出租车，那是十分不方便。', '短评打分': 1}
