{'短评内容': '还不错就是隔音差了点', '短评打分': 5}
{'短评内容': '隔音效果太差', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '卫生做的。。。太差了。。。那个马桶，好尴尬', '短评打分': 2}
{'短评内容': '服务态度差死', '短评打分': 1}
{'短评内容': '床单不换，电视没信号，服务员态度很差。无线网没信号。', '短评打分': 5}
{'短评内容': '服务员态度还好，位置实在难找，价格也还可以了，要求不要太高。', '短评打分': 5}
{'短评内容': '黎明考虑突突突突突突跳一下', '短评打分': 1}
{'短评内容': '您 ins from 色色素啦啦啦啦啦考虑突突突中', '短评打分': 5}
{'短评内容': '设施有点旧', '短评打分': 3}
{'短评内容': '酒店位置不错，房间很大，就是很吵，房间还有蚊子，用的纸巾还要收费，其中有免费赠送软盒饮料也没有，酒店服务态度比较差', '短评打分': 3}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '房间有一股怪怪的味道', '短评打分': 2}
{'短评内容': '还不错，服务挺好', '短评打分': 5}
{'短评内容': '还行吧，给满星，下次还会考虑', '短评打分': 5}
{'短评内容': '还行吧，给满星，下次还会考虑', '短评打分': 5}
{'短评内容': '还行吧，给满星，下次还会考虑', '短评打分': 5}
{'短评内容': '总体来说不是很好的体验', '短评打分': 3}
{'短评内容': '环境不错，交通便利靠近sm.楼下就是公交车站', '短评打分': 4}
{'短评内容': '整体感觉还可以，就是洗手间卫生有死角…淋浴房的防滑垫不行，建议更换。', '短评打分': 3}
{'短评内容': '干净，温馨，舒适，有特色！值得入住，应多开分店！', '短评打分': 5}
{'短评内容': '很温馨~值得入住，唯一的不足就是电视机下方走线口未做封闭处理~~', '短评打分': 5}
