{'短评内容': '挺干净的，感觉还可以', '短评打分': 5}
{'短评内容': '前台服务很好哦～不错不错', '短评打分': 5}
{'短评内容': '酒店位置还不错，隔音效果很不错，房间很宽敞，床很舒服，房间设施完善，淋浴室很干净，洗漱用品俱全，有停车场，停车方便。', '短评打分': 5}
{'短评内容': '环境好非常舒适前台服务也很好', '短评打分': 5}
{'短评内容': '房间小，洗澡的是头顶的花洒没有可移动的喷头，必须要带浴帽，这个小酒店可能是很早的酒店，而且没有洗浴拖鞋，光脚或者自带拖鞋，设施很不好，服务还可以', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境一般，服务没有，设施差，价格贵，不推荐…', '短评打分': 1}
{'短评内容': '条件一般般  价格不算贵', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错，物超所值哦！在艺龙上订的，结果比想象中好太多了，强烈推荐', '短评打分': 3}
{'短评内容': '总体还可以，就是有点老', '短评打分': 3}
