{'短评内容': '很不错，窗外夜景漂亮，就是有点小吵。', '短评打分': 5}
{'短评内容': '房间有点小，不过床睡的挺舒服的。。不错', '短评打分': 5}
{'短评内容': '细节很贴心，就是隔音效果不大好。', '短评打分': 5}
{'短评内容': '挺干净的！', '短评打分': 5}
{'短评内容': '房间很小，很小，很小', '短评打分': 5}
{'短评内容': '出差住的，周边很多店，买东西很方便，服务也很周到，希望可以给老客户更多优惠，以后有机会还会继续支持的～', '短评打分': 5}
{'短评内容': '进出方便，就是停车麻烦些', '短评打分': 5}
{'短评内容': '好，很好！非常好，真不错', '短评打分': 5}
{'短评内容': '价格相对来说比较实惠，位置较好，出行方便~', '短评打分': 5}
{'短评内容': '第一次用京东订酒店价格真便宜', '短评打分': 5}
{'短评内容': '不错不错，挺好', '短评打分': 5}
{'短评内容': '还不错 地理位置很好', '短评打分': 5}
{'短评内容': '还行，床也很软！', '短评打分': 5}
{'短评内容': '环境不错，特别是双数号的商务大床房，阳光充足；位置也不错，周边购物、小吃应有尽有；电梯要刷卡，能防止人员到处走动，安全性好。', '短评打分': 5}
{'短评内容': '不好看到哪里了吗我现在还不想说话啊在吗？。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。？', '短评打分': 5}
{'短评内容': '地理位置不错，吃饭、购物非常方便，但周边环境不好，边上就是菜市场，紧靠马路，又脏又乱，非常吵，下次去合肥估计不会再住这了。', '短评打分': 4}
{'短评内容': '还不错。交通便利，周围吃饭逛街什么的特方便。', '短评打分': 5}
{'短评内容': '不错服务和打扫工作人员都很nice 周围环境很不错', '短评打分': 5}
{'短评内容': '房间打扫需及时些更好', '短评打分': 5}
{'短评内容': '住的房间不错，但是周围是市场，环境略微嘈杂', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '房间还是挺大的，比较干净，就是靠近闹市有点吵。总体不错。', '短评打分': 5}
{'短评内容': '第一次住如家，感觉不怎样。房间小的惊人，有个窗子，但是居然是通向走廊的&hellip;&hellip;隔音效果一般。床单也只是看起来干净。不过热水充足，还有净化水。另外就是上楼的电梯慢的像龟爬&hellip;&hellip;以后尽量不选择了，也不算便宜。', '短评打分': 3}
{'短评内容': '环境不是很理想，不过还可以！', '短评打分': 3}
{'短评内容': '酒店地理位置不错，感觉还好，就是有点吵，毛巾也很久和破了。', '短评打分': 5}
