{'短评内容': ' 还行。', '短评打分': 5}
{'短评内容': '交通便利，性价比高！不错', '短评打分': 5}
{'短评内容': '位置好，周边配套齐全', '短评打分': 4}
{'短评内容': '位置好，周边设施齐全', '短评打分': 4}
{'短评内容': '定的是个自主大床房，由于火车到站时间比较晚，又转了两趟地铁，到地方已经是11点了。地方挺好找的，6号线D口出，出来右手就是武汉第一人民医院体检中心。直走走到红绿灯，不过马路顺着右手右转，再往前走个百把米看到一个斑马线，过马路到对面。往右手方向再向前就看到大牌子了，进那个巷子位子就到了。前台接待态度还好，告诉我没有大床房了，对，我付了担保金但是没给我留，给我换成双人标间了。我想着晚了，好吧也行了，就', '短评打分': 4}
{'短评内容': '不错，不错，比如家好N倍', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '无线网络一般', '短评打分': 3}
{'短评内容': '房间太差', '短评打分': 3}
{'短评内容': '几年前住过，交通方便。其他变化不大', '短评打分': 4}
{'短评内容': '环境很好，离医院很近，下次有机会还会再来的哦！！！！！！', '短评打分': 3}
{'短评内容': '环境不错，价格实惠。', '短评打分': 3}
{'短评内容': '离第一医院近。', '短评打分': 2}
{'短评内容': '位置不错 就是房间电视信号不行 可能是下雨干扰', '短评打分': 4}
{'短评内容': '交通便利,房间小点儿,但很干净,值得推荐.', '短评打分': 5}
{'短评内容': '酒店位置还不错，周围有好多小吃和购物的地方，酒店装饰也还可以总的来说比较实惠，还有吹风机，不错的，下次还会选择的', '短评打分': 5}
{'短评内容': '恩，住了一天，在市中心，交通方便，不错，值得选择。', '短评打分': 5}
{'短评内容': '还可以！就是卫生间酒了点。\n离武汉市第一医院很近！呵呵！', '短评打分': 5}
{'短评内容': '酒店一般，就是空调不给力！其他的还好！不要抱太大的希望住好酒店！', '短评打分': 5}
{'短评内容': '房间稍小，安静，可人的的地理位置，汉正街咫尺之遥，离古琴台和长江大桥不远。还算理想。', '短评打分': 5}
{'短评内容': '环境还不错…不吵…值得一住…', '短评打分': 3}
