{'短评内容': '非常喜欢这个', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '早餐一般，我是北方人，不习惯吧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店很安静', '短评打分': 4}
{'短评内容': '不错，性价比很高，喜欢！', '短评打分': 5}
{'短评内容': '服务不错就是房间比较差劲', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '新酒店很舒服，房间有点小，设备齐全。唯一缺点就是外围施工，早上7点就被吵得无法入睡。办理入住的时候问前台可否调整房间到安静的一面，前台直接拒绝。话说咱在香港住多了酒店，在淡季几乎一定会免费升级房间。反正你入住率低，空房这么多，为什么不给安静的房间？？？？？', '短评打分': 4}
{'短评内容': '酒店在雁田一带算是不错的，但是就是旁边在建房子，一早就很吵！', '短评打分': 5}
{'短评内容': '一直住这家，值得推荐！', '短评打分': 4}
{'短评内容': '一如既往，不错，推荐！', '短评打分': 4}
{'短评内容': '商务出差还算可以', '短评打分': 4}
{'短评内容': '酒店虽小，但是总体不错，早餐不算多，但是品质还是可以，商务出差，足够了！推荐入住！', '短评打分': 5}
{'短评内容': '周边配套不行', '短评打分': 4}
{'短评内容': '很不错的酒店。周边稍微繁华点就好了。', '短评打分': 5}
{'短评内容': '很不错的酒店。周边稍微繁华点就好了。', '短评打分': 5}
{'短评内容': '很不错的酒店。周边稍微繁华点就好了。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
