{'短评内容': '床单有洗，放心睡。', '短评打分': 5}
{'短评内容': '很一般很一般。卫生间马桶摆放得及其不合理！再也不会选择这家酒店', '短评打分': 3}
{'短评内容': '酒店地理位置很好，交通方便，出行方便，离办事地点很近，酒店工作人员服务态度很好，很热情，房间干净卫生，阳光充足，洗漱用品还可以。', '短评打分': 4}
{'短评内容': '房间做得很暧昧，整个酒店的房间也非常大，但是，酒店里的设施实在是不敢恭维，很多东西不都不能用，也不好用。服务水平我看连三星都不够，设备维修严重不到位。', '短评打分': 3}
{'短评内容': '每次都住这里，习惯了，就是早餐现在有点简单了！', '短评打分': 5}
{'短评内容': '酒店在吴忠等级算比较好的，但真的很一般，卫生服务都没有亮点，地毯不干净，早餐不多，但也能吃饱，特别提出早餐的接待妹妹还是很热情的。总之酒店整体水平在三星左右。出门右边走5分钟有商场，买东西还算方便', '短评打分': 4}
{'短评内容': '地理位置不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，办事方便，感觉很好，就是浴室花洒水太小，当然毕竟在西部缺水的地方。', '短评打分': 5}
{'短评内容': '酒店位置很好，很舒适，感觉确实不错，就是浴室花洒水太小，当然毕竟在西部缺水的地方。', '短评打分': 5}
{'短评内容': '位置不错，房间内有点味儿。', '短评打分': 5}
{'短评内容': '一直在这住，环境很不错', '短评打分': 5}
