{'短评内容': '刚开始忘记了给我们留房间到后来给了我们还要好的房间,服务态度不错', '短评打分': 3}
{'短评内容': '位置不错，比较好找，房间比较干净，服务热情。', '短评打分': 5}
{'短评内容': '酒店位置很方便我的出行，这个价位很值了！', '短评打分': 5}
{'短评内容': '价格还行，房间面积很大，给人感觉挺新的。但是被子和枕头等很不干净', '短评打分': 5}
{'短评内容': '价格便宜 离黑水路和远东还有车站都很近 服务态度好', '短评打分': 3}
{'短评内容': '不错，位置服务都行！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好，下回还住这！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '睡得还算舒服，没有网线插口，只可以看电视。有空调，可以淋浴，算是实惠的了', '短评打分': 5}
{'短评内容': '在火车站没坐车 走着去的 很远 住的环境不咋地', '短评打分': 1}
{'短评内容': '位置比较偏僻 难找一点。隔音很不好 隔壁说什么都能听清 其他都还行。要住一百以下的话建议入住。', '短评打分': 5}
{'短评内容': '酒店环境还不错~不过像是居民楼改建的~服务态度挺好的~', '短评打分': 5}
{'短评内容': '还行吧，就是隔音效果不太好', '短评打分': 3}
{'短评内容': '服务态度好，绝对没得说，那天住的还行，只是热水不够用，热水器容量太少……', '短评打分': 5}
{'短评内容': '很好。实惠@！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '条件一般，凑合着住吧，谁让价格便宜呢，隔音效果比较差', '短评打分': 5}
