{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较干净卫生', '短评打分': 5}
{'短评内容': '位置很不错', '短评打分': 5}
{'短评内容': '离大昭寺布宫很近，很方便', '短评打分': 5}
{'短评内容': '价格比较低，实惠，准确，比其他网站便宜', '短评打分': 4}
{'短评内容': '这应该是最差最差最差最差的七天了 差到无与伦比 卫生间下水管漏水 房间还特别小 图中是酒店所描述的液晶电视 直接叫显示器不就好了 房间好像隔板房隔出来的 床单被罩有明显的黄渍 因为凌晨一点多才到 太晚了也就懒得换了 ', '短评打分': 1}
{'短评内容': '不错。     ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '除了窗户不满意外，其他的还算可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间设施设备陈旧，好在离大昭寺、玛吉阿米、阿可丁都很近，冬季房价着实便宜。', '短评打分': 4}
{'短评内容': '被子还有很大一股烟味，凳子坏的，烧水壶生霉', '短评打分': 2}
{'短评内容': '感觉卫生，但是不通风，高反严重的慎重考虑。', '短评打分': 3}
{'短评内容': '还行吧，10.1人比较多，宾馆不好订。', '短评打分': 5}
