{'短评内容': '安静', '短评打分': 5}
{'短评内容': '是个老酒店了，位置没的说离西站南广场非常近', '短评打分': 4}
{'短评内容': '距离西站非常近，酒店就是有点老，还是干净整洁', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度好，交通方便，设施较陈旧了', '短评打分': 5}
{'短评内容': '多次住了，都不错就是电视太小了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务不好,管理很死板,酒店很自以为是.', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '主要是交通方便，早餐很好。', '短评打分': 3}
{'短评内容': '酒店环境不错，离高铁站很近，方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，下次还会选择', '短评打分': 5}
{'短评内容': '酒店浴室地漏排水有问题，不过后来酒店人员修好了。网速特别慢。', '短评打分': 1}
{'短评内容': '主要是离西客站比较近，设施比较完善，空调强劲~~对闷热的北京很是给力', '短评打分': 5}
{'短评内容': '酒店内部设施一般，服务不怎么样，下次不会再选择了。', '短评打分': 1}
{'短评内容': '环境不错！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '该酒店邻街房燥声大，有的房间烟味重', '短评打分': 3}
{'短评内容': '环境不错，离西站也近，就是周围吃饭的地方少，总的来说还是不错。', '短评打分': 5}
{'短评内容': '已入住，我定的两间，却只给定了一间！', '短评打分': 3}
{'短评内容': '房间设施好，比较安静，酒店内的午餐应进一步提高与改善，增加品种以及多种选择，附近不太好找到餐馆。', '短评打分': 5}
{'短评内容': '环境比较好，离西站非常近，交通方便，常住。', '短评打分': 5}
{'短评内容': '不错  安静  干净', '短评打分': 3}
{'短评内容': '交通便利，靠近西客站，机场巴士就在对面的中盐饭店，也很方便。离机场打车大约100块，也还算可以。楼下就是公交车站，坐车也非常方便。第一天住的11楼，感觉不错，后来说有会议，11楼全被定了，就改到10楼，结果房间就没了浴缸，这是唯一不满。', '短评打分': 5}
{'短评内容': '服务太差，前台服务员服务态度近乎恶劣。强烈表示不推荐！', '短评打分': 1}
{'短评内容': '不知道怎么评了，被入住的，给了间残疾人专用房，无法上网，坚持后换了间，服务员不洗杯子，淋浴房积水，洗个澡搞得卫生间都是水，从来没碰到过，早餐嘛，不提了，58元的，酒店对得住这个价吗，真黑、黑、黑', '短评打分': 1}
