{'短评内容': '性价比不高，不推荐', '短评打分': 4}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边吃的选择多', '短评打分': 5}
{'短评内容': '东郊音乐公园里面，方便，安静。', '短评打分': 4}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '房间不大，屋子陈旧', '短评打分': 2}
{'短评内容': '在携程上订，便宜多了。赞！很喜欢！', '短评打分': 5}
{'短评内容': '很好的地方。在东郊记忆里面。在携程购票也便宜。', '短评打分': 5}
{'短评内容': '酒店风格还行，但性价比和设施太一般了', '短评打分': 4}
{'短评内容': '位置不错，周边环境较好。但房间很小很小，布局奇葩，卫生间去掉了大半面积。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间比照片略小一点，但装饰的比较有特色，居住还是很舒服的，就是酒店所有房间都没有浴缸不太习惯，成都个性化酒店就只有这一家还是不错的，酒店所处的地址在东郊记忆里边环境很好，好评！', '短评打分': 4}
{'短评内容': '房间比较有特色，偏贵，卫生干净，服务态度比较好', '短评打分': 5}
