{'短评内容': '非常不错的环境', '短评打分': 5}
{'短评内容': '房间很不错，早餐相对就稍微简单了一些', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐品种不多，环境挺好', '短评打分': 4}
{'短评内容': '总体很不错，服务也好', '短评打分': 5}
{'短评内容': '环境很好，泳池，酒吧，日本料理，健身，养生美容设备齐全！', '短评打分': 5}
{'短评内容': '风景优美，看江望山，坐落于福州马尾最靓丽的江滨路上！', '短评打分': 5}
{'短评内容': '在马尾办事住这里，是马尾最好的酒店。服务设施都不错，早点也可以', '短评打分': 5}
{'短评内容': '房间不错，周边配套弱了些', '短评打分': 5}
{'短评内容': '总体还是可以的，略贵', '短评打分': 4}
{'短评内容': '环境很好，安静就是太远了点', '短评打分': 5}
{'短评内容': '安静卫生', '短评打分': 5}
{'短评内容': '安静卫生', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '地理位置方便，环境简洁干净。', '短评打分': 5}
{'短评内容': '相當捧', '短评打分': 5}
{'短评内容': '推薦', '短评打分': 5}
{'短评内容': '各方面都不錯,推薦', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 4}
{'短评内容': '早餐较简单，地下停车场较 小，值得一住。', '短评打分': 4}
{'短评内容': '不错，酒店性价比很高，只要有车，入住该酒店绝对是最佳选择，配备好，硬件新', '短评打分': 5}
{'短评内容': '酒店不管是环境还是服务都很不错，除了交通不太方便外基本没什么缺点，外面还停了好几辆加长悍马，过瘾。', '短评打分': 5}
{'短评内容': '还不错，酒店很新，风光不措。离城区很远，不易打车，适合度假', '短评打分': 3}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n好酒店，性价比高', '短评打分': 5}
{'短评内容': '酒店价格调整后性价比没有那么好了，580 仅含单早。 不过酒店服务还是一如既往的好。想想冬季特惠还真是特惠了。还返现31', '短评打分': 5}
{'短评内容': '很不错的酒店，但是没有室内游泳池，很遗憾！', '短评打分': 5}
{'短评内容': '酒店很豪华，房间很大，床很好睡，浴缸也很好，下次还会去。', '短评打分': 5}
{'短评内容': '推荐推荐，，，日本料理真的好好吃，那个北极贝口感超棒！', '短评打分': 5}
{'短评内容': '豪华山景房，性价比非常高，还有免费丰富的早餐，无论硬件还是服务都一流。\n唯一可惜的是边上在造房子，有噪音', '短评打分': 5}
{'短评内容': '酒店装修很不错。酒店所在的地方周围没吃饭和购物的地方，最近的万达广场开车也要十几分钟，有的房间能看到江景。滨海路修的不错。', '短评打分': 5}
{'短评内容': '离开福州之前，还是向准备入住酒店的朋友推荐。如果来福州想看到不一样的一面，请选择豪生入住。没有城市的拥堵，没有噪音的烦扰。只有恬静如水的安逸。', '短评打分': 5}
{'短评内容': '酒店的自助餐还没有尝试，听说在福州挺出名的。期待下次', '短评打分': 5}
{'短评内容': '香港的朋友入住酒店后感叹香港酒店落后太多了，豪生的服务非常好。', '短评打分': 5}
{'短评内容': '这次是宁夏的客人过来，他们第一次入住豪生酒店。离开的时候对酒店的设施与服务赞不绝口。', '短评打分': 5}
{'短评内容': '酒店的客房服务不错，半夜也有可口的东西可以吃。推荐大家尝尝', '短评打分': 5}
{'短评内容': '酒店的早餐选择没有那么丰富，但是习惯了早餐吃面，有面档也就ok了。', '短评打分': 5}
{'短评内容': '特价房已经结束了，但是酒店的性价比还是很好的。希望可以快点到夏天，酒店的泳池是亮点！', '短评打分': 5}
{'短评内容': '酒店旁边就是名城国际社区，虽然打车不方便，但是有车一族周末到酒店小住2天是挺不错的选择。', '短评打分': 5}
{'短评内容': '酒店的日本料理很不错，虽然客人不多但是感觉得到食材都很新鲜。不适合生吃的时候也会提醒，很有爱', '短评打分': 5}
{'短评内容': '每次都是客人指定入住的酒店。说每一次住的都很舒适。那个床还是挺有助于入睡的，如果家里也可以有一套就好了。', '短评打分': 5}
{'短评内容': '每一次去酒店都感觉到亲切，由于工作的原因每天都会路过酒店。很开心', '短评打分': 5}
{'短评内容': '喜欢这种宾至如归的感觉，酒店员工的笑容很真诚。每一次都是难忘的', '短评打分': 5}
{'短评内容': '地点离市区真的很远\n江景房不错\n但早餐实在不太推荐\n出租车也不好打\n整理感觉还可以\n', '短评打分': 5}
{'短评内容': '酒店很新 员工服务态度很好 酒店外边环境很漂亮很多植物，唯一不足的就地方就是酒店位置有点点偏，出租车司机都不愿意去，就算愿意去也都叫很高的价钱。。。', '短评打分': 5}
{'短评内容': '不错，今后还会选择这家，房间新，服务好，清静', '短评打分': 5}
{'短评内容': '不错，今后还会选择这家，房间新，服务好，', '短评打分': 5}
{'短评内容': '很不错的酒店，房间干净舒适，床很舒服，游泳池很美，开夜床服务也很棒。唯一的缺点大概就是离市区远，交通不便了。', '短评打分': 5}
{'短评内容': '在马尾办事的话，那里是不错的选择。酒店比较新，设施齐全。', '短评打分': 5}
{'短评内容': '服务非常好，是很好的入住经验。客房设施也很好，大家都喜欢。唯一的缺点是餐饮，晚餐和早餐都与酒店不大配套。', '短评打分': 5}
{'短评内容': '比较新的酒店,设施还可以,性价比高,非常实惠', '短评打分': 5}
{'短评内容': '酒店房间很大，服务也好，位置有点偏，但离机场比较近。', '短评打分': 5}
{'短评内容': '酒店服务很不错，环境也不错，值得推荐。地段比较偏僻，不过去机场很方便。酒店叫车道机场约280元。', '短评打分': 5}
{'短评内容': '不知道有没有夏季促销。\n不错酒店，到福州可以一住，\n酒店不会失望，但地点到马尾了。', '短评打分': 5}
{'短评内容': '福州的酒店中感觉豪生的风格还是令人感到最舒适的，没有城市的喧嚣。推荐大家选择入住', '短评打分': 5}
{'短评内容': ' 酒店很好,天气很冷但是暖气十分给力,下次还会选择入住.', '短评打分': 5}
{'短评内容': '冬季促销价格很便宜！酒店的早餐没有刚开幕时的丰富！总体来说还是超值的！', '短评打分': 5}
{'短评内容': '整体来说还算不错…就是房间气味有点重，空调不好调', '短评打分': 5}
{'短评内容': '酒店地理位置很好，高速公路正好马尾口下来，酒店布置很有些三亚的味道，感觉很不错。价钱也不贵，大堂挑高，让人觉得很有气势，房间还有赠送的水果，开窗还能看到江，住的十分舒服。', '短评打分': 5}
{'短评内容': '入住的客户表示一如既往的满意，酒店的服务十分到位。', '短评打分': 5}
{'短评内容': '酒店是一如既往的好，不过优惠似乎快要结束了！拭目以待', '短评打分': 5}
{'短评内容': '酒店的设施非常好，服务态度也非常好。 这次定的是408的特价房，觉得是特别划算', '短评打分': 5}
{'短评内容': '马尾附近很难打车，还好酒店提供租车。车子不错，价格稍微贵了些。', '短评打分': 5}
{'短评内容': '性格比很高，虽然比较远离市区，但各方面配套很好，附近没有吃饭的地方', '短评打分': 5}
{'短评内容': '非常好的一家酒店，环境和服务都没话说，房间够大，设施够好，冬季促销的价格实在很划算，也许是位置一般吧，在马尾', '短评打分': 5}
{'短评内容': '房间很棒，酒店考虑得很周到各个细节都考虑到了，房间的布置也很温馨舒适，卫生间很宽敞，连浴盐都为客人准备了，真好！本来准备住2晚的，后来觉得很舒服就住了4晚，唯一不足的就是早餐不好，我就吃了一次一碗白粥，后来就没高兴再去吃了，而且只提供一人份，遗憾！另外就是落地玻璃窗可能是为了安全考虑是用钥匙锁住的，得找服务员签字才能开比较麻烦！其他真的很好！', '短评打分': 5}
{'短评内容': '硬件设施很好! 由于我们入住的房间还在打扫，大堂副理很好，免费给我们房间做了一个升级，性价比较高。唯一有点问题，就是卫生没有搞彻底，比如衣柜的里面的那个金属衣杆上的就有一层灰，有可能这是搞卫生的死角，只是可惜了这些5星的设施。总的来说，下次还会住。', '短评打分': 5}
{'短评内容': 'Hotel is very new and staff are very nice and professional. Upgraded me to a deluxe river view room!!', '短评打分': 5}
