{'短评内容': '前两年自己在西安中转就订的这家 今天帮爸爸妈妈订继续这家 觉得很放心 老板很好 接送都很到位 房间也很暖', '短评打分': 5}
{'短评内容': '位置还不错，老板热情。接送机不错', '短评打分': 4}
{'短评内容': '有接机服务，还是比较满意的，设施比较陈旧。居住环境不好。出行也不方便。', '短评打分': 3}
{'短评内容': '是可以免费接送的，去的时候不知道白花了打车费，条件还是不错的，连锁酒店的标准，而且晚上飞机不飞，也不会影响睡眠', '短评打分': 4}
{'短评内容': '还接送旅客，这点很棒！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '老板和老板娘人特别好很热情实在，房子不贵，但是看起来很干净，睡起来也是觉得蛮温馨的。有机会下次会再入住的！', '短评打分': 5}
{'短评内容': '热情，闪住，很好', '短评打分': 5}
{'短评内容': '帮朋友定的，还不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '包接包送，赞一个', '短评打分': 5}
{'短评内容': '价格便宜，店家人超好，房间干净', '短评打分': 5}
{'短评内容': '老板好温柔 去机场接送 好专业 房间好干净', '短评打分': 5}
{'短评内容': '老板和老板娘都特别好，房间很干净', '短评打分': 5}
{'短评内容': '酒店服务真心好、房间卫生也OK、', '短评打分': 4}
{'短评内容': '就是个小宾馆吧，但是老板人特别热情', '短评打分': 4}
