{'短评内容': '没有早晨不能加床，不适合带孩子，位置不错，停车场不清楚', '短评打分': 5}
{'短评内容': '很干净很舒服', '短评打分': 5}
{'短评内容': '很安静，旁边有水果店', '短评打分': 5}
{'短评内容': '很干净，早餐很好！', '短评打分': 5}
{'短评内容': '交通便利没得说，公共汽车非常方便，步行地铁需要20分钟，更好是锻炼身体的距离，去国际展览中心步行10分钟，方便', '短评打分': 4}
{'短评内容': '近，出行方便～～～～～～～', '短评打分': 5}
{'短评内容': '第一次去国家首都，酒店很好，地理位置好', '短评打分': 5}
{'短评内容': '非常好，每次来总部出差都住这里。', '短评打分': 5}
{'短评内容': '非常好，每次来总部出差都住这里。', '短评打分': 5}
{'短评内容': '非常好，每次来总部出差都住这里。', '短评打分': 5}
{'短评内容': '非常好，每次来总部出差都住这里。', '短评打分': 5}
{'短评内容': '环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.好好', '短评打分': 5}
{'短评内容': '位于老展馆附近，步行过去十分方便，周边餐厅、水果店、商店都有，经常住。', '短评打分': 4}
{'短评内容': '有', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '出差入住，连锁酒店还行', '短评打分': 3}
{'短评内容': '就在公司边上，方便', '短评打分': 5}
{'短评内容': '很好 去会展很近', '短评打分': 5}
{'短评内容': '钟点房，适合短时间休息', '短评打分': 3}
{'短评内容': '纯商务出差可以考虑入住', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '入住多次了，卫生环境方面可以。', '短评打分': 5}
{'短评内容': ' 各方面都很好 强烈推荐 空间不憋屈 有免费的宽带各无线网 干净 舒适', '短评打分': 3}
{'短评内容': '还行,因为是新开店设施比较新,周围吃饭店较多', '短评打分': 3}
{'短评内容': '十新开的酒店设施很新还不错.只是洗澡水很有点小.', '短评打分': 3}
