{'短评内容': '不错，整体不错', '短评打分': 5}
{'短评内容': '中规中矩的四星水平吧，位置有点偏，不开车的话不方便，不过临平本来也不大，随便打个车也没多少路。有些房间小东西维护的不够', '短评打分': 4}
{'短评内容': '干净，舒服，早餐相当不错，还有离物美大卖场很近。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错，早餐挺好', '短评打分': 5}
{'短评内容': '早餐不错！周边交通 吃饭都很方便.', '短评打分': 5}
{'短评内容': '还不错，环境挺好的，就是太远了', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！？。。？！？？？？。？？', '短评打分': 5}
{'短评内容': '服务不错，确认也很快', '短评打分': 5}
{'短评内容': '总体环境还可以，氛围一般，隔音比较差', '短评打分': 4}
{'短评内容': '厉害', '短评打分': 5}
{'短评内容': '厉害', '短评打分': 5}
{'短评内容': '一直来，挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '整体还不错，每天都有水果，只是空调好久未使用有异味，且噪音大，影响晚上的睡眠。', '短评打分': 5}
{'短评内容': '基本对的起这个价格，比较符合预期', '短评打分': 4}
{'短评内容': '条件还不错，有点小贵', '短评打分': 5}
{'短评内容': '每次来温州都是住这里，不错的选择', '短评打分': 5}
{'短评内容': '酒店周边有大型超市和餐饮，非常方便。', '短评打分': 5}
{'短评内容': '临平最好的酒店。虽然还有很多不足，不过可以接受，早餐可以。', '短评打分': 5}
{'短评内容': '酒店本身还是不错的，离办事的地方也近，周边有点荒凉，不过稍微走点路还是能找到点吃喝的。', '短评打分': 5}
{'短评内容': '酒店环境好，服务周到，是出差的首选，我一直给同事在推荐，谢谢！', '短评打分': 5}
{'短评内容': '比较干净，可以。还有银耳羹送夜宵。不过我回到房间已经冷掉了。', '短评打分': 5}
{'短评内容': '酒店环境佳，地理位置也好，出差住起来很舒适方便，今后还会来！', '短评打分': 5}
{'短评内容': '酒店环境良好，出差的首选，今后同事去台州出差还会推荐这家的!', '短评打分': 5}
{'短评内容': '酒店环境不错，出差的首先，继续支持，还会再来的！', '短评打分': 5}
{'短评内容': '房间不错，入住后服务员马上送了水果。物超所值！下次还会再来', '短评打分': 3}
{'短评内容': '第N次给同事订这家酒店了，好评度自然可知了，推荐！', '短评打分': 5}
{'短评内容': '酒店环境良好，出差的最佳住处，今后还会支持的！', '短评打分': 5}
{'短评内容': '在临平属于比较好的酒店了，外面比较荒凉一点', '短评打分': 5}
{'短评内容': '很不错的酒店，设施也很好，而且很新，早餐更是完美。推荐！', '短评打分': 5}
{'短评内容': '很不错的酒店，设施也很好，而且很新，早餐更是完美。推荐！', '短评打分': 5}
{'短评内容': '谢谢你们这次预定入住顺利完成。', '短评打分': 3}
{'短评内容': '新酒店性價比很高，只要有到這裡一定會入住', '短评打分': 1}
{'短评内容': '酒店还不错的，可奇怪的是，我开房的时候拿了一张早餐券，后来我朋友早上过来，我就问前台都要一张券，却发现已经有人用我的房间号用了一张消费券，真是无语。。。。', '短评打分': 5}
{'短评内容': '房间有点小，其他还好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间宽敞干净舒服，临平我住过最好的房间，298真便宜', '短评打分': 3}
{'短评内容': '酒店的環境不錯，附近的生活機能也很好，有機會的話會再入住的', '短评打分': 5}
{'短评内容': '酒店整洁  卫生  装修可以\n早餐很好  服务态度很好\n就是楼下卡拉微吵\n地段离开杭州稍微远', '短评打分': 5}
{'短评内容': '這家為最新的酒店，入住的整體感覺還不錯。早餐也不難吃，下次還會選擇這一家入住。', '短评打分': 5}
{'短评内容': '酒店很新，应该是刚开业，设施卫生都很好很干净，如果评星要四星的。十一期间自驾游入住，不知道位置如何，余杭很小感觉离主城区很近。不错的酒店', '短评打分': 5}
