{'短评内容': '挺好的，服务挺到位的', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '还是7天好', '短评打分': 5}
{'短评内容': '服务差，卫生差，床上有头发，房间有蟑螂，地板爆裂，主要是还不给换房？厉害了', '短评打分': 1}
{'短评内容': '不可以加床', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '还可以。。。。。。', '短评打分': 5}
{'短评内容': '还可以11111111111', '短评打分': 5}
{'短评内容': '一切都很好，跟朋友入住的，享有手臂入住优惠，很划算，整洁度很好，地带也很好，周围就是大润发和步行街。', '短评打分': 5}
{'短评内容': '一切还可以，初次入住，享优惠，卫生挺好的，第一感觉很不错的，住的舒适，前台接待服务做得很到位，交代的也处理得很好', '短评打分': 5}
{'短评内容': '一切都好，隔音相当差', '短评打分': 4}
{'短评内容': '很干净，服务很好', '短评打分': 5}
{'短评内容': '服务态度很好，环境干净舒适', '短评打分': 5}
{'短评内容': '服务很热情，环境干净舒适', '短评打分': 5}
{'短评内容': '蚊子多，设施一般', '短评打分': 3}
{'短评内容': '有窗口，房间很干净，床很大。酒店对面就是新都会大润发，购物很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
