{'短评内容': '都不错，有机会还来', '短评打分': 5}
{'短评内容': '为了看张学友演唱会，龙岗中心区这边这家算好的了，大厅看起来很不错，前台服务也挺好，之前看评论还担心。出门住，最关键的就是卫生状况，负责地评论一下哈，卫生很干净，这点来说很满意的。虽然龙岗不繁华，酒店楼下商店买东西吃饭都有小店，方便。打车3km，1km，都有万科购物中心和cocopark，吃饭玩是够了。另外早餐果然和大家说的一样，很一般，希望改进哈！上点大厅环境和房间内细节图给大家参考。在龙岗来说位', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '早餐不怎么样！其他的还行', '短评打分': 5}
{'短评内容': '环境很好，很干净，舒适。', '短评打分': 5}
{'短评内容': '酒店的建筑风格独特，我喜欢！', '短评打分': 5}
{'短评内容': '很好 平台有待完善', '短评打分': 5}
{'短评内容': '很好 只是平台不够完善', '短评打分': 5}
{'短评内容': '不错啊！联系住了几个晚上了！很安静很舒服！管理很到位，服务很给力！有机会还会过来住！给力呀！', '短评打分': 5}
{'短评内容': '龙岗中心城最好的酒店之一了！很不错，环境好！位置很方便，吃饭购物都有，很近！楼下就有水疗中心，可以按摩放松！', '短评打分': 5}
{'短评内容': '出差多年！住过服务最差的酒店', '短评打分': 1}
{'短评内容': '听说这个酒店换了几个名字，换了几个管理公司！怪不得！服务一如既往的差，所以没有人愿意来吧！住在里面特别晦气的感觉', '短评打分': 1}
{'短评内容': '入住时候，前台一个女服务员各种刁难！好像用携程住很谈小便宜一样的嘴脸。携', '短评打分': 1}
{'短评内容': '这是我住过最差的酒店！服务差到不行，前台全程没有微笑，拒绝携程订房。', '短评打分': 1}
{'短评内容': '之前去深圳几趟都是住这个酒店，因为他的区位交通非常不错，距离机场路程还不错，朋友说游泳池不错，我估计有几个美女的缘故', '短评打分': 5}
{'短评内容': '非常不错的', '短评打分': 5}
{'短评内容': '帮客户订的, 据说交通方便, 挺好的', '短评打分': 5}
{'短评内容': '二次住好多了，没碰到太多糟心的事情', '短评打分': 3}
{'短评内容': 'A lot of parking space in the hotel.', '短评打分': 4}
{'短评内容': 'Good view face to the park.', '短评打分': 4}
{'短评内容': 'One of the best hotel in this area.', '短评打分': 4}
{'短评内容': 'A lot of the restaurants near the hotel.', '短评打分': 4}
{'短评内容': '干净，还有些装修的气味', '短评打分': 3}
{'短评内容': '酒店有点偏，本来是定错的，没有想到出奇效果好。服务很好，房间非常干净。', '短评打分': 5}
{'短评内容': 'nice room but the speed of reception must be improved.', '短评打分': 5}
{'短评内容': 'a little far away from the downtown', '短评打分': 5}
{'短评内容': 'room is good and food is good also', '短评打分': 5}
{'短评内容': 'nice environment and good service', '短评打分': 5}
{'短评内容': '整体感觉还不错，挺赞~就是离市区稍远~', '短评打分': 3}
{'短评内容': '硬件很好，很新，环境也不错，安静，\n就是管理比起一流酒店差一些，房间收拾得不干净。', '短评打分': 5}
{'短评内容': '安静舒适,景观一流，很不错的酒店', '短评打分': 3}
{'短评内容': '酒店有五星级的气派，装修豪华。服务周到，有宾至如归的感觉。客房打扫的很干净，床让人睡的很舒服，软硬刚刚好。如果还来深圳龙岗，一定会再次入住这家酒店。', '短评打分': 5}
{'短评内容': ' 非常舒适', '短评打分': 3}
{'短评内容': '酒店房間很好,服務員很好,食品質素很好,如再到龍崗一定再入住。', '短评打分': 3}
