{'短评内容': '酒店服务员态度非常好，感冒了去问了一下买药的地方说的非常详细。', '短评打分': 5}
{'短评内容': '房间很多，值得表扬，干净利落整洁。', '短评打分': 5}
{'短评内容': '有停车场，位置好，推荐', '短评打分': 5}
{'短评内容': '环境安静', '短评打分': 5}
{'短评内容': '环境清静', '短评打分': 5}
{'短评内容': '酒店位置很好,楼下有超市和餐馆,很方便。楼下秦大妈餐馆味道不错。 房间面积很大，床感觉稍硬，每个房间配有柜式空调机，冬季很温暖，比一些大酒店的中央空调制热效果要好。总体接近四星标准', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '贵了点', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '前台的小妹服务态度真好，很周到！房间设施也很好，入住很愉快！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '酒店位置不错，离天门山很近，打的8块钱左右，服务卫生都好，满意', '短评打分': 5}
{'短评内容': '位置方便，服务热情，酒店装修很有特色，很喜欢！', '短评打分': 5}
{'短评内容': '舒适漂亮的房间，热情周到的服务，想告诉朋友们，住这里，你不会失望的。', '短评打分': 5}
