{'短评内容': '房间让人很意外，非常宽敞，这个价格真的是赚到了，里面设备齐全，有电视电脑，浴室非常大，既可以淋浴又可以泡澡，床是大圆床，有小方桌有沙发，衣柜也很大，窗外就可以看到教堂⛪️，房间赠送椰子粉和咖啡粉可以泡着喝，还有椰子糖和咖啡糖，赠送的早餐没有去吃，不过应该也很棒', '短评打分': 5}
{'短评内容': '挺好的  舒服 安静', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '环境很好，很干净', '短评打分': 5}
{'短评内容': '服务好，值得拥有，值得推荐，值得信赖', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '值得拥有值得信赖值得推荐', '短评打分': 5}
{'短评内容': '经常在这家住，环境什么的都不错', '短评打分': 5}
{'短评内容': '服务好，环境好，值得信赖', '短评打分': 5}
{'短评内容': '再次光临，服务好，质量好，值得拥有，值得表扬，值得信赖', '短评打分': 5}
{'短评内容': '支持，不错，服务好，值得表扬', '短评打分': 5}
{'短评内容': '服务好，质量好，值得表扬', '短评打分': 5}
{'短评内容': '服务很好啊', '短评打分': 5}
{'短评内容': '还算可以吧', '短评打分': 3}
{'短评内容': '感觉好不错', '短评打分': 3}
{'短评内容': '服务好，质量好', '短评打分': 5}
{'短评内容': '这穿出自我……一起玩得开心就要离开的', '短评打分': 5}
{'短评内容': '星期五到的店，订的两天的房，是在一楼的，去房间还是漏天的经过厨房餐厅等办公的地方的，房间设施全，就是马桶不干净，淋浴喷头大的那个就不能用，晚上让送几个一次性水杯一直没送，最后还是自己拿的。第二天打扫了房间就没有换毛巾，没给香皂，旧香皂也打扫的扔了。周边就是柳巷还挺方便的，希望得到点改善', '短评打分': 3}
{'短评内容': '住过多次的酒店，很满意，很ok的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '没什么好说的', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务好、设施好，交通便利、床软', '短评打分': 5}
{'短评内容': '枕头套有一处不干净', '短评打分': 5}
