{'短评内容': '酒店地段方便…', '短评打分': 4}
{'短评内容': '酒店整体不错。布置得比较舒适，卫生整洁。早餐内容比较丰富。美中不足之处在于我住的楼层外面紧邻一家酒店的楼顶，可能是空调的原因，晚上不够安静。', '短评打分': 5}
{'短评内容': '酒店位置较好找，离碧桂园温泉很近，有停车场', '短评打分': 4}
{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '酒店干净卫生，早餐也不错，适合带孩子出游，有停车场，酒店位置很好，出门左转就有很多吃的。发生了一个小插曲，不小心把厕所给堵了，还以为要被扣钱，阿姨微笑的告诉我不用。这次咸宁之旅很开心，住的也很满意。但我还是想给个建议，冲凉房的浴头水太小了，如果大一点的话就更完美了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '不错的酒店，环境设施都满意，安静舒服，如果中央空调声音再小点就更好了，还会再来的！', '短评打分': 5}
{'短评内容': '酒店周边吃饭的地方比较少，房间设施还不错，就是晚上外面的空调主机太吵了，房间里还准备了一台电脑，一边看芈月传，一边演青岛往事，总得来说性价比不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店环境较好，交通方便，设施比较新，前台服务也好。', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 4}
