{'短评内容': '一般，设施有些老旧，旁边的酒店早餐可以共享，很好', '短评打分': 4}
{'短评内容': '不错 房间很宽敞，也很干净 楼下也有超市  还可以。', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '睡觉感觉身痒，整晚没睡好。', '短评打分': 3}
{'短评内容': '还好，就是隔音差。', '短评打分': 5}
{'短评内容': '房间很旧咯，比较脏，毛巾设施都是陈旧的。不建议入住。10年装修的，需要更新啦。', '短评打分': 5}
{'短评内容': '不', '短评打分': 5}
{'短评内容': '还没住，京东上订蛮划算的', '短评打分': 5}
{'短评内容': '房间还算干净，要求不高住得算是舒适，周围交通也比较方便。大床房比双床房小多了，价格却差不多，建议设置单人房。', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '一般般，屋企有点旧了', '短评打分': 4}
{'短评内容': '非常不错。干净整洁', '短评打分': 5}
{'短评内容': '还可以把，房间打扫的不是很干净', '短评打分': 3}
{'短评内容': '环境卫生好 出行方便 酒店旁边还有一家肠粉 很好吃噢', '短评打分': 5}
{'短评内容': '环境很好 出行方便 附近安静', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通还是挺方便的，近新市区，房间也比较大，就是不明白为什么窗外是过道…卫生也有待进一步提高！', '短评打分': 3}
{'短评内容': '不错，很便宜啊', '短评打分': 5}
{'短评内容': '干净卫生，环境优雅舒适 靠近路边，容易找  到长江路也很近', '短评打分': 5}
{'短评内容': '地段不错，房间稍微小了的，就是晚上比较吵，不安静', '短评打分': 5}
{'短评内容': '我觉得那里的环境不错，挺舒适的~~ 很喜欢', '短评打分': 5}
{'短评内容': '地理位置还行，对得起这个价格', '短评打分': 3}
{'短评内容': '地理位置好，方便办事。性价还行吧！', '短评打分': 3}
{'短评内容': '服务还是挺不错的,不过就是有点偏,如家么风格都一样咯', '短评打分': 5}
{'短评内容': '状况特多，服务人员素质参差不齐。还有挺吵的', '短评打分': 1}
{'短评内容': '环境服务不错~~', '短评打分': 3}
{'短评内容': '还行，如家一贯风格，房间较宽敞，热水照样足，停车方便，周围生活方便，虽然靠近华山路，但路上汽车噪音没有。不足之处是住在2楼靠近停车场这一边，不知哪里有些噪音。周围生活太过方便，所以没有在酒店吃饭。', '短评打分': 5}
{'短评内容': '环境不错，还可以，好评', '短评打分': 3}
{'短评内容': '价格适中，交通便利，地点繁华，设施齐全，环境不错，卫生整洁，挺不错的。住了两次了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '新开的，很干净,如果有机会，我还是会再次入住', '短评打分': 5}
{'短评内容': '很干净，服务也很好，房间也安静，下次还会来', '短评打分': 5}
{'短评内容': '感觉不错，房间很干净，住的也舒服，服务员态度也好！以后还会入住的。', '短评打分': 3}
{'短评内容': '很好.不错................', '短评打分': 5}
{'短评内容': '如家酒店都还不错，价格也比较便宜，说是无窗，其实是有窗的，只是没阳光，通风不会太差。', '短评打分': 5}
{'短评内容': '新开的分店，时尚舒适，服务上乘，唯一不足是价格偏高，值得推荐！', '短评打分': 5}
{'短评内容': '酒店还不错，干净整洁，交通也挺方便，在市中心。', '短评打分': 5}
{'短评内容': '地理位置不好,在城中村旁边,周边情况复杂.房间的窗户是几间房共用开在一个小隔间里,基本只是装饰.', '短评打分': 1}
{'短评内容': '服务较好，没有微波炉，地板较滑容易滑倒', '短评打分': 3}
{'短评内容': '卫生做得非常好，房间里可以说是一尘不染，值得赞一下。', '短评打分': 5}
{'短评内容': '酒店装修比较节俭简单些，服务还算可以，酒店的出行还可以，价格和酒店设施来看有些偏高。', '短评打分': 1}
{'短评内容': '位置挺好，周边交通挺便利，卫生条件也不错，房间打扫的挺干净。', '短评打分': 5}
{'短评内容': '房间装修卫生还是一般般，价格方面还行，服务态度就是很简单，打车过去位置还行。', '短评打分': 3}
{'短评内容': '房间不大，装修的还好，卫生打扫很好，服务也不错，住的还算舒适。', '短评打分': 5}
{'短评内容': '以后出行尽量住如家，正好能满足一家三口住宿的条件了，如家，正真的如家。住了几次，觉得这一家如家的早餐太简单了。', '短评打分': 5}
{'短评内容': '酒店还好，服务卫生挺到位，住的挺舒适。', '短评打分': 5}
{'短评内容': '位置没有长平路的好，但是很干净很舒服，整个旅途在如家的这两天是休息得最好的，，', '短评打分': 5}
{'短评内容': '这酒店环境舒适，有种家的温馨。服务很全面态度很好...', '短评打分': 5}
{'短评内容': '房间卫生条件很好，干净整洁，周边出行很方便，前台服务到位，热情周到，下次还会考虑入住的', '短评打分': 5}
{'短评内容': '酒店不错，我住的是特惠商务大房，网站上说没有窗户，但是我住的这间有窗户，感觉很不错，房间很宽敞，很干净。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
