{'短评内容': '服务差，下次不住了。', '短评打分': 3}
{'短评内容': '酒店位置不错，早点挺好', '短评打分': 4}
{'短评内容': '早餐不错，冷热菜饮品都不错，就是灯光暗了些', '短评打分': 4}
{'短评内容': '没有电话咨询时说的房间那么小 很干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错下次还是这', '短评打分': 5}
{'短评内容': '周边环境不错，四星级标准，唯一缺陷是房间里有味。', '短评打分': 4}
{'短评内容': '环境，服务，不错', '短评打分': 5}
{'短评内容': '酒店就在俄罗斯风情街的中心位置，离火车站和汽车站都很近，去套娃广场和国门景区也不远', '短评打分': 4}
{'短评内容': '老酒店了，住了好多俄国商贩，设施陈旧，地理位置好，吃饭出行都方便，去俄罗斯一日游的大巴就在酒店门口发车', '短评打分': 4}
{'短评内容': '夏天带孩子去满洲里游玩，住的满洲里口岸酒店非常好，周围交通，购物都特别方便，一楼还有旅行社出去玩也很方便，酒店的服务员服务特别周到细致，下次去还会选择住满洲里口岸酒店。', '短评打分': 5}
{'短评内容': '位于市中心，但是硬件一般。', '短评打分': 3}
{'短评内容': '可以接受', '短评打分': 3}
{'短评内容': '地段好，很安静，对着火车站那面应该景色更好。干净，是按摩浴缸，可惜不会用', '短评打分': 5}
{'短评内容': '地段好，很安静，对着火车站那面应该景色更好。干净，是按摩浴缸，可惜不会用', '短评打分': 5}
{'短评内容': '周边环境很好，房间设施一般，电视就那么两三个节目。', '短评打分': 4}
{'短评内容': '晚上可以到负一楼看表演，但是价格比去年翻一翻了非常离谱', '短评打分': 5}
{'短评内容': '有比较多的老毛子住，老毛竟然还走错了房，晕', '短评打分': 5}
{'短评内容': '有比较多的老毛子住，老毛竟然还走错了房，晕', '短评打分': 5}
{'短评内容': '可以洗浴中心体验一下,早餐还可以!', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
