{'短评内容': '还行吧，正常状态', '短评打分': 4}
{'短评内容': '服务不怎么样', '短评打分': 3}
{'短评内容': '房子车梳子都不配，设施陈旧，wife', '短评打分': 3}
{'短评内容': '给朋友开的', '短评打分': 5}
{'短评内容': '没停车场，房间一股霉味烟味。洗手间好小。', '短评打分': 1}
{'短评内容': '没有早餐，没有停车位，晚班一楼的接待员服务很差，也不好，下雨天电视就看不了，很旧，', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境优雅！！！！', '短评打分': 5}
{'短评内容': '有点吓人，的感觉', '短评打分': 5}
{'短评内容': '不能说不好，可能也是开了很久的酒店了，卫生之类的都还在能接受范围，这个价位的，其实住的人不是太挑剔的情况下，还是可以的', '短评打分': 3}
{'短评内容': '性价比高，推荐选择！', '短评打分': 5}
{'短评内容': '很一般，難停车。', '短评打分': 2}
{'短评内容': '环境不错，房间挺漂亮的，就是有点小地方交通方便，总体还不错', '短评打分': 5}
{'短评内容': '环境不错，房间挺漂亮的，就是有点小地方交通方便，总体还不错', '短评打分': 5}
{'短评内容': '还行～', '短评打分': 5}
{'短评内容': '我考试前一晚入住酒店，周边的配套不错，美中不足的是当天碰到Wifi整修，我们上不了网', '短评打分': 4}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '还不错 住了两天', '短评打分': 5}
{'短评内容': '环境还可以，就是有点小。\n服务跟不上，被子上有污迹，让更换，结果催促几次，一个多小时才换过来，都12点多了才睡，崩溃呀', '短评打分': 5}
{'短评内容': '不错，干净舒适。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '实话。环境比较好，也比较舒适！地理位置还行吧。离宝安交通局很近。总的来说比较好找到！细节方面做得还不错。', '短评打分': 5}
{'短评内容': '第3次入住了。虽然门面看起来有些小，但是住起来真心不差。', '短评打分': 5}
{'短评内容': '我觉得还不错吧。就是比较干净。而且价格也还是比较合适。', '短评打分': 5}
{'短评内容': '服务很不错，环境也挺安静，整体也不错', '短评打分': 3}
{'短评内容': '还不错……比较干净，就是房间有一点小了点。', '短评打分': 5}
{'短评内容': '酒店处于闹市，店里很安静，环境很优雅。员工的服务水平都很专业。', '短评打分': 5}
{'短评内容': '还可以，房间不算很大，比较干净，支持，比较容易找到，也算比较安静。', '短评打分': 5}
{'短评内容': '很容易找到；\n房间大，干净！\n服务态度也不错！\n可以！', '短评打分': 5}
{'短评内容': '房间基本满意，电视太小了，而且有点模糊不清。没有窗户的房间和压抑，有窗户的窗口外面太脏了，不敢开窗，有异味。', '短评打分': 5}
{'短评内容': '房间有点小，而且隔音效果一般，不过卫生还可以啦，而且交通还是挺方便的，性价比还可以吧，对得起这个价格', '短评打分': 5}
{'短评内容': '不错，干净舒适。', '短评打分': 1}
{'短评内容': '整体都不错，就是房间靠在电梯口比较吵。希望有空房优先安排里面', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '天天评价你们，真是很累了~那么好的酒店肯定经常住了 ', '短评打分': 5}
{'短评内容': '不错，经常住。以后带朋友住还选这里。经常住搞点优惠啦~', '短评打分': 5}
{'短评内容': '房间较小＇房内反锁是坏的＇其他还好', '短评打分': 3}
{'短评内容': '房间设备较简单。电脑还是备为好。较满意', '短评打分': 3}
{'短评内容': '离南头检查站近,交通方便,价格实惠.\n大床房是1.8米的,不过里面的毛巾都是单的.\n上楼有电梯,里面没有吃饭的餐馆,需要在外面吃.', '短评打分': 5}
{'短评内容': '房间有点小，但比较干净!', '短评打分': 3}
{'短评内容': '酒店坏境不错。设施干净整洁，总体说还是可以的', '短评打分': 5}
{'短评内容': '价格实惠，装修温馨，是我住过的最舒服的一家客栈。装修很有家的感觉，卫生也非常不错，床单和被套非常柔软，睡得好极了', '短评打分': 5}
{'短评内容': '住房環境還可以，地段也不錯，服務效率和態度都很好，就是房間的隔音有點差，', '短评打分': 5}
{'短评内容': '首次来深圳住宿，感觉条件很不错，环境优雅，很干净。不错', '短评打分': 5}
{'短评内容': '房间干净，交通便利，无论是去车站还是去机场都方便，周围有大型购物超市。', '短评打分': 5}
{'短评内容': '房间小了点 照这个价位其他还好  不过隔音不太好 房间里面看电视           外面听的一清二楚', '短评打分': 5}
{'短评内容': '房间虽然小了点但设备还算齐全，房间里的感觉也还不错，一家三口过的很舒服也很温馨。以后去宝安，我肯定还会住那里的！强烈推荐哦！', '短评打分': 5}
{'短评内容': '总体来收还是不错的，下次去深圳的话还是会入住的。', '短评打分': 5}
{'短评内容': '房间还不错，就是小了点，简单实用，出差价钱合适', '短评打分': 5}
{'短评内容': '装修很漂亮,环境舒适,交通方便,性价比高', '短评打分': 5}
{'短评内容': '一切都还好', '短评打分': 3}
{'短评内容': '服务态度很好，环境也好，总之比想像的好多了。虽然被子、毛巾是有点破旧。总得来说还可以吧，对得起这个价钱。', '短评打分': 5}
{'短评内容': '装修别致，环境舒适，交通方便，就是洗澡的时候水时大时小。', '短评打分': 5}
{'短评内容': '有点久。不过服务态度不错，有点久。不过服务态度不错有点久。不过服务态度不错有点久。不过服务态度不错有点久。不过服务态度不错', '短评打分': 5}
{'短评内容': '还可以的.', '短评打分': 3}
{'短评内容': '装修很漂亮,环境舒适,交通方便,性价比高.', '短评打分': 5}
{'短评内容': '服务态度特好，就是房间稍微有点小。但总得来说是不错。', '短评打分': 3}
{'短评内容': '给客户订的 主要是便宜，就是离单位远了点，在宝安区了，性价比还不错', '短评打分': 5}
{'短评内容': '房间比较小，早晨比较吵，感觉比较忙压抑，其他感觉还好', '短评打分': 5}
{'短评内容': '不错 位置方便', '短评打分': 3}
{'短评内容': '很好~~~~价廉物美~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境不错，设备也够全，有吹风机等的用品！就是房间小了点！', '短评打分': 3}
