{'短评内容': '挺好的，空间大，就是设备太老了', '短评打分': 5}
{'短评内容': '设施老旧，地理位置还好', '短评打分': 4}
{'短评内容': '虽然设施老了点，但整体环境还不错。', '短评打分': 5}
{'短评内容': '单位预定，还会再来！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '单位预定，还会再来！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很老的宾馆，基础设施真的很落后了，如果不是为了机场大巴我是不愿在这住的', '短评打分': 4}
{'短评内容': '好，房间挺大，嗯嗯，挺好哒', '短评打分': 5}
{'短评内容': '这个酒店外表看起来不错，但是房间设施成旧老化严重，房间卫生一般。非常简陋。', '短评打分': 5}
{'短评内容': '一般吧。设施一般', '短评打分': 4}
{'短评内容': '可以了这可以可以很棒是、的', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯得得得得得', '短评打分': 5}
{'短评内容': '很好 服务态度超级好', '短评打分': 5}
{'短评内容': '很好！服务一流，方便快捷，棒棒哒！', '短评打分': 5}
{'短评内容': '好好好 房间干净整洁 交通方便 安全', '短评打分': 5}
{'短评内容': '不错的我觉得，很好，下次还会继续购买', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '舒服，干净，下次一定还去', '短评打分': 5}
{'短评内容': '服务太差，都和大爷是的。尤其前台的收银员，以后不会去了。', '短评打分': 5}
{'短评内容': '还不错，交通方便，房间比较大，设施齐全就是比较旧了。还会再来', '短评打分': 5}
{'短评内容': '这个价格还是有点贵的，里面的东西比较旧，房子还算大。', '短评打分': 3}
{'短评内容': '好好好经济实惠 交通方便 卫生干净  非常的好', '短评打分': 5}
{'短评内容': '好好好 价格实惠 比店面便宜 方便 不用再预订 房间干净整洁 交通方便 火车站附近', '短评打分': 5}
{'短评内容': '环境可以，方便坐车，逛街', '短评打分': 5}
{'短评内容': '宾馆环境可以！家人入住满意！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '卫生不好，服务态度不好！', '短评打分': 1}
{'短评内容': '非常满意!效率很高!', '短评打分': 5}
{'短评内容': '非常满意!效率很高!', '短评打分': 5}
{'短评内容': '交通很方便。', '短评打分': 5}
{'短评内容': '好好休息……', '短评打分': 5}
{'短评内容': '交通很方便，就在火车站隔壁，设施齐全，但老气，开会办公方便。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店干净卫生，房间大,整洁，周边购物餐饮方便，是出差旅游的理想休息酒店，我喜欢！', '短评打分': 4}
{'短评内容': '酒店比较老了，总体来说可算可以吧', '短评打分': 4}
{'短评内容': '位置极佳，交通非常方便，周边繁华，房间设施陈旧点，服务一般。机场大巴就停在店门口，对乘飞机的旅客很方便    ', '短评打分': 4}
{'短评内容': '交通很方便！', '短评打分': 4}
{'短评内容': '酒店设施比较陈旧，周边吃饭比较方便。', '短评打分': 3}
{'短评内容': '交通方便，设施一般……', '短评打分': 4}
{'短评内容': '火车站周围 相对性价比可以', '短评打分': 5}
{'短评内容': '满心的进去，到房间后，发现不像是三星级的酒店，退房后，前台不主动给发票，有点小遗憾。', '短评打分': 2}
{'短评内容': '机场大巴终点站，临近火车站和二七广场，交通非常方便。房间很大，不错不错。要表扬一下帮我们打扫房间卫生的阿姨，非常热情，当得知我们在超市买了馒头和包子没地方蒸热，马上主动帮我们弄热。真的好感动啊！', '短评打分': 5}
{'短评内容': '房间设施挺好，卫生干净，服务员服务热情，值得推荐，距火车站以及商业中心很近。交通方便。', '短评打分': 5}
{'短评内容': '感觉还行，电视是老式的了，不过房间面积挺大的', '短评打分': 5}
{'短评内容': ' 酒店位置很好，离火车站很近，就是硬件太旧。', '短评打分': 3}
{'短评内容': '感觉有点旧 。不过服务还行吧。下次来郑州还住这。主要是交通方便', '短评打分': 5}
{'短评内容': '酒店很一般  东西都很陈旧   感觉不值这个价  不过人家卖的是地方 谁让在火车站旁边呢', '短评打分': 4}
{'短评内容': ' 设施太旧。距车站近。', '短评打分': 3}
{'短评内容': '200元能住这样档次的酒店确实很值,尤其值得推荐的是离火车站近,门口就是到机场的民航大巴,十分钟内可步行到二七广场.', '短评打分': 5}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '主要是去机场方便，价格也不算高。', '短评打分': 3}
{'短评内容': '硬件设施老点,性价比还是不错的!', '短评打分': 3}
{'短评内容': '还好，就是火车站附近人真心太多了，前台也不错哦', '短评打分': 5}
{'短评内容': '这酒店在郑州还算不错的，听名字就知道这个酒店历史悠久了', '短评打分': 5}
