{'descr': '隔音比较差', 'star': 4}
{'descr': '一个人旅行绝对很棒，他们的前台还是在九楼上，如果有机会你们可以住有窗户的', 'star': 5}
{'descr': '性价比高，会再选择', 'star': 5}
{'descr': '位置好极了   房间也很大。', 'star': 5}
{'descr': '还可以，地理位置优越', 'star': 5}
{'descr': '住的地方简直就是cbd啊，周围都是景点', 'star': 5}
{'descr': '离江边还有洪崖洞、解放碑都很近，公交地铁都很方便，附近还有家乐福，位置很好，服务周到', 'star': 5}
{'descr': '很好不错哦', 'star': 5}
{'descr': '地理位置得天独厚，特别好，?', 'star': 5}
{'descr': '不怎么样，就是价格便宜，位置还可以。', 'star': 5}
{'descr': '不怎么样，就是价格便宜，位置还可以。', 'star': 5}
{'descr': '地方很方便，就在红岩洞隔壁，晚上看风景不错，交通也非常方便，不远就是地铁出行不错', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '任性～可爱', 'star': 3}
{'descr': '就在江边，洪崖洞旁边，去周围景点很便利，非常方便，满意', 'star': 5}
{'descr': '重庆的景点比较近，这家挺方便的。', 'star': 5}
{'descr': '价格上算是便宜，就是没有窗户。', 'star': 5}
{'descr': '很有特色的一个酒店，也许只有在山城重庆才有，酒店一边是平地，一边就是悬崖了，房间在8楼还要坐电梯下行，好有意思。酒店位置好，在洪崖洞附近，吃喝玩方便。', 'star': 5}
{'descr': '离洪崖洞很近，挺方便的', 'star': 5}
{'descr': '设施陈旧，卫生差，有异味。', 'star': 2}
{'descr': '不错，第二次入住了，交通方便，还是江景房哦。住的是三人间，房间的落地大窗可以看到对面的长江，在洪崖洞附近，很棒', 'star': 5}
{'descr': '算是很划算的酒店了，旁边就是洪崖洞，再往西南就是解放碑商业区咯！最繁华的地段！附近有小什字地铁站，交通便利！离朝天门也挺近！方便夜游两江！洪崖洞有小吃街，特产店！非常方便！就是设施有点老旧，电视17还是19寸的？卫生间小点，空调略旧。', 'star': 4}
{'descr': '好', 'star': 4}
{'descr': '还可以，特价房，没有窗户。。。。。', 'star': 4}
{'descr': '特价房，胜在价格合适，地理位置不错', 'star': 4}
{'descr': '代朋友订的，朋友一家人还算满意', 'star': 5}
{'descr': '代朋友订的，朋友一家人挺满意。', 'star': 5}
{'descr': '房间还好，在市中心 酒店大堂在9楼，客房在楼下，真让人不习惯，走错了好几次找不到大堂。  本来住的空调有问题，但是还是给换了，很好 服务态度很好', 'star': 5}
{'descr': '环境还可以就是 没窗户的闷得慌', 'star': 4}
{'descr': '江边美景，人潮如梭，离解放碑近，和心上人沿江边散步，赏景购物美食，交通方便，不错 不错', 'star': 4}
{'descr': '还好还好还好', 'star': 5}
{'descr': '地理位置相当好,就是房间太脏了，跟一般的莫泰168不是一档次，招待所还差不多', 'star': 1}
{'descr': '位置很好，就在洪崖洞的旁边， 也看得到嘉陵江。', 'star': 5}
{'descr': '还不错 边上就是洪崖洞 离解放碑和朝天门也不远  只是装修有些老  电源插座不给力 插上去总是接触不良', 'star': 5}
{'descr': '位置非常好，在洪崖洞边上。从餐厅处即可看到全景，嘉凌江也可看到。\n同价格相比，非常值。\n', 'star': 5}
{'descr': '不错，就是重庆的建筑比较诡异，大堂在9楼，房间在楼下', 'star': 5}
{'descr': '酒店地理位置优越，大堂明亮气派，酒店房间设施齐全，宽带上网免费，服务员热情周到，出行也很方便', 'star': 5}
{'descr': '位置非常好，去解放碑和洪崖洞都非常近。房子也很有重庆特色，依山而建，进入大堂已然是九楼，而客房在二到八楼。房间感觉有点旧，因为是面山的一面所以不见阳光，屋子里很潮。总体来说还可以，毕竟位置好得很', 'star': 5}
{'descr': '地点不错，服务尚可。只是房间内从洗手间里往外渗水，连被角都洇湿了；说好有停车场的，而物业硬是不让进，连只是进来卸一下行李都不肯通融', 'star': 1}
{'descr': '服务可以，周围吃的东西多。', 'star': 3}
{'descr': '很好  地理位置很方便  就在洪崖洞边上  旁边就是洪崖洞异域风情街 很方便  离解放碑也很近 步行就去了  很好', 'star': 5}
{'descr': '不错。飞机晚点了，帮我留订单到晚上12点。位置好，主要是性价比很高，下次来了 还会住', 'star': 5}
{'descr': '＋地理位置超好，旁边是洪崖洞景点，里面很多吃的，解放碑就在不远处，吃喝玩乐样样通！', 'star': 3}
{'descr': '位置很好，就在洪崖洞旁边。不过酒店的电梯貌似有些问题。性价比尚可。', 'star': 5}
{'descr': '住的还不错，就是电梯让人上火。一个是坏的，另一个只能上4人.再多上一个就报警超重。为了下个楼，等半小时。急人!!!!', 'star': 1}
{'descr': '这个价位还行，设施比较旧但还算干净，就是没有窗户比较闷，空调效果不是很好', 'star': 3}
{'descr': '价格合理，位置好，房间小。', 'star': 3}
{'descr': '很好，对面就是嘉陵江，离解放碑也近，洪崖洞也在旁边', 'star': 5}
{'descr': '住宿环境还算满意、要是有电脑就更好了，最满意的是酒店外的风景了、酒店的地理位置不错', 'star': 5}
{'descr': '  酒店总体还行，离洪崖洞特别近，里面小吃特别多，交通十分便利，就是室内设施有点简陋，卫生还行！', 'star': 3}
{'descr': '酒店不错，位置好，主要是性价比很高，下次来了 还会住', 'star': 5}
{'descr': '位置好，渝中区的市中心，距洪崖洞不到百米，可以步行去解放碑甚至朝天门码头。\n清洁卫生不错，员工服务不错。\n要吹毛求疵找点缺点的话，那就是提供了网线上网，但不便于iphone、ipad上网。刚住过成都一家商务酒店（叫四季康城吧），每间房都配备无线路由器，这是少有的。', 'star': 5}
{'descr': '无窗，但交通便利，周围景色美丽，性价比高。由于地理条件原因，服务大厅在9楼，而客房在1-8楼。', 'star': 5}
{'descr': ' 地段好，安静，价位还行。就是房间有点小。', 'star': 3}
{'descr': '清洁实在是。。。不好', 'star': 3}
{'descr': '酒店 还是可以的，在那个地方 属于性价比超高的酒店了，呵呵，推荐入住 ，虽然期间有点点不愉快', 'star': 5}
{'descr': '交通非常方便，旁边就是洪崖洞，吃东西完全没有问题。去朝天门码头坐船，完全可以步行。门口就是公交车站，四通八达。风景也很好，酒店比较温馨，就是我住的当天停气了，没有热水让人郁闷', 'star': 5}
