{'短评内容': '超值的酒店够档次环境够好', '短评打分': 5}
{'短评内容': '环境不错，就是床有点软。还会再次入住的.\n周边是居民小区，比较安静，去开发区也不远', '短评打分': 5}
{'短评内容': '环境挺好的，就是如果能延迟到两点退房  就好了~~~', '短评打分': 5}
{'短评内容': '不管是服务还是什么  都挺好的。。就是   有一点，退房时间太严格了。。。。要是退房时间能在延迟一点就好了。。', '短评打分': 5}
{'短评内容': '房间还挺大的 就是地理偏 周围都是小区 房间设施很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '内部环境不错，位置偏僻了点', '短评打分': 3}
{'短评内容': '店位置可以，房间大小也不错，靠近太平花苑生活区。', '短评打分': 5}
{'短评内容': '价格实惠，在南站以及机场的中间，还算方便，旁边就是百家湖很不错', '短评打分': 5}
{'短评内容': '便宜，还返还30 。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店附近吃喝很不方便', '短评打分': 3}
{'短评内容': '房间还挺大的 就是地理偏 房间设施很好 卫生间也比莫泰一般的店要大点 ', '短评打分': 5}
{'短评内容': '还是可以的。。。。前台服务态度超好的说。。。', '短评打分': 5}
{'短评内容': '给同事定的，同事觉得离办事的地方很近，很方便，酒店服务也很不错', '短评打分': 5}
{'短评内容': '服务到位，环境优美，就是地方有点偏，周围都是小区', '短评打分': 5}
{'短评内容': '服务很周道，环境也很好，就是离我的目的有些远。', '短评打分': 3}
{'短评内容': '太一般了.比如;网速,早餐和交通.房间嘛,连锁店的风格.', '短评打分': 1}
{'短评内容': '房间很干净，就是设施比较简单，但是不错了', '短评打分': 3}
{'短评内容': '条件很好，对得起这个价位，特别是浴室的空间相对其他宾馆要大很多。\n位置稍微有些偏，但是打车还是比较方便。\n要说有什么缺点就是服务员打扫太频繁了，墙壁很薄敲门什么听的很清楚，觉得有点吵。', '短评打分': 5}
{'短评内容': '环境还不错呢…两层的，很舒服。就是走道太长，应改进设计。房间蛮大的。', '短评打分': 5}
{'短评内容': '挺好，就是隔音不太好，还有中午开房后，太累睡午觉，可是打扫阿姨一直在走廊聊天，声音还很大，希望她们可以认真工作，不是要影响顾客', '短评打分': 3}
{'短评内容': '＋环境不错，感觉很温馨，就是地点偏点，不容易找，建议打的时找江宁本地区的人', '短评打分': 3}
{'短评内容': '环境很好，卫生间更好', '短评打分': 3}
{'短评内容': '交通不太方便，但是开车的话就无所谓，对面就是百家湖。门口利源中路最北端在修地铁，绕一下就好。', '短评打分': 5}
{'短评内容': '酒店还行，挺好找的，打车说百家湖莫泰168，司机就知道，2m宽的大床，就是房间的大灯不亮，从这酒店到机场打的70多块钱，司机电话前台有，半个多小时吧不堵车的情况下。晚上有车的声音，此酒店距离地铁站有点远，估计的1.5公里，走着是不行，必须打车。', '短评打分': 5}
{'短评内容': '在百家湖旁边，空气好，安静，去九龙湖很近。', '短评打分': 5}
{'短评内容': '新开张的店，很干净~性价比不错，下次还会住', '短评打分': 5}
{'短评内容': '性价比非常高11111111111111111111', '短评打分': 5}
{'短评内容': '关键挺好的，服务态度也好。', '短评打分': 3}
