{'短评内容': '无所不能。', '短评打分': 5}
{'短评内容': '酒店环境优雅房间舒适服务态度很好五星', '短评打分': 5}
{'短评内容': '精通越来越差了，酒店烧水壶、毛巾旧的都发黄。不说用了，看见都不想碰一下!最可恶的是服务质量，消费了一瓶水竟然扣了我133元。打电话去酒店问前台轻描淡写的说扣错了，自己过来处理吧！尼玛的客人的时间就这么不值钱吗？以后再也不会去住这种垃圾酒店了!', '短评打分': 2}
{'短评内容': '服务不好，其他都好', '短评打分': 4}
{'短评内容': '前台服务差', '短评打分': 1}
{'短评内容': 'h', '短评打分': 5}
{'短评内容': '还不错了，前台的服务态度好，要是会员预定会更加便宜，早餐也不错，好评。', '短评打分': 5}
{'短评内容': '卫生干净，环境安静，值得推荐。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还行的吧', '短评打分': 4}
{'短评内容': '很好，下次继续订！', '短评打分': 5}
{'短评内容': '酒店环境还可以，还会入住。', '短评打分': 4}
{'短评内容': '经常入住的酒店，都不错；就是房间隔音不太好！离东郊车站和文化广场都不远。', '短评打分': 5}
{'短评内容': '除了隔音效果不好，其他都很不错，周边游玩办公的可考虑', '短评打分': 5}
{'短评内容': '酒店人员服务一般，卫生还可以感觉', '短评打分': 3}
{'短评内容': '酒店环境不错，干净，性价比高', '短评打分': 5}
{'短评内容': '前台业务太不熟练，早餐实在太难吃，不推荐入住', '短评打分': 5}
{'短评内容': '房间很大，卫生很干净！第一次预订感到很满意。', '短评打分': 3}
