{'短评内容': '特价房便宜 无早餐', '短评打分': 5}
{'短评内容': '同行6人，定了3间，设施配套齐全，交通便利，服务到位，环境还可以，主干道上，周围还有有名的旅宁鸡汤，好喝到爆，值得推荐', '短评打分': 5}
{'短评内容': '酒店很大，网络上便宜，但是WiFi慎用，安全漏洞，帮我安装了一个竖屏斗地主。别的还好，茶叶没有，拖鞋没有一次性的。', '短评打分': 5}
{'短评内容': '便宜！', '短评打分': 5}
{'短评内容': '酒店房间干净整洁，我住的是大床房，空间也较大，整天环境还是比较舒服的，但是房间窗把手坏了关不紧晚上有点吵', '短评打分': 5}
{'短评内容': ' 房间环境还是很好的，而且很实惠！出行也方便，有点儿不太满意的是晚上过路车声音有点儿大，隔音效果不太好，希望改善！ 总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 4}
{'短评内容': '环境什么的都不错,我们住的702,电脑打不开,别的都挺好.', '短评打分': 5}
{'短评内容': '房间环境不错，价格实惠，值得推荐！', '短评打分': 4}
{'短评内容': '定个豪华单房，房间竟然没有纸巾，没有纯净水，酒店连冲电器都没有。', '短评打分': 2}
{'短评内容': '房间舒适，很大，空调效果不佳，冷点，这样的价格，很不错了，总结：性价比可以的。', '短评打分': 4}
{'短评内容': '房间有点冷，空调不给力。', '短评打分': 4}
{'短评内容': '酒店很不错_积极推荐', '短评打分': 5}
{'短评内容': '很不错的酒店，干净没有异味，周围吃店少，酒店上不了网。', '短评打分': 5}
{'短评内容': '房间卫生、交通便利，房间性价比高！', '短评打分': 3}
