{'短评内容': '酒店提供的自助早餐要收费，我预定的房间不含早餐。楼下有一家火锅店，酒店的走廊里弥漫着火锅的味道，酒店有外窗的房间不多，我的是内窗，一进屋有一股烟味又不能开窗通风换气。另外，隔音效果不好，快十二点了还能听到声音。休息不好。', '短评打分': 4}
{'短评内容': '交通便利，服务满意', '短评打分': 5}
{'短评内容': '很赞，就是隔音一般', '短评打分': 5}
{'短评内容': '隔壁演艺舞台。很超。房门缝隙很大。没有早餐。边上是很多火锅店马路对面的阿姨面价廉物美。干净还是可以的.南通狼山还是好玩的', '短评打分': 4}
{'短评内容': '一直在这里住', '短评打分': 5}
{'短评内容': '酒店位置不错，离濠河景区开车五到十分钟，停车比较困难，车位很少，门前的车位是留给隔壁火锅店的，住店的车位在隔壁弄堂里，停满好像也就五辆车。早餐很简单，粥，炒面，蛋，色拉，包子，麦片，牛奶都有，吃饱没问题', '短评打分': 4}
{'短评内容': '非常好，比店里便宜，性价比超高', '短评打分': 5}
{'短评内容': '房间很整洁，很干净', '短评打分': 5}
{'短评内容': '隔音太差，弄得我1点半还没睡，隔壁的你妈的打扑克还是在干嘛！', '短评打分': 4}
{'短评内容': '赔偿床单也就算了 迟了几天就各种威胁也是厉害 第一次住墙还是坏的 位置还很尴尬 ', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '相对比较干净，价格也不是很贵', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不怎么好', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店地址不错，快捷酒店中规中矩', '短评打分': 4}
{'短评内容': '在装修，一股味道很厉害，早上被装修吵醒后就睡不着了，其他都还可以', '短评打分': 3}
{'短评内容': '在装修，各方面都不行', '短评打分': 3}
