{'短评内容': '丁的小木屋免费升了豪华套房，一家人住的很舒服。', '短评打分': 5}
{'短评内容': '地方有点偏，房间和走廊都有一股霉味，特别是走廊里堆积的那些床单被罩，感觉很长时间没清理过了。最奇葩的是，订的木屋房，窗帘都没有，晚上开灯的时候，外面把房间里看了个通透。', '短评打分': 1}
{'短评内容': '味道很难闻', '短评打分': 2}
{'短评内容': '酒店位置稍偏，但很安静;房内设施一般;卫生不太干净，不过总体还过得去;价格在黄金周是可以接受的;前台女服务生面无表情，给人感觉冰冷，不怎么样，之前接电话的小哥倒是很热情友好。', '短评打分': 3}
{'短评内容': '地理位置离牯岭镇中心不远，吃行还比较方便', '短评打分': 4}
{'短评内容': '卫生条件不过关，毕竟在山上，家里人被虫咬了好几个块', '短评打分': 4}
{'短评内容': '你的时候就想吐。我的心里只有我一个月', '短评打分': 3}
{'短评内容': '老板人很好', '短评打分': 4}
{'短评内容': '各方面都一般般，山上条件都那样吧。', '短评打分': 3}
{'短评内容': '一声叹息，这个酒店其实框架不错，可惜老板没有用心经营，可惜！', '短评打分': 2}
{'短评内容': '性价比不高，但是老板热情', '短评打分': 3}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '网络是坏的，用不了。地理位置不好，很难找。价格比周边贵很多，空调不给力，这个季节房间很冷，还好有个电热毯。', '短评打分': 1}
{'短评内容': '老板有诚信，是较新的酒店，入住应该会放心。', '短评打分': 5}
