{'短评内容': '前台服务非常好', '短评打分': 5}
{'短评内容': '很好，就是有点老了。', '短评打分': 5}
{'短评内容': '市中心，很方便，酒店还不错。', '短评打分': 5}
{'短评内容': '不错，非常的选择', '短评打分': 5}
{'短评内容': '干净卫生，但设备陈旧。', '短评打分': 4}
{'短评内容': '服务贴心，房间舒适，赞！', '短评打分': 5}
{'短评内容': '位置不错，服务很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不知道怎么评到的4星级，垃圾酒店，设施老旧，', '短评打分': 2}
{'短评内容': '酒店房间里异味很大，卫生间超级难用，所有设施太陈旧了，不过很好停车，太老旧了', '短评打分': 4}
{'短评内容': '一般吧……  设备太老旧了', '短评打分': 4}
{'短评内容': '酒店设施有点旧，其他都很好，继续保持', '短评打分': 5}
{'短评内容': '酒店还可以接受', '短评打分': 5}
{'短评内容': '不错，卫生好，服务好', '短评打分': 4}
{'短评内容': '保持!', '短评打分': 4}
{'短评内容': '很好！环境也很不错！酒店可购买的商品太少！希望以后服务有更多改进！', '短评打分': 5}
{'短评内容': '中规中矩吧，还可以。就是发票开完了回来报销不了，哎，有麻烦了！', '短评打分': 5}
{'短评内容': '该酒店太老旧了，房间里香烟味道很重。作为一个挂牌四星酒店，服务水平不相称，门童不会帮客人扬招出租车，需要客人自己跑到马路边去找车。\n性价比不高。', '短评打分': 1}
{'短评内容': '现在看天外天性价比比较低，服务员素质还是比较高。', '短评打分': 1}
{'短评内容': '垃圾酒店垃圾酒店垃圾酒店垃圾酒店垃圾酒店', '短评打分': 1}
{'短评内容': '早餐搬岛二楼环境不错，其它没有变化，总的说海可以，星价比稍低', '短评打分': 5}
{'短评内容': '在内蒙，这个酒店还算不错啦。硬件有点儿老，但服务还可以，交通很方便，对于比较挑剔的我来说完全能接受。住的是商务间。', '短评打分': 3}
{'短评内容': '房间小服务—般', '短评打分': 3}
{'短评内容': '酒店不错早点差点', '短评打分': 3}
{'短评内容': '非常不錯的酒店, 下次還要再住呢..\n地點都挺不錯', '短评打分': 5}
{'短评内容': '设施陈旧、服务较差。房间的设备很多问题。甚至有欺骗客户消费的嫌疑。服务则堪称恶劣。3星级都达不到。', '短评打分': 1}
{'短评内容': '不错哦，位置不错，环境也好！下次去还是要定在那了', '短评打分': 5}
{'短评内容': '我以入住', '短评打分': 3}
{'短评内容': '位置还好，看到升到4星了，可是整体还是以前的老感觉。早餐比以前差多了，品种少了。房间隔音不好。和价钱比起来好像有点，如果整体提高些这个价格就还好，可是这个环境那就应该价格再低些。', '短评打分': 1}
{'短评内容': '服务态度不错，位置还可以，如果再能够象其他的四星级酒店那样，晚上临睡前给床头柜上放一杯牛奶就更好了。', '短评打分': 5}
{'短评内容': '服务员素质一般，客房设备陈旧，与四星级相差甚远', '短评打分': 1}
{'短评内容': '酒店很旧，服务很差，感觉像二星级的酒店，下次去包头，肯定不会再去住了，早餐也很一般', '短评打分': 1}
{'短评内容': '基本满意！', '短评打分': 5}
{'短评内容': '位置不错，设施有点旧，别的还算说得过去', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '比较老旧的酒店，整体需要提升', '短评打分': 1}
{'短评内容': '去机场比较方便, 原来有大巴的, 后来不知怎么没有了. 早餐还行. 服务态度不错', '短评打分': 5}
{'短评内容': '可以免费游泳。地理位置较好。', '短评打分': 5}
{'短评内容': '该酒店靠近公园，环境很好，酒店设施还比较新，住着舒服，离机场比较近，方便出差。', '短评打分': 5}
{'短评内容': '食宿条件都不错, 午餐贵了点, 两个人点了些素菜, 花了100多. 住宿也有些贵, 建议在300左右.\r\n\r\n交通, 离市中心稍远, 但离我办事的地儿还行, 方便.', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 1}
{'短评内容': '居然三星级的房间没有无烟房，房间里的烟味非常呛人，要是不吸烟的人肯定受不了，卫生间的龙头也是坏的，总之不好。', '短评打分': 3}
{'短评内容': '能否提供价格低一点的呀！我们都是穷人呀', '短评打分': 3}
{'短评内容': '非场次的酒店，硬件和软件都不怎么样，不推荐！！！', '短评打分': 3}
{'短评内容': '本服务所推荐的酒店没有完全服务于会员甚至还给会员在退房时找假币，我就是一个受害者，希望贵网给予查询并答复。', '短评打分': 3}
{'短评内容': '服务档次太低，物有不值。房价太贵，同样条件的酒店，价格比它低的多。希望多提供一些可供选择的酒店。', '短评打分': 3}
{'短评内容': '太不好了！！！！位置太偏软硬件的设备都待更新。', '短评打分': 3}
{'短评内容': '地理位置不好，价格不低，服务不上档次，能否推荐多一点的酒店供会员选择。', '短评打分': 3}
