{'短评内容': '酒店位置很好性价比很高。', '短评打分': 5}
{'短评内容': '酒店服务态度好', '短评打分': 5}
{'短评内容': '感觉汉庭酒店的卫生状况良好，这是本人出行最为注重的地方。就是贵了点，但也物有所值。', '短评打分': 5}
{'短评内容': '坐落在银川城区中心，旁边就是一个夜市，有吃饭的，有卖衣服的，接地气！因为是快捷酒店，配套设施比较规范！服务也不错，唯一的就是车位较少。', '短评打分': 5}
{'短评内容': '住的家庭房，一家三口住很宽敞。酒店地理位置很方便，去鼓楼步行街步行10分钟就到了，包车出去玩很多都在鼓楼集合出发。酒店周边吃的很方便，还有24小时营业的海底捞，很赞。', '短评打分': 5}
{'短评内容': '位置没得说，房间小的，标准的汉庭风格', '短评打分': 4}
{'短评内容': '朋友说网速差点，其他条件还算可以吧', '短评打分': 4}
{'短评内容': '卫生好 评价真实', '短评打分': 5}
{'短评内容': '很失望！', '短评打分': 1}
{'短评内容': '设施旧的一些 其他都非常好', '短评打分': 5}
{'短评内容': '地理位置不错，靠近繁华地区。离鼓楼、南门、步行街都很近。下次还会考虑', '短评打分': 5}
{'短评内容': '地理位置不错 靠近繁华地区 离鼓楼、南门、步行街都很近', '短评打分': 5}
{'短评内容': '还是很不错的，适合出差。', '短评打分': 5}
{'短评内容': '性价比一般，地理位置还不错', '短评打分': 3}
{'短评内容': '在外地。这样的环境和服务已经相当不容易了', '短评打分': 5}
