{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '在市区北门，到市区中心只有5分钟路程，挺方便，有免费停车场，WIFI，早餐等，就是设施稍微久了些，房间布局改进一下更好，早餐可以增加些品种嘛', '短评打分': 4}
{'短评内容': '酒店就在市区，入住方便，办事便利，服务态度很好，有WIFI，有停车场，比较方便，早餐7:30，可以提前一点，方便早起外出旅客', '短评打分': 4}
{'短评内容': '环境不错，交通便利，服务也可以，就是房间布局不太理想，尤其浴室，早餐不够丰盛', '短评打分': 4}
{'短评内容': '。。。。。。。。', '短评打分': 5}
{'短评内容': '好。。。。。', '短评打分': 5}
{'短评内容': '到店半个小时就退房了，因为去打酒店时发现环境不好、空间很小，就要求换一间房，服务员不给予换房服务，而且爱理不理的，我觉得很气愤，就退房，去别家住了，但是酒店不退我房费。', '短评打分': 1}
{'短评内容': '住过几次了，房间设施有点老了，但是确实很不错的旅馆，不贵且住着舒心', '短评打分': 5}
{'短评内容': '还不错，住过好几次了！', '短评打分': 5}
{'短评内容': '一般，态度差', '短评打分': 3}
{'短评内容': '干净卫生，环境不错，服务周到！', '短评打分': 5}
{'短评内容': '还可以，不是特别高的要求的话。就平时自己住还是可以的', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 4}
{'短评内容': '还是不错的   但是房间有点小了………', '短评打分': 4}
{'短评内容': '房间隔音有点差。', '短评打分': 3}
{'短评内容': '价有所值', '短评打分': 4}
{'短评内容': '还可以，就是有点吵，其他一般般。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '离市区非常近 吃东西非常方便 去街子古镇也很方便 赞一个！', '短评打分': 5}
{'短评内容': '离市区非常近 吃东西非常方便 去街子古镇也很方便 赞一个！', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里酒店不错 很满意  下次还会住这里酒店不错 很满意  下次还会住这里酒店不错 很满意  下次还会住这里酒店不错 很满意  下次还会住这里', '短评打分': 5}
{'短评内容': '价格便宜，条件不错，值得推荐。性价比很高，下次再来', '短评打分': 3}
{'短评内容': '不錯，在城裡，方便，乾淨。', '短评打分': 3}
{'短评内容': '干净  卫生。就是临街有点吵。电视信号不是很稳定，早上起来电视都没信号了。\n总的不错的。服务那些 卫生 都不错。还有早餐！', '短评打分': 5}
{'短评内容': '住的豪华单间，设施和服务都还不错，就是房间小了点，需自带电脑而且网速慢', '短评打分': 5}
{'短评内容': '性价比还不错,房间比较干净，能够达到三星标准，应该下次还会入住。', '短评打分': 5}
