{'descr': '早餐很好，环境也很不错', 'star': 5}
{'descr': '位置很好，很方便', 'star': 5}
{'descr': '房间特别大 前台姐姐人又漂亮又好  位置也好  就在路边 导航能导到', 'star': 5}
{'descr': '设施差，空调开着响声大睡不觉，只有关掉。半夜12点以后隔壁房间一群人在讲快速挣钱的销售课，早晨6点停课。一夜没法睡。早上问前台，前台说是老师在上课。老师都是半夜在宾馆上课的吗？其他客人还要不要休息？？？？', 'star': 2}
{'descr': '挺好的，不错', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '不错错但是为什么网络房没有电视', 'star': 5}
{'descr': '房间里面总体比较干净，基础设施也算完善，各种生活用品摆放整齐，卫生做得好。公共区域设计也比较好，总体温馨，价格适宜，性价比高，住的很开心。', 'star': 5}
{'descr': '是一个人住的，提前订的经济房后来给我升成了商务房但没有加钱。服务态度很好很有礼貌。酒店的设施也比较舒服，后来才知道是个主题艺术酒店。交通也很方便街口就有地铁公交。很不错的一次体验。', 'star': 4}
{'descr': '房间毛巾都是烂的，但性价比还可以。', 'star': 3}
{'descr': '不错的选择，我续住了十几天了', 'star': 4}
{'descr': '方便', 'star': 4}
{'descr': '一般。房间小。没什么性价比', 'star': 5}
{'descr': '很喜欢这里的环境', 'star': 5}
{'descr': 'Ok', 'star': 5}
{'descr': '环境不错，就是电视信号经常断！', 'star': 3}
{'descr': '前台服务态度差，电视信号差，早点种类少，味道差。。。', 'star': 1}
{'descr': '相对石坪桥店来讲，这里有饮水机，但设施，布局等较旧，没有石坪桥店爽心。但性价比还是较高的。', 'star': 5}
{'descr': '地理位置方便，性价比一般，服务水平不高。', 'star': 5}
{'descr': '性价比可以，卫生条件可以，停车方便。适合小住。', 'star': 5}
{'descr': '价格偏高，服务品质一般，停车方便，设施也一般', 'star': 5}
{'descr': '虽然靠近马路很吵，但是价格便宜。前台入住办理动作比较慢，总体性价比还行。', 'star': 5}
{'descr': '服务一般，前台核实身份证的程序有点繁琐。', 'star': 3}
{'descr': '挺方便', 'star': 5}
{'descr': '环境还可以,很安静', 'star': 5}
{'descr': '还可以,过得去,就是房间筒单点,我会推荐给我的朋友', 'star': 5}
{'descr': '太过于陈旧了， 因为之前住过石坪桥店，感觉不错， 所以才帮朋友订了这间， 没有想到完全不一样。可以装修了。旧啊-----', 'star': 1}
{'descr': '相对其周边的酒店，性价比不算高，服务质量还有待提高', 'star': 5}
{'descr': '交通方便、位置好找。旁边吃饭的地方较多。距重庆IT商圈非常方便。', 'star': 5}
{'descr': '都是前台办理手续有点慢，其他都还可以，酒店还是比较干净。', 'star': 5}
{'descr': '酒店不错，下次去还住那里，关键是方便，我们客户公司就在对面，出了门就到。而且该酒店离汽车站很近，直接有去成都的大巴。', 'star': 5}
{'descr': '房间比较大，基本设施都有，床很舒适，感觉很好。', 'star': 5}
{'descr': '服务很及时，办事效率挺高，价格也蛮合适的，值得推荐。', 'star': 5}
{'descr': '房间很干净，设施很齐全，有宽带，网速很好，感觉很方便。', 'star': 5}
{'descr': '服务上挺周到的，可以说是有求必应，价格也挺合适的。', 'star': 5}
{'descr': '挺干净的，通风也不错，设施也齐全，住的很舒适。', 'star': 5}
{'descr': '性价比好', 'star': 5}
{'descr': '含双早是预料之外的\r\n窗外是一所学校，晚上很安静。', 'star': 5}
{'descr': '设备齐全，价格与其他同星级酒店相比有点高，地段到便利，推荐度一般', 'star': 3}
{'descr': '我觉得这家酒店还可以，环境不错，位置也比较方便，我比较满意 ', 'star': 3}
{'descr': '房间有点昏暗，大床房临街有点吵，卫生间的面盆水龙头出水有点问题，水要喷到身上，电视的声音和图像不符合。\r\n其他方面还可以。', 'star': 3}
{'descr': '服务态度好，性价比高，周边饭馆比较多！', 'star': 5}
{'descr': '酒店位置不错，服务、设施都还可以，性价比较高。房间陈设较温馨，就是市内灯光有些昏暗，稍加改进就更完美了。', 'star': 5}
{'descr': '就是有点吵', 'star': 5}
