{'短评内容': '很卫生，满意。', '短评打分': 5}
{'短评内容': '酒店就在观前街边，非常便利！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '店主很热情，人比较豪爽～！卫生每天有专人打扫，出行交通很方便，旁边就有超市和饭店。主要价格还实惠，整体挺好的，5分～！', '短评打分': 5}
{'短评内容': '对面就是观前街', '短评打分': 5}
{'短评内容': '交通蛮便利的，周边几个商场，但是略微有点老旧', '短评打分': 4}
{'短评内容': '房间隔音不太好，位置不错，离观前街很近。因为修路，外面晚上比较吵', '短评打分': 4}
{'短评内容': '要不是订不到其他连锁酒店，根本不会定这里。脏。。。。乱。。。。。差', '短评打分': 1}
{'短评内容': '环境一般，但还是价格毕竟在那里，所以整体很是不错的。', '短评打分': 5}
{'短评内容': '服务态度差劲，环境卫生差', '短评打分': 1}
{'短评内容': '蛮不错的，交通便利', '短评打分': 4}
{'短评内容': '环境不错，市中心价格便宜', '短评打分': 1}
{'短评内容': '态度挺好的，挺干净的，离观前街近，价格不贵', '短评打分': 5}
{'短评内容': '位于观前街附近，夜景非常漂亮，交通方便。边上还有很多小吃。宾馆的环境很符合这个价位。', '短评打分': 5}
{'短评内容': '房间很干净，服务也很好，住的很舒心，老板娘非常的热情，宾馆真的很好', '短评打分': 5}
{'短评内容': '床单黄黄的，枕套黄黄的。晚上有猫叫，很恼人。卫生间的浴门是破的。100元一晚的大床房，也不应该这样吧。不过老板人很好，很热情。酒店地理位置也还不错。', '短评打分': 1}
{'短评内容': '不错，性价比高，值得一住、、、、、、、、', '短评打分': 5}
{'短评内容': '还不错，挺干净的，交通方便，就是房间稍微小了点儿~~', '短评打分': 5}
{'短评内容': '还不错房间不算大，挺干净的，就在观前街附近，交通方便、、、', '短评打分': 5}
{'短评内容': '房间干净，服务态度很好，有无线网，位置就在观前街对面，方面', '短评打分': 5}
