{'短评内容': '环境非常好，工作人员很热情！早餐也不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐好吃，安静，离码头很近', '短评打分': 5}
{'短评内容': '位置不错啊', '短评打分': 5}
{'短评内容': '洋气的小楼，简约而不简单', '短评打分': 4}
{'短评内容': '环境挺好滴，不过旧的这边设施要旧一些，还有蚊子很多，要记得自己带驱蚊花露水什么的，位置还是挺方便的，下了码头，走10分钟就到了', '短评打分': 4}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '好，干净，舒服', '短评打分': 5}
{'短评内容': '来之前听说鼓浪屿的房间潮湿又不好 千挑万选犹豫再三 推开房间门的一刻我发现 选对了。室内非常干净 而且房间真的不小 两面窗 打开阳光进来真的很舒适！不潮 不吵 不阴暗 照片是实际拍摄的没有ps哦！推荐！只是不知道旺季多少钱一天', '短评打分': 5}
{'短评内容': '위치는 정말좋았습니다 부두에서내려 걸어서5분안에도착했어요 짐풀고 정말편안했어요아침조식은 샌드위치와쥬스커피우유입니다', '短评打分': 5}
{'短评内容': '很好看东西好吃。', '短评打分': 5}
{'短评内容': '酒店早餐不错，周围环境也还好。就是房间小点', '短评打分': 5}
{'短评内容': '酒店位置距繁华地方有1公里距离 旁边有个废品回收站 早晨7点半就开始敲东西 店家服务非常好 就是建议大家不要定那个套房 床头晚上睡觉有流水声 最后换到201 早餐非常丰富', '短评打分': 5}
{'短评内容': '酒店位置距繁华地方有1公里距离 旁边有个废品回收站 早晨7点半就开始敲东西 店家服务非常好 就是建议大家不要定那个套房 床头晚上睡觉有流水声 最后换到201 早餐非常丰富', '短评打分': 5}
{'短评内容': '很好...早餐很好吃', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': 'wifi时断时好 房间不错 早餐不错 登记时附上饮料这个做得很好 下次来还是会选择这家 离三丘田码头很近', '短评打分': 5}
