{'短评内容': '很不错的酒店！', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '早餐一般，交通方便', '短评打分': 4}
{'短评内容': '在大同玩不小心发烧了 找前台要了个温度计 服务员大姐冯红芳还贴心的给送了一碗红糖姜汤 还送了一盘圣女果 非常感谢', '短评打分': 4}
{'短评内容': '房间可以，环境不错', '短评打分': 5}
{'短评内容': '有停车场，楼下还有自助餐，交通业挺方便，房间物美价廉，不错', '短评打分': 5}
{'短评内容': '大同老牌酒店 里面还可以 不错', '短评打分': 5}
{'短评内容': '大同老牌酒店，希望屋内设施可以得到更新。', '短评打分': 5}
{'短评内容': '半夜到达酒店，从停车场后门进去，转了一圈才找到大堂，屋内设施还不错，无异味。酒店周边是居民区，吃早点比较方便，交通比较拥挤。', '短评打分': 4}
{'短评内容': '酒店很温馨，服务人员也很周到，细致。设施设备比较齐全，周围环境相对安静无噪音。周围的配套很好，包括购物，特色餐饮都有。', '短评打分': 5}
{'短评内容': '酒店很温馨，服务人员也很周到，细致。设施设备比较齐全，周围环境相对安静无噪音。周围的配套很好，包括购物，特色餐饮都有。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '就那样，酒店有年头了', '短评打分': 4}
{'短评内容': '非常不错下次在来', '短评打分': 5}
{'短评内容': '老客户了，常住天贵，物起所值，赞！', '短评打分': 5}
{'短评内容': '老客户了，常住天贵，物起所值，赞！', '短评打分': 5}
{'短评内容': '服务不错，就是房间年代久了，有点旧。', '短评打分': 4}
{'短评内容': '位置不错，交通便利，服务态度好，大堂比较小，北魏特色主题突出', '短评打分': 3}
{'短评内容': '酒店很不错，地理位置好，价钱便宜，服务好', '短评打分': 5}
{'短评内容': '条件尚算可以，服务一般。退房没有十分钟别想完事，同时做好被诬陷的准备。我不推荐。', '短评打分': 3}
{'短评内容': '各方面还不错，就是早餐太一般', '短评打分': 3}
{'短评内容': '总得不错，提些不足吧，早餐有时跟不上，无线只有大厅里，希望加以改进', '短评打分': 5}
{'短评内容': '比较超值的酒店，门面小了些，但房间比较大，东西配备也比较全，总得来说还不错', '短评打分': 5}
{'短评内容': '酒店相当不错，地理位置也很好。入住当天正赶上大同下大暴雨，车一在酒店门前的马路上一停，大唐的两位服务人员就立刻打伞冒雨前来迎接，由于风大两位接待全身都湿了；入住后酒店的服务人员不管什么时候见到你都会想你问好，感觉非常亲切；进了房间，房间也很不错，设施很新，很全，每天还会送来一个果盘。。。 总之，，，不错不错 非常值得推荐，下次还住这里。', '短评打分': 5}
{'短评内容': '前台接待很好，只是酒店设施一般，不及五星标准，不知道是否是网上预订的结果，床不是很大，不过真的有礼品赠送，只是服务员有点小莽撞。', '短评打分': 1}
{'短评内容': '酒店非常不错，干净整洁，交通便利！', '短评打分': 3}
{'短评内容': '以前住过，再次入住仍然感觉良好。', '短评打分': 3}
{'短评内容': '酒店服务很好，但位置一般。上网较慢，最好有WIFI。', '短评打分': 5}
{'短评内容': '非常好，每次去大同都会入住。早餐很喜欢，有营养。', '短评打分': 5}
{'短评内容': '房间设施较好，浴缸很舒适，下次还会入住。\n但上网速度有时太慢。\n', '短评打分': 5}
{'短评内容': '酒店很好，价格也不贵。挂牌5星。房间设施不错，服务态度也挺好', '短评打分': 5}
{'短评内容': '十服务好,酒店舒适,下次还会入住。', '短评打分': 3}
{'短评内容': '酒店设施较新，干净，服务员的服务质量和服务态度非常好；酒店提供的早餐档次较高，比较适合口味较淡的人，以后去大同还会入住这家酒店。', '短评打分': 5}
{'短评内容': '不错的酒店，早餐丰富．房间干净。', '短评打分': 3}
{'短评内容': '酒店前台的态度是非常好！令人感觉宾至如归！缺点是房间小点，床更是小点，本人一米九，不爽啊！', '短评打分': 5}
{'短评内容': '印象特别好，设施，早点都挺满意的，下次还要入住', '短评打分': 5}
{'短评内容': '不错不错，头一次去大同印象不错，下次来了还会入住\n挺满意\n\n', '短评打分': 5}
{'短评内容': '很喜欢1022房间，窗户很多，采光非常好，衣服晾上一天就干。', '短评打分': 5}
{'短评内容': '内部设施不错，干净，服务也很好。下次还住这里 \n', '短评打分': 5}
{'短评内容': '内部设施不错，干净，服务也很好。下次还住这里', '短评打分': 5}
{'短评内容': '酒店很新，设施好，服务也不错，早餐也丰富，交通位置也便利，离机场也很近，在大同有这样酒店真的挺满意，下次去还会住', '短评打分': 5}
{'短评内容': '酒店房间的感觉很舒适、干净，符合5星级的标准。但餐厅的饭菜味道很是一般。酒店周边的交通很方便，但是周围几乎找不到比较大的餐馆。', '短评打分': 5}
{'短评内容': '大同有这样的酒店真的没料到，交通方便，就是硬件设施也好，服务态度也不错，食物都好，连咖啡也是现磨的，赞，赞，赞', '短评打分': 5}
{'短评内容': '在当地已经算是不错的酒店了，服务态度很好，房间也挺舒服的，早餐也算丰盛，咖啡都是现磨的。停车位也是免费，也有专人看管。\n', '短评打分': 5}
{'短评内容': '不错，在山西能住到这个酒店还算满意，停车场的服务态度，很好，很满意--------------------------------------------------------------------', '短评打分': 5}
{'短评内容': '还可以，家具不错，周边设施也还可以，档次在山西算得上数一数二的了。下次去还订这家酒店。', '短评打分': 5}
{'短评内容': '位置很方便，我的房间明亮，阳光充足，衣服晾晒方便，干的很快。', '短评打分': 5}
{'短评内容': '是大同较好的酒店，性价比非常高，自助餐和早餐非常不错，不足的是晚上休息时，楼下的KTV声音太高，吵得很，而且早上外面路上噪声太大，隔音不好，不利于休息。', '短评打分': 5}
{'短评内容': '多次入住，比较喜欢，干净整洁，卫生条件较好。', '短评打分': 5}
{'短评内容': '前台接待比较热情，房间宽敞明亮，位置优越，比较喜欢。', '短评打分': 5}
{'短评内容': '很舒适，多次入住，印象较好，早餐丰盛，孩子较喜欢。', '短评打分': 5}
{'短评内容': '硬件可以，在大同算是比较舒适的酒店，多次推荐家人朋友入住。', '短评打分': 5}
{'短评内容': '卫生条件很好，交通方便，床有点硬，其他还好。下次还会入住。', '短评打分': 5}
