{'descr': '不行地方有点偏', 'star': 1}
{'descr': '环境很好，隔音效果也不错，乘电梯需要刷房卡，有安全保障，设施和很完备，就是卫生间的花洒有点问题，稍有瑕疵。总体而言，不错', 'star': 5}
{'descr': '蛮好的就是房间不是很大 离学校近 周边也有店下次有机会来', 'star': 5}
{'descr': ' 环境还不错', 'star': 4}
{'descr': '酒店位置还不错，离地铁站很近。附近就有饭店和便利店。', 'star': 5}
{'descr': '一般般的酒店，床小是硬伤，和女朋友开房真的比较痛苦，地方比较小~~可以停车是个优点，这个好评。离办事的地方也比较近，其他没啥了', 'star': 3}
{'descr': '酒店在自贸区三号门门口对面，周围有中餐厅，便利店，酒吧，面包店等等。麦当劳，星巴克也不太远。酒店设施比较老，卫生一般，服务员态度好，到地铁6号线航津路站走路5分钟左右，房价也便宜。在自贸区工作很方便。值得推荐。', 'star': 4}
{'descr': '就他家没热水', 'star': 5}
{'descr': 'many restaurant near by', 'star': 3}
{'descr': '酒庄挺美', 'star': 5}
{'descr': '宜必思酒店的设计布局还是不错。不过房间好小，床也好小 感觉性价比没有国内廉价连锁好呢。偶尔住住感觉还是不错的了', 'star': 5}
{'descr': '房间设施一般，早餐一般', 'star': 3}
{'descr': '因为要在外高桥办事，所以位置是非常好的。酒店很老了，设施都很陈旧和简陋。但毕竟也就这个价格。', 'star': 3}
{'descr': '每次出差都住，非常不错的', 'star': 5}
{'descr': '离地铁站800米左右，位置比较便利靠近保税区4号门。建筑物比较老房间内设施一般，这个价位的话还是可以接受。', 'star': 3}
{'descr': '还可以，干净小一点........', 'star': 5}
{'descr': '好，很好。离公司够近。', 'star': 5}
{'descr': '好，很好。离公司够近', 'star': 5}
{'descr': 'vert good and conv', 'star': 3}
{'descr': '优点:\n床还是挺舒服的.\n房间比较温馨.\n\n缺点:\n房间里网速超级慢.而且房间里没有无限信号.\n没有洗脸的小方巾,只有用浴巾那么大的毛巾洗脸.虽然宜必思打着环保的旗号,但是小方巾还是必需的.', 'star': 5}
{'descr': '酒店尚可、、、、、、、、、、、、、、jjjj', 'star': 5}
{'descr': ' 环境很好，性价比高。', 'star': 3}
{'descr': '属于简易性商务酒店，里面设施陈旧，毛巾破的。也只值这个价。', 'star': 5}
{'descr': '房间还行。宽带很慢。等等等等等。。。。。', 'star': 5}
{'descr': ':干净简洁，但电梯很麻烦。', 'star': 3}
{'descr': '有窗户，房间有点小，通风不是很好，不过性价比还是极高的，在上海188元的房间，已经很合适了.', 'star': 5}
{'descr': '环境很好，交通方便，周边有很多吃饭的地方，酒店早餐差', 'star': 5}
{'descr': '酒店的位置不错，靠近地铁，特别是附近有很多小吃。值得推荐。。。', 'star': 5}
{'descr': '感觉还可以，干净舒服，但早餐不好吃，位置有点偏', 'star': 5}
{'descr': 'ibis的性价比一般般，不能和holiday inn express比的。硬件软件都比不上，但是价格却差不多。', 'star': 1}
{'descr': '价格适中 适合出差 服务周到 5分钟即可到 地铁站 服务员着装很有品位', 'star': 5}
{'descr': '去外高桥办事还可以，在离地铁6号线入口没多远。周围也有些小饭馆，就是给房间里送黄色小卡片的太多了', 'star': 5}
{'descr': '地理位置不错，只是房间有点小，墙壁旧了些', 'star': 5}
{'descr': '挺不错的，帮别人预订的，据说还好~小推荐一下咯~', 'star': 5}
{'descr': '因为离单位比较近，所以选择这家。房间挺干净的，就是空调不给力，洗澡热水更不给力~希望能改进~~', 'star': 5}
{'descr': '\n没有备用棉被，不开空调晚上有点冷。空调声音有点大。\n早餐不咋地，卫生尚可。', 'star': 1}
{'descr': '早餐丰富,客房整洁,但在保税区里边, 交通不方便. ', 'star': 5}
{'descr': '离外高桥很近，方便，环境不错～～～～～～～～～～～～～～～～～～～～', 'star': 5}
{'descr': '房间挺干净，紧凑，还可以吧', 'star': 1}
{'descr': '酒店房间不错但不含早餐需另外购买， 位置比较远偏一点, 适合在外高桥附近出差的人，附近可选择的饭店比较少。有免费停车场', 'star': 5}
{'descr': '每周五的房价都下调，这样很好，很适合周末到上海的游客居住，就是酒店的早餐简单了一点，最好能品种丰富点。', 'star': 5}
{'descr': '虽然预定了两晚，但是只住了一晚就换酒店了，因为实在找不到再呆下去的理由。房间小，有怪味，一面墙上充满了脚板印；空调好似轰炸机，噪音太大；卫生间还算干净，就是水太小，花洒也固定不住；宽带速度狂慢。总之，非常不满意。', 'star': 1}
{'descr': '靠近保税区3号门，酒店前台态度和蔼，办理登记的速度很快，房间干净，网速很快，总体讲是不错的。 ', 'star': 5}
{'descr': '房间干净，宽带速度快，周边餐饮方便，就是早餐太简单，永远少不了一餐蛋炒饭。 ', 'star': 5}
{'descr': '房间大小合适，卫生整洁，早餐太简单，希望能改善。', 'star': 5}
{'descr': '周边餐饮便利,交通便利,房间面积还行,卫生好.', 'star': 5}
{'descr': '环境整洁,卫生好,早餐有待改进,靠近轨道6号线,交通便利.', 'star': 5}
{'descr': '地理位置不错，地铁很方便，周边餐饮店较多。房间稍小，其他尚可。', 'star': 5}
{'descr': '早餐简单了点，房间大小还好，上网速度挺快的，周边餐饮方便。', 'star': 5}
{'descr': '早餐简单了点，房间大小还好，上网速度挺快的，周边餐饮方便。', 'star': 5}
{'descr': '房间大小合适，卫生情况较好，就是早餐有点简单，30元一客，物无所值。', 'star': 5}
{'descr': '房间大小合适，卫生情况较好，就是早餐有点简单，30元一客，物无所值。', 'star': 5}
{'descr': '这个酒店居然不给客人提供毛巾，房价也并不便宜。', 'star': 1}
{'descr': '这个酒店居然不给客人提供毛巾，房价也并不便宜。', 'star': 1}
{'descr': '宜必思是住过的最舒适的连锁快捷酒店之一，房间虽然小了点，但是感觉很不错', 'star': 5}
{'descr': '宜必思是住过的最舒适的连锁快捷酒店之一，房间虽然小了点，但是感觉很不错', 'star': 5}
{'descr': '房间太小', 'star': 3}
{'descr': '房间太小', 'star': 3}
{'descr': '酒店还算可以，周边吃饭娱乐比较方便，离地铁站步行10分钟。', 'star': 5}
{'descr': '酒店还算可以，周边吃饭娱乐比较方便，离地铁站步行10分钟。', 'star': 5}
{'descr': '经常到这边出差，每次都会选这家，各方面都不错，推荐', 'star': 5}
{'descr': '经常到这边出差，每次都会选这家，各方面都不错，推荐', 'star': 5}
{'descr': '太小丶卫生不好，且到虹桥机场距离有误!', 'star': 3}
{'descr': '太小丶卫生不好，且到虹桥机场距离有误!', 'star': 3}
{'descr': '希望酒店增加早晨前台的人手，check out的等待时间太长', 'star': 5}
{'descr': '希望酒店增加早晨前台的人手，check out的等待时间太长', 'star': 5}
{'descr': '酒店设施完整，停车场很大而且免费，对于开车过来的朋友很适合', 'star': 5}
{'descr': '酒店设施完整，停车场很大而且免费，对于开车过来的朋友很适合', 'star': 5}
{'descr': '这个酒店靠着外高桥休闲广场，吃饭娱乐什么的都太方便了', 'star': 5}
{'descr': '这个酒店靠着外高桥休闲广场，吃饭娱乐什么的都太方便了', 'star': 5}
{'descr': '住了很多次这个酒店了，总体感觉不错。而且感觉很多细节在不断提高，推荐！', 'star': 5}
{'descr': '住了很多次这个酒店了，总体感觉不错。而且感觉很多细节在不断提高，推荐！', 'star': 5}
{'descr': '对于外高桥保税区的公干的来说 比较好。\n整体不错', 'star': 5}
{'descr': '对于外高桥保税区的公干的来说 比较好。\n整体不错', 'star': 5}
{'descr': '酒店比较干净卫生，就是早餐太过简单，晚点去基本就没了。', 'star': 5}
{'descr': '酒店比较干净卫生，就是早餐太过简单，晚点去基本就没了。', 'star': 5}
{'descr': '很好，虽然有点贵，但是下次到这里来还会选择这家。', 'star': 5}
{'descr': '很好，虽然有点贵，但是下次到这里来还会选择这家。', 'star': 5}
{'descr': '很不错，价格便宜，国际化的管理，和国外同样的配置', 'star': 5}
{'descr': '很不错，价格便宜，国际化的管理，和国外同样的配置', 'star': 5}
{'descr': '酒店不错，服务也挺好，就是希望早晨时员工人手多一点，退房效率可以高一些', 'star': 5}
{'descr': '酒店不错，服务也挺好，就是希望早晨时员工人手多一点，退房效率可以高一些', 'star': 5}
{'descr': '以前入住遇到的问题前台居然还记得，这一次主动地帮助解决了，很不错！', 'star': 5}
{'descr': '以前入住遇到的问题前台居然还记得，这一次主动地帮助解决了，很不错！', 'star': 5}
{'descr': '整体还不错，周边吃饭很方便。酒店有超大的免费停车场，很方便', 'star': 5}
{'descr': '整体还不错，周边吃饭很方便。酒店有超大的免费停车场，很方便', 'star': 5}
{'descr': '酒店还不错，交通比较便利，房间条件也还算可以。', 'star': 5}
{'descr': '酒店还不错，交通比较便利，房间条件也还算可以。', 'star': 5}
{'descr': '酒店各方面都不错，优点就不多说了。为了更好的服务后来者，还是多说点不足吧：价格稍有一点高；房间里应该配备电吹风等常用品（前台的数量太少，经常借不到）；借转换头电吹风这种东西记在房间名下就足够了，还要押金感觉不好——本身房费就有押金了，而且这些东西没几个钱，应该大气一点，给顾客的感觉就不一样了', 'star': 5}
{'descr': '酒店各方面都不错，优点就不多说了。为了更好的服务后来者，还是多说点不足吧：价格稍有一点高；房间里应该配备电吹风等常用品（前台的数量太少，经常借不到）；借转换头电吹风这种东西记在房间名下就足够了，还要押金感觉不好——本身房费就有押金了，而且这些东西没几个钱，应该大气一点，给顾客的感觉就不一样了', 'star': 5}
{'descr': '毕竟是国际连锁，性价比非常不错，在外高桥区域工作选择住宿是个不错的地方。', 'star': 5}
{'descr': '毕竟是国际连锁，性价比非常不错，在外高桥区域工作选择住宿是个不错的地方。', 'star': 5}
{'descr': 'Clean and cosy room. Value for money. Good if you work in WGQ area.', 'star': 5}
{'descr': 'Clean and cosy room. Value for money. Good if you work in WGQ area.', 'star': 5}
{'descr': '干净,方便在外高桥工作人员.早餐不怎么样/.', 'star': 5}
{'descr': '干净,方便在外高桥工作人员.早餐不怎么样/.', 'star': 5}
{'descr': '酒店比较干净卫生，就是早餐太过简单，晚点去基本就没了。电视机摆放不合理，看时间长别扭。', 'star': 5}
{'descr': '酒店比较干净卫生，就是早餐太过简单，晚点去基本就没了。电视机摆放不合理，看时间长别扭。', 'star': 5}
{'descr': '酒店已住，挺好挺干净', 'star': 3}
{'descr': '酒店已住，挺好挺干净', 'star': 3}
{'descr': '上海宜必思酒店不错挺干净', 'star': 3}
{'descr': '上海宜必思酒店不错挺干净', 'star': 3}
{'descr': '离六号线航津路站较近 干净 还不错 电视位置比较难过 偏着看', 'star': 5}
{'descr': '离六号线航津路站较近 干净 还不错 电视位置比较难过 偏着看', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '干净小巧，设施齐全，就早餐差了些，总体还是很不错的。', 'star': 5}
{'descr': '我认为不错 酒店位置还不错 房间有点小 主要是', 'star': 3}
{'descr': '我认为不错 酒店位置还不错 房间有点小 主要是', 'star': 3}
{'descr': '位置相当不错 。。。房间是有点窄 其他的都不错', 'star': 5}
{'descr': '位置相当不错 。。。房间是有点窄 其他的都不错', 'star': 5}
{'descr': '首先要说 位置实在是太偏僻了。我从广场坐地铁 转了 一趟 到了酒店附近花了1个多小时。想想看  地铁一个多小时要多远了。\r\n服务于态度很好。服务也好。房间也还过的去 。好评了', 'star': 5}
{'descr': '首先要说 位置实在是太偏僻了。我从广场坐地铁 转了 一趟 到了酒店附近花了1个多小时。想想看  地铁一个多小时要多远了。\r\n服务于态度很好。服务也好。房间也还过的去 。好评了', 'star': 5}
{'descr': '已入住', 'star': 5}
{'descr': 'Good and economical - close to subway. Convenient for travellers working at Wai Gao Qiao Duty -Free Zones. ', 'star': 5}
{'descr': '价格偏高，服务很好周到热情，配套设施完善，下次还会住的。', 'star': 5}
{'descr': '价格偏高，服务很好周到热情，配套设施完善，下次还会住的。', 'star': 5}
{'descr': '干净整洁，还不错', 'star': 5}
{'descr': '干净整洁，还不错', 'star': 5}
{'descr': '客房卫生条件很好，宽带上网很方便。就是早餐有点简单，希望能有所改进。总体上还是能给于推荐入住评级的。 ', 'star': 5}
{'descr': '客房卫生条件很好，宽带上网很方便。就是早餐有点简单，希望能有所改进。总体上还是能给于推荐入住评级的。 ', 'star': 5}
{'descr': '实在太偏僻了。周边很开口，因为在镇子里。', 'star': 1}
{'descr': '酒店的设施和服务都很一般，尤其隔音效果更差，隔壁走路都听得清清楚楚，早餐更是一般。', 'star': 3}
{'descr': '酒店的设施和服务都很一般，尤其隔音效果更差，隔壁走路都听得清清楚楚，早餐更是一般。', 'star': 3}
{'descr': '这酒店的条件比较一般，卫生还可以，就是我们当时入住的房间等熄不灭总是不停的闪，性价比不是很高，配置硬件算是合格还是可以考虑入住。', 'star': 5}
{'descr': '这酒店的条件比较一般，卫生还可以，就是我们当时入住的房间等熄不灭总是不停的闪，性价比不是很高，配置硬件算是合格还是可以考虑入住。', 'star': 5}
{'descr': '位置不错，设施也够我用，白天出去玩，晚上回来看看电视、上上网、洗个澡，挺惬意。', 'star': 5}
{'descr': '酒店的各方面都不错，信价比蛮高的，而且硬件设施也很好.', 'star': 5}
{'descr': '位置不错，设施也够我用，白天出去玩，晚上回来看看电视、上上网、洗个澡，挺惬意。', 'star': 5}
{'descr': '酒店的各方面都不错，信价比蛮高的，而且硬件设施也很好.', 'star': 5}
{'descr': '离联洋广场、大拇指广场都很近，距东方艺术中心也不远，对位置很满意，没的说。', 'star': 5}
{'descr': '离联洋广场、大拇指广场都很近，距东方艺术中心也不远，对位置很满意，没的说。', 'star': 5}
{'descr': '房间设施挺齐全，附近交通状况也可以，总体还行。', 'star': 5}
{'descr': '房间设施挺齐全，附近交通状况也可以，总体还行。', 'star': 5}
{'descr': '酒店的隔音非常差，不知道怎么通过的ISO认证。早餐也非常简单。房间里有股味道，毛巾似乎都不换。', 'star': 1}
{'descr': '酒店的隔音非常差，不知道怎么通过的ISO认证。早餐也非常简单。房间里有股味道，毛巾似乎都不换。', 'star': 1}
{'descr': '该酒店值得推荐，环境温馨，客房干净，早餐实惠。', 'star': 3}
{'descr': '该酒店值得推荐，环境温馨，客房干净，早餐实惠。', 'star': 3}
{'descr': '酒店服务员态度很好，大堂布局很温馨，很有现代气息。客房很干净，宽带上网，总体来讲性价比还是很高的。 ', 'star': 3}
{'descr': '酒店服务员态度很好，大堂布局很温馨，很有现代气息。客房很干净，宽带上网，总体来讲性价比还是很高的。 ', 'star': 3}
{'descr': '酒店位置很好，紧靠外高桥保税区3号门，酒店的房间比较宽敞，卫生间也很干净，免费宽带上网，早餐也不贵。值得推荐。', 'star': 5}
{'descr': '酒店位置很好，紧靠外高桥保税区3号门，酒店的房间比较宽敞，卫生间也很干净，免费宽带上网，早餐也不贵。值得推荐。', 'star': 5}
{'descr': '酒店就在3号门口，对面是皇冠假日。位置很好，房间也好。就是电视在床的侧面，不是很方便。早餐比较简单，还好酒店外面吃的地方很多', 'star': 5}
{'descr': '酒店就在3号门口，对面是皇冠假日。位置很好，房间也好。就是电视在床的侧面，不是很方便。早餐比较简单，还好酒店外面吃的地方很多', 'star': 5}
