{'短评内容': '环境不错，房间也很大', '短评打分': 5}
{'短评内容': '还不错吧，物有所值', '短评打分': 5}
{'短评内容': '不错的酒店，房间设施稍微有点老旧，正好在修空调，不过对得起这个价格。', '短评打分': 4}
{'短评内容': '枕套是黄色的 有味道墙面有严重的发霉可能防水没做好总之觉得卫生条件很一般另外我是晚上9点多到的 酒店大厅是为了省电吗？怎么连灯都不开', '短评打分': 3}
{'短评内容': '酒店设备陈旧，淋喷头换了三个还是修不好，就是不愿意换新的！淋浴房连放肥皂的地方都没有！淋浴房的门也关不起来……', '短评打分': 2}
{'短评内容': '環境衛生乾淨整齊房間清潔衛生做的不錯，設備豪華新穎佈置擺設都有到位，服務人員熱心親切非常有賓至如歸的感覺', '短评打分': 3}
{'短评内容': '离花果山很近，而且在酒店买门票会比花果山里面买便宜，真心省了不少钱，早上的自助餐也很棒，种类多，服务特别到位！晚上在酒店吃的饭，三百多元的一个家庭套餐，价格合理比想象中合理很多，非常棒', '短评打分': 5}
{'短评内容': '感觉非常棒！环境很赞，价格便宜，物超所值，父母开心，舒适干净，设施齐全，饭菜便宜，物美价廉，真心满意！', '短评打分': 5}
{'短评内容': '还行，下次还会选择', '短评打分': 4}
{'短评内容': '实在太差，还不如一个普通的商务酒店，里面灯光非常暗，墙上的壁纸已经破的让人恶心，这样的酒店住过之后感觉携程也在欺骗我们，怎么会是四星级呢？', '短评打分': 2}
{'短评内容': '每次到连云港出差都住这个酒店', '短评打分': 5}
{'短评内容': '酒店服务好，饭店菜价便宜实惠量大，房间大且干净。', '短评打分': 5}
{'短评内容': '比较老的酒店，七八年前很火爆，现在服务和设施跟不上。昨晚，空调制暖效果差，维修工态度很好，但设备老化了。', '短评打分': 4}
{'短评内容': '比较老的酒店，七八年前很火爆，现在服务和设施跟不上。昨晚，空调制暖效果差，维修工态度很好，但设备老化了。', '短评打分': 4}
{'短评内容': '酒店的点餐比较实惠属于家常菜，早餐不错样数齐全，就是住宿设施陈旧，床垫有点硬！', '短评打分': 5}
{'短评内容': '房间空旷,可以室内锻炼了,床硬,卫生间水温不好控制,喝水水质也不太好.\n\n4楼的洗浴中心到不错,26可以赠送足疗和搓澡的', '短评打分': 1}
{'短评内容': '位置很好，餐饮也不错。房间有点旧，其他都还可以', '短评打分': 5}
{'短评内容': '这个酒店不错，性价比很高，而且房间还有一套小茶具，超喜欢', '短评打分': 5}
{'短评内容': '酒店走廊和房间通风不好，进去明显能感觉到一股不新鲜的味道，标间窗户只能透光，不透气。酒店外面镶了4颗星，肯定不是4星级的意思，最多也就3星吧。总的来说，性价比不高。本来预定2天的，只住一天就结账跑了。', '短评打分': 1}
{'短评内容': '临近汽车站，停车场够大，餐饮也不错，房间还可以，性价比很好。一般商务出差住比较方便，值得经常入住，早餐需要改进', '短评打分': 5}
{'短评内容': ' 酒店略显陈旧, 还有,我入住时居然在总台查不到预订信息。', '短评打分': 3}
{'短评内容': '11年6月19日帮客人订两间房。客人反应说设施很久，窝里有臭味。', '短评打分': 1}
{'短评内容': '设施比较久，大厅服务态度比较差，价格还行', '短评打分': 1}
{'短评内容': '最近旅客比较多，房间比较紧张，性价比一般，也没有差点', '短评打分': 5}
{'短评内容': '酒店大庭很气派，有四星的标准，房间装修一般，床很硬，早餐不行，牛奶是用粉冲的，还很稀。', '短评打分': 3}
{'短评内容': '大体上来讲还行，就是环境差了点，房间里味道有点奇怪。', '短评打分': 5}
{'短评内容': '位置不错，大厅有点档次不够，停车场很大，上高速方便', '短评打分': 5}
{'短评内容': '房间布置挺好的，早餐一般，服务还可以，但上网有些麻烦，网线接口在床头附近，但写字桌离的比较远，打电话到服务台才知道网口位置', '短评打分': 5}
{'短评内容': '我是来自韩国工作的韩国人。我帮韩国来的朋友订酒店。港丽酒店整体来看还可以，只是前台服务员态度很差，只有一个，排队等待入住或退房，而且服务员的态度非常差劲，下次不在入住这种酒店。', '短评打分': 1}
{'短评内容': '连云港港丽国际酒店 一般般  下次考虑一下', '短评打分': 5}
{'短评内容': '住在这里没有太多的感觉，就是感觉挺舒服的而且价格适中，条件挺不错的.', '短评打分': 5}
{'短评内容': '服务人员态度不错，就是设施太老了，一个女孩子的话晚上目的看到那种楼梯门会紧张', '短评打分': 5}
{'短评内容': '位置还行，停车也方便，就是我住的是5楼的房间，外面有大广告牌，而且旁边是ktv。。。。虽然没什么声音，但是经过的时候看到还是不太舒服，建议不要住5楼。。这个房间的性价比还行，以后还可以考虑住这里的。。。', '短评打分': 5}
{'短评内容': '酒店的大堂很不错，很大很宽敞，配套的硬件较齐全，有各类休闲区，和商品销售区之分，还是不错的。', '短评打分': 5}
{'短评内容': '酒店挺好的，早餐也好，花样挺多的，离客运站也近，不错~！', '短评打分': 3}
{'短评内容': '房间挺大的，早餐也不错，花样挺多的，离客运站也近，不错~！', '短评打分': 5}
{'短评内容': '都很一般啊，呵呵。在连云港，这个价格，没有太大意思。', '短评打分': 1}
{'短评内容': '房间挺大的，用具还是比较干净的，早餐不算很好，附近商业与饮食不多，280的标间，价格略微高了些。', '短评打分': 5}
{'短评内容': '整体来说蛮不错的酒店，房间很干净，配套设施完善，性价比较高，下次还会入住的。', '短评打分': 5}
{'短评内容': '整体来说蛮不错的酒店，房间很干净，配套设施完善，性价比较高，下次还会入住的。', '短评打分': 5}
{'短评内容': '酒店的卫生和设施两方面都不错，综合水平还是比较高的，而且房间住起来也比较舒适.并且性价比也很好.', '短评打分': 5}
