{'短评内容': '房间舒适安静的', '短评打分': 5}
{'短评内容': '已在这家酒店开了好几次房了，很可惜这次是靠马路边的房间，很吵。', '短评打分': 5}
{'短评内容': '卫生很干净，住的很舒服，没有异味。', '短评打分': 5}
{'短评内容': '位置不错，周边配套很好。但房间当中缺少插头有些不方便', '短评打分': 5}
{'短评内容': '酒店位置很好，走路到万达很近。开始疑惑为什么叫设计师酒店，入住时咨询前台原来是房间以设计为主，24种风格房间，所以叫设计师酒店。前台服务很好，入住后致电询问是否满意。进到房间很满意，大落地窗，大浴缸，卫生也干净。下次入住会体验其它风格的房间。', '短评打分': 5}
{'短评内容': '有点老了', '短评打分': 5}
{'短评内容': '环境不错，设计有特色', '短评打分': 5}
{'短评内容': '，，，，，，，，，，', '短评打分': 5}
{'短评内容': '服务态度很好！', '短评打分': 5}
{'短评内容': '酒店不错，感觉很有创意', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '房间一般，卫生间就很差，有臭味又有积水，房间价格又那么贵，物不所值…', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净卫生，地理位置好、近万达广场。服务好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的，酒店服务人很热情，有需要都及时解决。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '周边吃行方便，就是房间隔音比较一般', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店还可以！', '短评打分': 3}
{'短评内容': 'its ok but customer has changed to another hotel...', '短评打分': 3}
{'短评内容': '不习惯那种洗手盆在房间的风格。', '短评打分': 5}
{'短评内容': '交通方便，但配套设施和场地不全', '短评打分': 3}
{'短评内容': '主得很舒服！', '短评打分': 5}
{'短评内容': '位置有些偏，近东华医院对面，周围环境一般，房间有些旧.......', '短评打分': 5}
{'短评内容': '到酒店发现被告知没有预订，早餐是KFC，中午过12点以后打不开房门，明明已入住，第二天收到短信说酒店前台提示我没有入住。。。。。', '短评打分': 1}
{'短评内容': '环境可以。 装修不错。  不过最好提网上早预订  ，不然到现场就贵多了', '短评打分': 5}
{'短评内容': '隔音不好，设计个性，希望能把所有房住一次。', '短评打分': 5}
{'短评内容': '非常有情调的房间，情侣的共享之旅！下回准备换个房型找感觉！ 推荐！！！', '短评打分': 5}
{'短评内容': '＋房间稍微有点小，装修挺好', '短评打分': 3}
{'短评内容': '交通便利，就是房间里边的硬件设施有点旧了。', '短评打分': 5}
{'短评内容': ' 酒店环境不错 服务到位', '短评打分': 3}
{'短评内容': '环境不错。。设计也不错。不过就是不到下午2点就催我们去交房间（单里明明写着最晚是下午2点40分）', '短评打分': 5}
{'短评内容': '房间有特色，就是旧了', '短评打分': 3}
{'短评内容': '总体上还好。服务热情。比较个性化,交通方便。比较喜欢', '短评打分': 5}
{'短评内容': '房间很有特色，但比较小', '短评打分': 3}
{'短评内容': '酒店房间太小.卫生不好.隔音太差.价格太乱.', '短评打分': 1}
{'短评内容': '设计很有特色，就是房间太小，价格再低点就好了', '短评打分': 5}
{'短评内容': '环境和服务态度很好，客房风格也比较有特色，值得入住。', '短评打分': 5}
{'短评内容': '真糟糕，选到了豪单里面最差的房间——同居，以后如果只有这个房间供入住的话，不如选过其他酒店好了', '短评打分': 5}
{'短评内容': '酒店挺有特色，服务不错，就是隔音不好，有点吵，还是值得推荐滴', '短评打分': 5}
{'短评内容': '环境周边不错,房间很有特色', '短评打分': 3}
{'短评内容': '酒店不错，装修很有风格，住了两天，一天换了一种风格，感受非凡。值得推荐，周边吃饭也比较方便，打车早上也好打。。。。', '短评打分': 5}
{'短评内容': '我们住的蔚蓝房，很浪漫，很特别，很满意，最喜欢那个浴缸可以来一个牛奶玫瑰Sap，最适合情侣住。', '短评打分': 5}
{'短评内容': '好看但浴缸对喜淋浴的不方便', '短评打分': 3}
{'短评内容': '酒店房间一般,没有宣传的那么好.房间比较窄.\n不过到是交通还算便利,到沃尔玛MART和家乐福比较近.周遍吃饭的地方也比较多.\n(建议酒店可以提供一份附近的地图,方便客人)\n前台服务素质有待改善.\n', '短评打分': 1}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': '258的装修太一般了，很怪样的，服务很好，电话免费（长途），', '短评打分': 1}
{'短评内容': '位置還不錯\n房間挺有設計感\n還可以挑選不同的房型\n整體來說還不錯\n就是床小了點................', '短评打分': 5}
{'短评内容': '环境和卫生还不错，交通也便利~~~价格如果再便宜点就好了~下次有朋友来也会带他们去\n', '短评打分': 5}
{'短评内容': '还行吧，就是备注说好要浴缸的，根本没用，住的那个淋浴就当头淋的，边上那个坏了。。其他都还好。。。', '短评打分': 5}
{'短评内容': '还可以，但很多装潢已开始老化，希望日後会有所改善............', '短评打分': 5}
{'短评内容': '不同房间不同的设计，适合年轻人旅行商务入住，在市区，交通便利', '短评打分': 5}
{'短评内容': '房间还不错…有特色…', '短评打分': 3}
{'短评内容': '交通便利\n周边餐饮业太少，吃饭不方便\n早餐有特色，肯德基和真功夫', '短评打分': 5}
{'短评内容': '性價比高！可是就是房間的廁所常漏水！不過我挺喜歡它們那有送早餐上門！而且價錢也不貴！', '短评打分': 5}
{'短评内容': '豪华单人房来说，我认为洞穴是最好的了。其它都一般般，火红房的灯光不足够，厕所相对老旧不搭调，另外退房实在太慢了。', '短评打分': 5}
{'短评内容': '周边环境差，酒店晚上KTV声音很吵，早餐肯德基一天两还可以，长时间不推荐', '短评打分': 1}
{'短评内容': '房间设计不错，不过性价比就不高了', '短评打分': 3}
{'短评内容': '酒店如果有WIFI就更好了，性价比也很高·！', '短评打分': 5}
{'短评内容': '房间很有特点，推荐了几个朋友去过，干净，舒适，可惜周边离繁华区还有1公里路程，早餐是送到房间的，这个流程建议优化一下，房间送水果，很人性。这次住套房，很不错。', '短评打分': 5}
{'短评内容': '套房一般,床舖太硬,被單老舊無舒適感,房間設備硬化無舒適感', '短评打分': 1}
{'短评内容': '很有创意的酒店，各方便都不错，只是早餐不太好', '短评打分': 5}
{'短评内容': '东莞的首选，性价比很高。早餐吃的KFC！！值得再次居住！', '短评打分': 5}
{'短评内容': '相对这个价格,还比较值得推荐的.设计比较特别,就是网上订房没有大量的图片去选择,实际上是有成十款不同设计的房间去选择.', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '当地的最佳选择，还可以，吃饭不错！！！！！', '短评打分': 5}
{'短评内容': '有人会懂的\n\n！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '装修有特色、有个性，服务态度好。希望有免费的牙刷供应。\n', '短评打分': 5}
{'短评内容': '好！', '短评打分': 3}
{'短评内容': '非常个性，时尚，趣味，温馨，浪漫，充满生活情调的生活空间。', '短评打分': 5}
{'短评内容': '虽然设施还可以，但前台服务质量较差，房间没有免费的一次性用品供应！', '短评打分': 1}
{'短评内容': '＋酒店环境不错，不过没有一次性洗漱用品，自己掏钱买。确实环保！？', '短评打分': 3}
{'短评内容': '不错的酒店，设计得也不错。交通也还行。下次再住。\n', '短评打分': 5}
