{'短评内容': '很开心得入住', '短评打分': 5}
{'短评内容': '前台服务热情周到，房间设施齐全。非常满意', '短评打分': 5}
{'短评内容': '酒店环境很不错！', '短评打分': 5}
{'短评内容': '赶上停电，而且还是停了好几次，服了！', '短评打分': 3}
{'短评内容': '总体上还是不错的', '短评打分': 4}
{'短评内容': '东西很好，物超所值，很好的一次购物，谢谢京东，很好很满意！！！！！！！', '短评打分': 5}
{'短评内容': '宾馆空间很大很整洁，主要支持京东白条可以优惠', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '特别好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '都不错环境卫生，经常入住鸿泰老客户了，来天津基本就它家，就是鸿泰的网速太差太差，上次提过但还是那样，希望不要因为这小小的技术问题影响鸿泰的服务，本里打10分  这下因为该死的网络，再给打个折扣，不值得的，希望抓紧改正。这次服务设施打2分，其它5分', '短评打分': 4}
{'短评内容': '1还可以吧，离办事地点近。', '短评打分': 4}
{'短评内容': '交通便利，就在海河旁边，房型舒适，环境很好，窗户正对着海河，景色很美', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '犹犹豫豫 uu好好过个好环境地方沟沟壑壑你弄不好运河', '短评打分': 3}
{'短评内容': '服务是真不行，要个衣架也不给，说房间限量。住这么多宾馆，头一次遇到这事。网速实在差，慢就算了，还老断网。电视就4个台。', '短评打分': 3}
{'短评内容': '价格还行，卫生也不错，就是wifi太差', '短评打分': 5}
{'短评内容': '酒店设备设施一般吧，但每次进房间都有一股味道，这个比较难受，常用的辅助设备比较简陋（吹风机，等），经常没有；', '短评打分': 5}
{'短评内容': '酒店设施相对陈旧，不过性价比还不错。服务人员服务态度不错，不过餐饮供应实在是不太好。', '短评打分': 5}
{'短评内容': '经常入住 总体感觉不错 房间安静 干净整洁 工作人员热情周到 以后还会来', '短评打分': 5}
{'短评内容': '适合小住 卫生条件不错 就是没有地巾不习惯 淋浴间有的较小', '短评打分': 5}
{'短评内容': '酒店一般住了几次，配套设施比较老旧，卫生间水压晓得太可怜了，每次入住房间老是有股味道，吹风机也就几个，别人借了，就没了，希望以后能有待提高。', '短评打分': 3}
{'短评内容': '酒店卫生及服务态度都挺不错！', '短评打分': 5}
{'短评内容': '好评，酒店设施，卫生不错，就是位置稍偏，周边无便利店，总体来说，很不错，性价比高', '短评打分': 3}
{'短评内容': '住宿条件不错，房间很干净，水也挺热的。就是地段偏了一点', '短评打分': 5}
{'短评内容': '总体来说还不错。房间很宽敞，床睡起来也很舒服。赠送矿泉水，茶叶等，想的很周到。餐厅里的饭菜也不贵，做得还挺好吃的。就是酒店的位置有点太偏了，附近只有2个大酒店，吃饭的地方没有。', '短评打分': 5}
