{'短评内容': '酒店装修，一般吧环境', '短评打分': 3}
{'短评内容': '感觉还不错的！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '大床房，床垫够大，床板没跟上，有点悬', '短评打分': 3}
{'短评内容': '还未去过，今晚住', '短评打分': 5}
{'短评内容': '环境不错，快捷方便', '短评打分': 5}
{'短评内容': '房间大，环境好，主要是离高铁站近', '短评打分': 5}
{'短评内容': '房间大，晚上很安静，不错', '短评打分': 5}
{'短评内容': '第一次在京东订房，还不错', '短评打分': 5}
{'短评内容': '服务好干净整洁位置也佳，坐高铁很方便', '短评打分': 5}
{'短评内容': '房间有点小小小，但是比较干净，窗户很大，还好。', '短评打分': 5}
{'短评内容': '环境挺好的，干净，服务也很好，入住不收押金', '短评打分': 5}
{'短评内容': '环境很好，服务态度很好，超赞的一次入住', '短评打分': 5}
{'短评内容': '不错，一直都住汉庭，满意。以后继续', '短评打分': 5}
{'短评内容': '房间太简陋，梳子都要去大厅拿', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '便捷迅速，东站旁边', '短评打分': 5}
{'短评内容': '还过得去吧？', '短评打分': 4}
{'短评内容': '服务员的服务速度不够快呀！', '短评打分': 5}
{'短评内容': '一般，这个价格也就这样了', '短评打分': 4}
{'短评内容': '房间干净，热水很好，被子干净不会有异味。但大堂有烟头和烟味，感觉不够干净。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一次很愉快的商务出行，出门在外很不容易，大家保重身体', '短评打分': 5}
{'短评内容': '一次很愉快的商务出行，出门在外很不容易，大家保重身体', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': 'It is walking distance to the train station which makes it ideal for an overnight stay. The rooms however are very small and very basic and the atitude of the staff is not very friendly. They dont spe', '短评打分': 3}
{'短评内容': '时间来不及，没去住！', '短评打分': 3}
{'短评内容': '酒店总体还行，位置也蛮方便，楼下不远就有一个公交总站，出行也方便。', '短评打分': 3}
{'短评内容': '钱付了，说是整完保留房间。飞机晚点赶到汉庭，居然说是没有房间了。汉庭、京东收拾骗子。出发前给汉庭和京东都打过电哈，都说房间整完保留的，都是骗子', '短评打分': 1}
