{'短评内容': '不错  进来感觉很好  有档次   卫生也挺干净的。很满意', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '设施比较老', '短评打分': 4}
{'短评内容': '很好，周边也不错', '短评打分': 5}
{'短评内容': '酒店要加油', '短评打分': 4}
{'短评内容': '早餐一般，可以加床，有停车场酒店在市中心', '短评打分': 4}
{'短评内容': '酒店挺好，客房装修有些旧了', '短评打分': 5}
{'短评内容': '酒店位置很好，大厅气派，早餐还好', '短评打分': 4}
{'短评内容': '旅途愉快的聊天记录', '短评打分': 5}
{'短评内容': '有的房间设施可以换了。比较旧', '短评打分': 4}
{'短评内容': '一切很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '因公去的黄山，该酒店离客户处非常近，感到很方便。  周边商铺不少，交通也很便捷。下次还会住。电吹风能改进就更好了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '物美价廉，房间设施较好，干净卫生是重点，交通方便，推荐！', '短评打分': 5}
{'短评内容': '来黄山出差，酒店位置不错，但比较老旧', '短评打分': 4}
{'短评内容': '酒店环境不错，卫生好，标准间房间宽敞，床舒服。不足：设施有些老旧，淋浴器坏了，差点洗不成。', '短评打分': 5}
{'短评内容': '黄山国脉大酒店东楼晚上睡觉还比较安静，只是里面设施太陈旧。', '短评打分': 3}
{'短评内容': '酒店不错性价比很好，是一家老四星酒店。', '短评打分': 3}
{'短评内容': '挺好的，距离老街2.5公里，四星级。', '短评打分': 3}
{'短评内容': '办好前台手续后向副楼房间走的时候好遥远好悠转要漫长，感觉似乎不是很舒服！但房间宽敞干净整洁，还算不错。', '短评打分': 5}
{'短评内容': '虽然有点老，但设施什么的都还可以。标房340元一间价格也不贵。', '短评打分': 5}
{'短评内容': '还行，就是不能上网。', '短评打分': 3}
{'短评内容': '地方好找，服务也挺好的', '短评打分': 3}
{'短评内容': '酒店打车很方便，旁边有一家土菜味道不错，服务很周到，有一条牛仔裤着急洗，服务员马上来取，而且按时洗完了。', '短评打分': 5}
{'短评内容': '酒店很陈旧，房间看上去远没四星的感觉，顶多是个二星级的水平！！', '短评打分': 1}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '黄山国脉大酒店主要接待团队，房间还好，早餐一般。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '在市中心，建筑有点久了，不过房间很好，又有电脑上网服务，推荐！', '短评打分': 5}
{'短评内容': '卫生服务感觉都不错，在市中心，比较符合标准。\n', '短评打分': 5}
{'短评内容': '酒店的外表形象等都不错，不过黄山市的出租车实在太不规范，都不按计价器的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '就是传说中的（店大欺客）者！！！！！！！！', '短评打分': 1}
{'短评内容': '除了设施陈旧，卫生间里墙壁还有什么都觉得很陈旧以外，其他还可以。自助早餐不错。但是大堂居然没空调。', '短评打分': 5}
{'短评内容': '一个老酒店，性价比很高，还有接机服务，不错,只要你不要和大城市新建的4星宾馆相比就行。', '短评打分': 5}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店一般，房间有霉味，网络也有问题，酒店找人修理上网问题，房间也打扫了，将就入住了。', '短评打分': 1}
{'短评内容': '位置还行，卫生设施还不错，价格还是能接受。环境还不错。', '短评打分': 5}
{'短评内容': '总体来说还是不错的。只不过我们住的东楼相对条件差一点，不知道是不是旅游城市的原因，性价比与其他很多城市相比要差一些。除了卫生间其他设施都较旧，当然价格也要便宜一点。宾馆的管理还是有一点问题的，居然有客人冒充我们的房号去吃了早餐，反而我们被餐厅门口员工盘问了一番，心里小小的不爽。', '短评打分': 5}
{'短评内容': '挂牌四星，很不错，留下美好回忆！', '短评打分': 3}
{'短评内容': '总的来说还可以。', '短评打分': 5}
{'短评内容': '对得起价钱的酒店，不错，舒适的。', '短评打分': 5}
{'短评内容': '我们订的是家庭房，房间很大，很舒适，不错的酒店。美中不足的是电脑很慢，并且用了一个多小时就坏了，启动不了了。', '短评打分': 5}
{'短评内容': '主楼条件很好，副楼一般，建议大家住主楼。早餐不错，推荐。\r\n', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
