{'短评内容': '酒店环境很好，工作人员服务态度非常好，很热情。', '短评打分': 5}
{'短评内容': '礼宾服务很好', '短评打分': 5}
{'短评内容': '环境较好！', '短评打分': 5}
{'短评内容': '早餐丰富，比较安静，服务不错', '短评打分': 5}
{'短评内容': '很干净，房间不是很大，服务很好', '短评打分': 5}
{'短评内容': '酒店位置挺好的，环境也挺好的，喜欢旁边的公园，停车很方便，我是来看上学的孩子，住在这里很方便，特别是酒店提供洗衣服务，给我带来极大的方便，我还会来这里入住！', '短评打分': 5}
{'短评内容': '挺好，比较满意', '短评打分': 5}
{'短评内容': '没有抢到京东的**房间，退款了。不过还是入住了酒店，酒店位置好，公园旁边，附近吃饭的餐馆多。', '短评打分': 5}
{'短评内容': '服务一般，餐饮营业时间短，过了饭点就没吃的了', '短评打分': 5}
{'短评内容': '房间不大，服务一般般，餐厅价格很贵，感觉比一线城市还贵，做的味道还行。早餐还不错。', '短评打分': 3}
{'短评内容': '挺好，服务很好，房间送的喝的水也很多哦', '短评打分': 5}
{'短评内容': '给亲戚定的，对面是月季公园，小时候常去玩。环境还不错，唯一需要改善的就是公园的人锻炼唱歌什么的，在房间里开窗会听到，有点影响老人休息。在台湾这样算扰民应该要被投诉。不知道酒店能不能协调这种现象。中国的大爷大妈锻炼真是无处不在的广场舞和合唱团，是好事，但是音量控制问题真的是很让人烦恼，这应该是素质和认知的问题吧。哎', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '宾馆很好，停车方便，卫生间设施有点陈旧', '短评打分': 5}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！  ', '短评打分': 4}
{'短评内容': '酒店不错，价格偏贵', '短评打分': 3}
{'短评内容': '很整洁温馨的酒店，晚上八点到的，一楼餐厅仍然可以吃饭，价格很平易近人，菜品味道也不错。走出餐厅可以看到，这里是江泽民总书记曾经下榻过的酒店。值得入住。', '短评打分': 4}
{'短评内容': '不错的，就是早餐比较差', '短评打分': 5}
{'短评内容': '不错的，就是早餐比较差', '短评打分': 5}
{'短评内容': '换了承包人，酒店的价格噌的一下涨了不少，性价比立马下降了不少，只能说这个酒店不值这个价格。不推荐。', '短评打分': 1}
{'短评内容': '酒店很好，环境优美，设施高档，对面公园，服务到位。', '短评打分': 3}
{'短评内容': '很好的酒店，卫生很好，服务也不错，下次去还入住这个酒店。', '短评打分': 5}
{'短评内容': '不错，安静，干净，周边环境也不错，服务态度也很好，性价比高', '短评打分': 5}
{'短评内容': '酒店各方面都不错，就是靠里面的房间有机器噪音，因酒店院子里不知道是有什么机器，晚上一直响。另外，酒店餐厅只有包间，包间有最低消费，不愿意进包间的只能吃自助餐。没有其他选择。', '短评打分': 5}
{'短评内容': '服务态度不热情,也没有小瓶矿泉水提供,让人比较失望,价格还这么贵,1楼电梯要绕着走!不方便!', '短评打分': 1}
{'短评内容': '自助餐38/人，味道不错，真的很值得，住宿房间感觉也不错，就是酒店大堂接待的人员，最后走的时候说我们门坏了，明明没有坏，害的我们差点误了火车，也请提高服务质量，其他真的不错', '短评打分': 5}
{'短评内容': '在焦作算还不错，退房太慢了，用好早餐还没好！而且早餐要7:20过后，无法打包，对与要到云台山旅游的来说会不方便（红石峡最好早去，人特多)', '短评打分': 5}
{'短评内容': '不错的酒店，房间内设施和服务都不错，早餐比较好，有机会还会住。', '短评打分': 5}
{'短评内容': '很用心经营的一家酒店，是我们河南7日行的第一站，第一次在网上预订酒店，本来非常担心，没想到非常好，我们一行15人都很满意。装修很新，现代中带着品质，精致而简约的电视墙，液晶电视，卫生间带有电视音响，在卫生间可以看到电视节目，旅行装的洗漱用品很全，包括刮胡刀，针线，润肤露这些，开放式的早餐厅也很舒服，大厅地毯都用心的印着月季。地理位置也好，去市中心和云台山都是一条大路。推荐。', '短评打分': 5}
{'短评内容': '酒店不错，设施好，房间宽敞。就是贵了些。另外，因要在早餐前离开酒店，酒店没有提前订早餐外带的服务，这点就不方便。没有吃上早餐。', '短评打分': 5}
{'短评内容': '房间很宽敞，在月季花园对面很安静。但是房间网络不好，时通时断，希望能改进。', '短评打分': 5}
{'短评内容': '酒店很好，房间不错，在焦作这样的城市就算很好了，大家放心定吧', '短评打分': 5}
{'短评内容': '还行，就是价格偏高，电视信号不好，叫人修过还是不行。', '短评打分': 5}
{'短评内容': '酒店总体不错，只是一个人用餐不太方便，打的不是很方便。', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务及软硬件都不错，就是房间装修的味道很大，对面有焦作的月季公园，去的时候雨刚停，在公园走走，很舒服！', '短评打分': 5}
{'短评内容': '贵宾楼单间368元，里面环境很好，很有中国特色。值得推荐，在这里要住5天', '短评打分': 5}
{'短评内容': '很好的酒店，卫生很好，服务也不错，早餐很单调，下次去还入住这个酒店。\n', '短评打分': 5}
{'短评内容': '除 了 早 餐 不 好 ， 其 它 都 不 错 。', '短评打分': 5}
{'短评内容': '房 间 不 错 ， 早 餐 太 差 ， 有 待 改 善 。', '短评打分': 5}
{'短评内容': '不 错 的 酒 店 ， 早 餐 有 待 改 善 。', '短评打分': 5}
{'短评内容': '设施硬件还行，就是早餐很一般，对不起358的房价，甜点尽然有长毛的，太不可思议了，到了房间才发现时无窗房，跟前台沟通很费力，大堂经理缺乏星级酒店的姿态，不过还是勉强的便宜了28元，算是心里能平衡一点了，希望能改进一下', '短评打分': 5}
{'短评内容': '住的迷你房，麻雀虽小五脏俱全，很满意，下次还会入住。', '短评打分': 5}
{'短评内容': '房间干净，设施很齐全。就是一些穿黄色工作服的男服务员不会主动帮助客人提行李。', '短评打分': 5}
{'短评内容': '在焦作此酒店可以称的上星级酒店但很一线城市该酒店无法评星级', '短评打分': 5}
{'短评内容': '在焦作能有这样酒店已属不易，装修较新房间够大，管理稍微有些混乱', '短评打分': 5}
{'短评内容': '酒店的设施完善，对面就是月季花公园，周围的交通、餐饮还算方便，是游览云台山、青龙峡景点时的好落脚处。\n刚住下时宽带有点不灵，但很快就修好了。', '短评打分': 5}
{'短评内容': '这是一家当地的老牌酒店，这次是为客户代订的，反映还不错，感谢大家的评论！', '短评打分': 5}
{'短评内容': '很好的酒店，卫生很好，服务也不错，早餐很单调，下次去还入住这个酒店。', '短评打分': 5}
{'短评内容': '很好的酒店，96年江主席曾经入住，环境清静设施也不错，值得推荐', '短评打分': 5}
{'短评内容': '估计焦作这种地方也没有什么好选择。停车还收费，太过分了', '短评打分': 5}
{'短评内容': '优点：焦作地区比较入流的酒店，住的舒服，旁边的餐馆味道不错（特色鱼锅），早晨可以到对面的公园里活动筋骨。\n缺点：离汽车站较远，尽管30路一车即可到达，但需要行驶一段时间。周围没有超市。', '短评打分': 5}
{'短评内容': '酒店很不错，值得的，就是价钱有点偏贵啦。', '短评打分': 5}
{'短评内容': '不错，值得推荐。首先前台服务员态度非常好的，细致、周到；而且房间也很干净，设施都是全新的。唯一美中不足的是，酒店的外观看起来不让人放心（我开始都不想住了，还是看了房间后才决定入住的）。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '本来老公想住个四星的，一路上埋怨我。不过一到酒店就把他的嘴堵上了。\n这家酒店的房间不亚于四星，而且对面就是月季园。虽然我们去的时候月季还没有开，但是里面有很多儿童设施，很怀旧的转椅和秋千，而且很安静。\n旁边有家民族餐馆，又干净又便宜，味道还超好，特别是那道锅仔浓汤羊排。\n虽然只是小憩一晚，但因为这家酒店，我对焦作的印象非常好。\n其实一家酒店代表的是一方水土，所以真希望所有的酒店都能以这样的高度经营', '短评打分': 5}
{'短评内容': '酒店确实不错，位置优越，不管到火车站，市中心还是小吃街，还是丹尼斯购物广场，影视城等打车都只要5-6元钱，房间很干净，设施都是全新的，卫生间里有电视伴音，挺好，喷头的水很冲很舒服，电视够大，床够干净，房间所有灯打开也够亮。不过，我们到的第一天入住时房间插卡没有电，找的电工师傅说是昨晚停电，个别房间的电脑控制芯片存在问题，前后修了有二十分钟才好，耽误了我们的行程，希望下次不会出现类似的问题。', '短评打分': 5}
{'短评内容': '汤面条不错,房间挺干净,物超所值!', '短评打分': 3}
{'短评内容': '硬件环境不错 贵宾楼标准间房间稍小 装修有新意 适合新婚人员入住 在二线城市价格稍高 距离大杨树美食街步行10分钟 打车5元搞定 前台服务也不错 有机会到焦作还会入住', '短评打分': 5}
{'短评内容': '每次都会选择的酒店，贵宾楼的豪华单人间值得推荐', '短评打分': 5}
{'短评内容': '确实不错，软硬件都不错，前台服务很细致很周到，房间很好，早餐及自助晚餐也挺好', '短评打分': 5}
{'短评内容': '是这个价位中最好的酒店了！早餐应更丰富点就更好', '短评打分': 5}
{'短评内容': '很不错的一家酒店，是我在国内二三线城市住过的最好的几家四星级酒店之一。房间设施及卫生用品完全可以说是五星的水平。服务生态度很好！唯一美中不足的是，酒店的外观不够档次，它的大堂看起来不够宽大气派。', '短评打分': 5}
{'短评内容': '地理位置有点偏，卫生很好，价格偏高了点。服务人员态度很好。', '短评打分': 5}
{'短评内容': '酒店环境，设施还好，饭菜不错，性价比高，下回还会住。', '短评打分': 5}
{'短评内容': '位置有点偏但是出行还可以，房间卫生还可以装修的也不错，价格还是偏贵，软件方面都很好。', '短评打分': 5}
{'短评内容': '房間寬敞.服務人員態度良好.值得推薦入住.', '短评打分': 5}
{'短评内容': '這是一間不錯的酒店,房間很大,服務很好,就是早餐差一點,總體說起來還是不錯.', '短评打分': 5}
{'短评内容': '迎宾楼没有住，但是贵宾楼超值，三星价格，四星的硬件。河南各地的酒店住遍了，就这个酒店性价比最高。可惜明年公司住宿标准降低了，可能就住不了了。', '短评打分': 5}
{'短评内容': '月季酒店非常不错，很安静，贵宾楼新装修住进去感觉很干净舒服，性价比超高，就是早餐差了一点点，8点半去吃，基本没吃的了。', '短评打分': 5}
{'短评内容': '在酒店遗忘iphone手机允电器，打电话至前台询问，说有看见。请求寄回并付邮资，得到答复说得请示经理，后就音信全无。', '短评打分': 1}
{'短评内容': '贵宾楼感觉不错，下次还会入住。\r\n1、在大街路边，交通方便，也临近市区中心；\r\n2、早餐不错；\r\n3、贵宾楼这边房子很新，单间配有电脑，卫生间干净。', '短评打分': 5}
{'短评内容': '定的是酒店贵宾楼，给的三楼后面有一个大平台，可能是屋顶，感觉不安全，“十一”去的居然空调不开，早餐人很多，食物供不上，其他还不错', '短评打分': 3}
{'短评内容': '早餐人很多，吃的东西来不及上。\r\n“十一”长假去的居然没有空调了\r\n其他还比较满意', '短评打分': 5}
{'短评内容': '+酒店很干净,服务也基本到位,虽说是三星的,但比起一般四星的,一点也不差', '短评打分': 5}
{'短评内容': '酒店很好，因有预订，入住很快，房间设施干净，满意。', '短评打分': 5}
{'短评内容': '房间颜色搭配的挺好，让人感觉挺清爽，收拾也挺干净，设施有些陈旧，总体感觉还不错。', '短评打分': 5}
{'短评内容': '卫生和服务都很到位，交通也挺便利的，价格也合适，值得推荐一下。', '短评打分': 5}
{'短评内容': '酒店的性价比很高,而且硬件和软件条件也比较到位,就是早餐差了点.其它各方面都很好.', '短评打分': 5}
