{'descr': '环境不错', 'star': 5}
{'descr': '想的很周到。卫生管理很好。环境也不错。好', 'star': 5}
{'descr': '价格合适环境卫生好，酒店设施齐全想的非常周到。连手电都有。好的很', 'star': 5}
{'descr': '很好，一人一个大床', 'star': 5}
{'descr': '周边有很多小吃店', 'star': 4}
{'descr': '很不错啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈啊哈哈', 'star': 5}
{'descr': '！还行！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '隔音效果不好', 'star': 3}
{'descr': '不错总体一般般…', 'star': 5}
{'descr': '干净，清爽！', 'star': 4}
{'descr': '出门一直都住这里', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间小了点，总体还可以，就是如家风格', 'star': 4}
{'descr': '离汇展中心很近，连锁服务有保障，挺干净，房间内也没什么味道', 'star': 5}
{'descr': '12点就让退房了，说携程上面定的就是必须12点退，', 'star': 4}
{'descr': '还不错的酒店，空调实在太响', 'star': 4}
{'descr': '房间设置合理，楼下两家餐厅，对面是烟草局和一个小医院，开发区内办事情方便。', 'star': 5}
{'descr': '服务很好，环境很好，有自己的小餐厅价格合理，方便住客。', 'star': 5}
{'descr': '酒店服务很好，设施可以，交通便利，唯一需要提高一下茶 餐的品项。', 'star': 5}
{'descr': '比想象的好多了，房间很温馨，干净整洁，交通还算便利，就是离机场稍远了点，周围就餐很不错，有机会来还住这。', 'star': 5}
{'descr': '非常好，是住过最好的如家了。早餐很充足，品质也不错。', 'star': 5}
{'descr': '价格实惠，但就是隔音不好，不过下次在去哦。如果能增加点商品就好了。', 'star': 5}
{'descr': '价格实惠，但是就是隔音不好，不过下次还去哦', 'star': 5}
{'descr': '第一晚住在布草间旁边很吵，第二天酒店服务员热心的给我们就换到了安静的房间，总之还不错                                                                                    ', 'star': 5}
{'descr': '总体来说性价比不错，服务周到热情，也挺干净卫生。我是参加会展，离会展中心比较近，方便。不过哈尔滨晚上吃饭的地方比较少，如家里的晚餐一般，早餐还是不错滴。', 'star': 5}
{'descr': '位置不错，在红旗大街旁。房内也还干净，酒店服务比较正规。网络速度较慢。周围饭店较少。', 'star': 5}
{'descr': '感觉不错，客房3楼有餐厅，很方便。环境也很理想。', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '地点很好，服务态度良好，卫生不错，隔音稍差', 'star': 5}
{'descr': '订房时要求要定一间离闽江小学近些的。定的如家二号店。但到了哈市才知道一号店才是近的，客服说没有和如家一号店合作！', 'star': 5}
{'descr': '总体感觉还成\r\n网速有点慢\r\n\r\n\r\n\r\n', 'star': 1}
{'descr': '房间很宽敞，配置也很全，滨汉水路店的环境还是很不错。', 'star': 5}
{'descr': '酒店的位置比较一般，但是我是去国际展览中心，很方便就在附近。', 'star': 5}
{'descr': '卫生做的很好，床上的配房间的角落都很干净。', 'star': 5}
{'descr': '舒适度很好，热水器洗澡很舒适，水温合适。', 'star': 5}
{'descr': '很舒适，虽小但很温馨.', 'star': 5}
{'descr': '这家如家的早餐还不错，种类很多中西自助式的，价格算是比较合理。', 'star': 5}
{'descr': '这家店的布局还不错，设计也很温馨。配置硬件齐全达标。', 'star': 5}
{'descr': '酒店环境还是比较达标，全国的如家也差不多。价格再优惠些就更好了。', 'star': 5}
{'descr': '卫生很好，环境很舒适。服务人员也很热情。', 'star': 5}
{'descr': '服务还不错了，服务员态度比较好，处理问题比较快速。硬件也都很好都很达标。', 'star': 5}
