{'短评内容': '嗯  房间有点陈旧  感觉脏脏的   虽然是高层  但是窗外的景色不怎么好   购物 shopping 倒是挺方便的', '短评打分': 1}
{'短评内容': '冬天千万不要住这家，热水器半天才热，一个人还没洗完水就降温得很快，一家三口何时洗得完，卫生也无人打扫，屋子就一个空调，制热效果太差', '短评打分': 1}
{'短评内容': '很好，老板很热情，干净、舒服，喜欢的风格。', '短评打分': 5}
{'短评内容': '位置佳，交通便利，有洗衣机，对于在外旅游的人洗衣机很重要。关键是老板很nice。', '短评打分': 5}
{'短评内容': '很好！干净、卫生、安全！人还没出门，老板短信就来了，服务一流！下次还会来！！', '短评打分': 5}
{'短评内容': '地理位置非常好 出门方便 逛街购物吃饭下楼便是 有家的感觉', '短评打分': 5}
{'短评内容': '房子很大，环境很好，就是电脑有点太差劲了', '短评打分': 3}
{'短评内容': '位置好，环境好，老板服务好，态度一级棒，7月17日在火车上就收到老板的短信，告诉从长沙南站如何坐公交车到达酒店，为我省了60元的的士费。', '短评打分': 5}
{'短评内容': '。屋里有蟑螂，没有热水，电视没发看。', '短评打分': 3}
{'短评内容': '推荐入住，房间很大，视野很棒，老板很好，位置很赞！', '短评打分': 5}
{'短评内容': '＋非常满意，房间很不错，赞个', '短评打分': 3}
{'短评内容': '房间很温馨，很有爱，一切都很好，下次一定会再去住，嘿嘿，还有麻将桌哦', '短评打分': 5}
{'短评内容': '总体感觉不太安全，不正规，设施较差。没人搞卫生。冰箱、洗衣机、电视、电脑等电器设备齐全，也可免费使用，但需要付电费，害我不敢乱用电器。', '短评打分': 1}
{'短评内容': '适合时间长住，住一两天蛮麻烦。一次性用品没有的，电费另算个人觉算也麻烦。', '短评打分': 5}
{'短评内容': '不错，今天刚刚结账，这个酒店公寓没有发票的，发票要加税点的。不过老板挺好的。经过协商没有收我们的税点', '短评打分': 5}
{'短评内容': '酒店公寓形式，很大很干净，家用设施很齐全，下次还会光顾的。', '短评打分': 5}
{'短评内容': '房间很大，装修的不错，设施挺完善，洗衣机冰箱都有，卫生也挺好，这次住的很舒适。', '短评打分': 5}
{'短评内容': '环境很好，闹中取静，晚上休息的很好，服务上很耐心很周到。', '短评打分': 5}
{'短评内容': '位置相当不错，周边商场挺多，逛街购物很方便，房间很宽敞，住的也挺舒适。', '短评打分': 5}
{'短评内容': '服务很好，房间够大够宽敞，各种设施很全面，有种家的感觉，推荐！', '短评打分': 5}
{'短评内容': '还行吧，服务态度不错，只是设施一般,希望能够在设施方面加强，这样下次还有可能光顾!', '短评打分': 5}
{'短评内容': '   老板换了个地方让我们住，除了坐车有点郁闷，其他都还好，房间很大，有独立的厨房，地理位置很好，出门就是王府井，有洗衣机，冰箱，不过这些我们都没用的，提醒老板清理下抽屉，居然有注射器和锡箔纸，吓死人了。', '短评打分': 5}
{'短评内容': '酒店位置不错，在五一广场旁边，也靠近坡子街，步行街，附近还有很多商场，购物逛街很方便，房间里布置的很温馨，也很宽敞，硬件设施齐全，上网速度快，住宿环境很好', '短评打分': 5}
{'短评内容': '帮朋友订的，听说附近正在修路，有点儿不好找……', '短评打分': 5}
