{'短评内容': '有点潮湿，客栈老板还不错，亲自开车出来接我们到景区的', '短评打分': 3}
{'短评内容': '厕所很小。有庭院。椅子很舒服。就是有点小啊。服务满分。店家很好很温柔很美丽。包接送。', '短评打分': 5}
{'短评内容': '相对而言这酒店的卫生状况还可以，没有在景区内，而是在景区门外比较近的地方，晚上可以步行进景区游玩，景区外就歺很便宜，景区内不太好玩，不如乌镇，不会再来了', '短评打分': 5}
{'短评内容': '相对而言这酒店的卫生状况还可以，没有在景区内，而是在景区门外比较近的地方，晚上可以步行进景区游玩，景区外就歺很便宜，景区内不太好玩，不如乌镇，不会再来了', '短评打分': 5}
{'短评内容': '房间真的有点小，好在安静，在景区入口', '短评打分': 4}
{'短评内容': '挺好的，，，', '短评打分': 5}
{'短评内容': 'lb老板人不错，客栈条件差，不过好像西塘的住宿都不好。', '短评打分': 3}
{'短评内容': '比较小 老板很热情', '短评打分': 2}
{'短评内容': '景区里的客栈各家差距不是很大，这家的老板很热情。', '短评打分': 4}
{'短评内容': '房间挺干净，在一层。老板很热情。客栈在景区外，但离核心景区很近。后门是张正根雕馆，前门靠近酒吧街。价格在节假日来说还能接受。', '短评打分': 4}
{'短评内容': '老板人超级热情到古镇门口来接我们，还帮忙代买了半价门票哦~。~住宿的环境古色古香，比较安静。想去西塘的朋友可以选择它们家哦', '短评打分': 5}
{'短评内容': '房间挺干净的，床也比较舒服，老板也很热情，第一次接站没碰见还特地跑了第二次。美中不足的就是洗澡的水温比较难调节，忽冷忽热的，不知是否是个别情况。', '短评打分': 5}
