{'短评内容': '酒店餐厅吃饭 等了半个小时 上来菜是冷的 饭也是冷的 价格贵的还要命 酒店住宿 根本没有空调 住了6天根本不给换被罩 毛巾用过了 服务员捡起来放到原位就算收拾房间了 ', '短评打分': 1}
{'短评内容': '超级好！卫生真是没的说！干净整洁、住着特别的舒心舒服！服务也是非常的好！态度亲和而且服务周到！设施都很新而且很好用！房间宽敞明亮！隔音效果也很好很安静坏境很好！希望可以越来越好！下次出差还住这里', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没什么好写的。', '短评打分': 3}
{'短评内容': '酒店环境不错。早餐太早了，9点就结束，没吃到早餐，餐票不知可否退，没票的，要28一位。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '安全舒适，非常好的服务。nice', '短评打分': 5}
{'短评内容': '没反馈还可以吧', '短评打分': 5}
{'短评内容': '挺好的，帮他们定的', '短评打分': 5}
{'短评内容': '很好不错的每次来都住这里，预定也很方便', '短评打分': 5}
{'短评内容': '很干净，房间也不错！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以吧，就价格有点贵', '短评打分': 4}
{'短评内容': '这家酒店绝对值得推荐，大厅金碧辉煌，特别宽敞，服务人员服务很周到，立马上前帮我们拎行李，办理入住时以为是五星酒店，但是服务人员告诉我们她们是三星的，简直难以置信，房间非常宽敞，干净，设施齐全，入住后服务员还免费给我们赠送了水果和两个精美的钥匙链，实在是太赞了！！！！', '短评打分': 5}
{'短评内容': '客房条件：分新旧两个楼，旧楼的条件还可以，新楼更好些。\n服务态度：可以用“很好”两个字来概括。服务员笑脸相迎；手写的欢迎卡（有一二百字之多）；赠送的水果、糖果；特意预备了泡脚盆（虽然没有使用）；薄的蚕丝被；四种可选的枕头......带了些海鲜，怕坏，酒店帮助放在冷库里，第二天早上6点走，下楼时给前台打了个电话，到前台结账时就已经送到前台了。感觉很好。\n虽然地方有些偏，但如果有机会，一定还会去住。', '短评打分': 5}
{'短评内容': '住过几次了，服务尚可，但交其他蓝海有差距。餐饮不错！', '短评打分': 5}
{'短评内容': '环境不错位置有点偏\r', '短评打分': 3}
{'短评内容': '条件不错，就是餐厅价格贵点儿，把房钱的亏补回来了', '短评打分': 3}
{'短评内容': '顺利入住，服务一如既往的好！', '短评打分': 3}
{'短评内容': '相对于一个县级地区的宾馆而言其设施处于相应水平，服务超过一般水平，比较主动，看得出来是在用心经营，值得推荐。', '短评打分': 5}
{'短评内容': '很新，房间够大，服务周到热情，十分满意．', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '比较宽敞', '短评打分': 3}
{'短评内容': '酒店还可以，不错，环境和服务都挺好的，位置也还方便。', '短评打分': 5}
{'短评内容': 'general it is ok, i will book this hotel in the future,and introduce to others', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '酒店环境非常好，房间也不错。服务员很热情。初步印象是优。', '短评打分': 3}
{'短评内容': '酒店不错，餐饮业不错，房间很好，服务也很好。就是太偏僻了，出门打不到车', '短评打分': 5}
{'短评内容': '干净 配套还需完善 比如咖啡厅没有', '短评打分': 3}
{'短评内容': '地方不错价位也可以，是去黄河三角洲自然保护区比较好的住宿所在', '短评打分': 5}
{'短评内容': '总体上看酒店服务不错，但是有的时候需要客人与酒店交涉才能达到要求，价格还可以。', '短评打分': 5}
{'短评内容': '服务态度比较好 也不贵 还不错哦 值得推荐', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置挺不错的出行交通很方便，环境基本达标。', '短评打分': 5}
{'短评内容': '标准的微笑服务，态度很好，很热情。', '短评打分': 5}
{'短评内容': '卫生很好，很干净入住起来比较放心。', '短评打分': 5}
{'短评内容': '环境配置还是很不错的，但是对于这么小城市的酒店价格来讲确实定的有些偏高。', '短评打分': 5}
{'短评内容': '在垦利来讲算是当地很不错的酒店，环境设施都很达标。', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错，卫生打扫的比较干净，服务人员态度也挺热情的，酒店早餐不错，种类挺多的。', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，房间打扫的也比较干净，设施方面一般了。', '短评打分': 5}
{'短评内容': '就是远点，周围还在发展', '短评打分': 5}
